Block,Time Block,CHAMERA3,DHAULIGNGA,CHAMERA2,DULHASTI,DADRT2,CHAMERA1,BRBCL,BSIUL,KGSU3AND4,KKNPPU2,JHAJJAR,KGSU1AND2,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,KUDGI,ANTA_GF,ANTA_CRF,ANTA_LF,ANTA_RF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,FSTPP I & II,RIHAND3,TANAKPUR,SINGRAULI,TALA,RIHAND2,SASAN,TANDA2,SIMHST1,RSTPSU1TO6,SIMHST2,SINGRAULI_HYDRO,RSTPSU7,TALST2,SALAL,SEWA2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,URI2,KOLDAM,KOTESHWR,MAPS,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NAPP,NTPL,PARBATI3,RAPPB,NLCEXP,NLCIIST1,RIHAND1,NJPC,NLCIIST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,1.27,1.93,31.82,327.76,0,14.48,0,0,0,305.86,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,11.5,134.86,0,114.66,404.32,0,0,0,0,0,0,0,2.25,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

2,00:15-00:30,0,1.27,1.93,31.82,327.76,0,14.48,0,0,0,305.86,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,11.5,134.86,0,114.66,404.32,0,0,0,0,0,0,0,2.25,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

3,00:30-00:45,0,1.27,1.93,31.82,327.76,0,14.48,0,0,0,305.86,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,6.81,134.86,0,114.66,404.32,0,0,0,0,0,0,0,2.25,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

4,00:45-01:00,0,1.27,1.93,31.82,327.76,0,14.48,0,0,0,305.86,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,6.81,134.86,0,114.66,404.32,0,0,0,0,0,0,0,17.95,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

5,01:00-01:15,0,8.8,1.93,31.82,327.76,0,14.48,0,0,0,296.21,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,6.81,134.86,0,114.66,404.32,0,0,0,0,0,0,0,76.64,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

6,01:15-01:30,0,8.8,1.93,31.82,327.76,0,14.48,0,0,0,286.55,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,6.81,134.86,0,114.66,404.32,0,0,0,0,0,0,0,76.64,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

7,01:30-01:45,0,8.8,1.93,31.82,327.76,0,14.48,0,0,0,276.9,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,7.42,134.86,0,114.66,404.32,0,0,0,0,0,0,0,76.64,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,21.03,0,0,0,0,0,0

8,01:45-02:00,0,8.8,1.93,31.82,327.76,0,14.48,0,0,0,276.9,0,143.18,0,0,42.78,0,0,0,0,0,0,0,0,0,0,0,0,0,17.31,120.03,7.42,134.86,0,114.66,404.32,0,0,0,0,0,0,0,76.64,0,21.97,0,35.29,2.13,14.41,17.11,0,0,4.41,0,8.56,0,0,0,50.11,0,40.21,0,0,0,0,0,88.83,0,0,0,0,0,0,0

