Column1,Block,NR/2024/23764/C,NR/2024/23639/A/41760,NR/2024/23640/A/41757,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,GNA/WR/2024/10/15/7089,NR/2024/23382/A/41875,NR/2024/23694/A/41759,NR/2024/23383/A/41727,NR/2024/23384/A/41722,Total
,,NVVNL,SJVNL,SJVNL,NDMC,DELHI,PTC,PUNJAB,NDMC,NDMC,NDMC,BAWANA_GAS,PTC,NDMC,APPCPL,NVVNL,DIAPL,ITCLH,IEXL,
,,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,
,,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,RKM_POWER,CHANJUII,BYPL,BAWANA_GAS,RKM_POWER,TRN_ENERGY,SKS_Raigarh,BAWANA_GAS,BRPL,JPL2,BYPL,JITPL,GBHHPL,ITCWIND,NSLSUGAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,NDMC,NDMC,NDMC,TPDDL,HP,PUNJAB,NDMC,NDMC,NDMC,HARYANA,HP,NDMC,AEML,NDMC,DIAPL,ITCLH,MES_Delhi,
,,West-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,North-West,East-North,North-North,South-West-North,South-West-North,
1,00:00-00:15,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

2,00:15-00:30,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

