Block,Time,DADRI_GF,CHAMERA1,ANTA_LF,CHAMERA2,UNCHAHAR4,KOLDAM,RAMPUR,AURY_CRF,DADRI_LF,CHAMERA3,DULHASTI,RAPPB,NAPP,UNCHAHAR3,URI,RAPPC,RIHAND2,RIHAND3,SINGRAULI,ANTA_CRF,ANTA_GF,RIHAND1,AURY_LF,AURY_GF,BSIUL,ANTA_RF,SALAL,UNCHAHAR1,DADRT2,JHAJJAR,DHAULIGNGA,PARBATI3,AURY_RF,TEHRI,SINGRAULI_HYDRO,KISHANGANGA,KOTESHWR,NJPC,TANDA2,DADRI_RF,UNCHAHAR2,URI2,TANAKPUR,DADRI_CRF,SEWA2,FSTPP I & II,KHSTPP-I,KHSTPP-II,SASAN,TALA,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,40.597031,0.000000,42.591754,1.560405,5.152119,3.403335,0.000000,0.000000,30.903670,0.000000,0.000000,41.947046,0.000000,29.774438,57.876608,117.221440,122.904224,123.048896,0.000000,0.000000,91.165290,0.000000,0.000000,0.000000,0.000000,67.154304,19.795686,586.526963,360.171495,38.917401,0.000000,0.000000,62.464481,1.024462,4.208137,37.219607,160.945770,1.492112,0.000000,40.834286,15.655375,10.487803,0.000000,16.734328,13.503486,30.986240,141.661563,334.832400,0.849542,14.449300,0,0,0,0,0

2,00:15-00:30,0.000000,40.597031,0.000000,42.591754,1.561322,5.152119,3.403335,0.000000,0.000000,30.903670,0.000000,0.000000,41.947046,0.000000,25.520947,57.876608,117.221440,122.904224,123.048896,0.000000,0.000000,91.165290,0.000000,0.000000,0.000000,0.000000,67.154304,19.795686,586.526963,360.171495,38.917401,0.000000,0.000000,62.464481,1.024462,4.208137,37.219607,160.945770,1.492112,0.000000,40.834286,15.655375,10.487803,0.000000,16.734328,13.503486,30.986240,142.842560,334.832400,0.849542,14.449300,0,0,0,0,0

3,00:30-00:45,0.000000,40.597031,0.000000,42.591754,1.561322,5.152119,3.403335,0.000000,0.000000,30.903670,0.000000,0.000000,41.947046,0.000000,23.394202,57.876608,117.221440,122.904224,123.048896,0.000000,0.000000,91.165290,0.000000,0.000000,0.000000,0.000000,67.154304,18.274220,586.526963,354.203412,38.917401,0.000000,0.000000,62.464481,1.024462,4.208137,37.219607,160.945770,1.492112,0.000000,36.243868,15.655375,10.117645,0.000000,16.734328,11.863927,30.986240,142.842560,334.832400,0.000000,14.449300,0,0,0,0,0

4,00:45-01:00,0.000000,40.597031,0.000000,42.591754,1.561322,5.152119,3.403335,0.000000,0.000000,30.903670,0.000000,0.000000,41.947046,0.000000,23.394202,57.876608,117.221440,122.904224,123.048896,0.000000,0.000000,91.165290,0.000000,0.000000,0.000000,0.000000,67.154304,17.658731,586.526963,287.255136,38.917401,0.000000,0.000000,62.464481,1.024462,4.208137,37.219607,160.945770,1.492112,0.000000,36.243868,15.655375,10.117645,0.000000,16.734328,11.863927,30.986240,142.842560,334.832400,0.000000,14.449300,0,0,0,0,0

5,01:00-01:15,0.000000,40.597031,0.000000,42.591754,1.561322,5.152119,3.403335,0.000000,0.000000,30.903670,0.000000,0.000000,41.947046,0.000000,23.394202,57.876608,117.221440,122.904224,123.048896,0.000000,0.000000,91.165290,0.000000,0.000000,0.000000,0.000000,67.154304,17.658731,586.526963,258.359136,38.917401,0.000000,0.000000,62.464481,1.024462,4.208137,37.219607,160.945770,1.492112,0.000000,36.243868,15.655375,10.117645,0.000000,16.734328,11.863927,30.986240,142.842560,334.832400,0.000000,14.449300,0,0,0,0,0

6,01:15-01:30,0.000000,40.597031,0.000000,42.591754,1.561322,5.152119,3.403335,0.000000,0.000000,30.903670,0.000000,0.000000,41.947046,0.000000,23.394202,57.876608,117.221440,122.904224,123.048896,0.000000,0.000000,91.165290,0.000000,0.000000,0.000000,0.000000,67.154304,17.658731,586.526963,248.727136,38.917401,0.000000,0.000000,62.464481,1.024462,4.208137,37.219607,160.945770,1.492112,0.000000,36.243868,15.655375,10.117645,0.000000,16.734328,11.863927,30.986240,142.842560,334.832400,0.000000,14.449300,0,0,0,0,0

