Block,Time,NR/30092023/26122029/SH-06,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/R2,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01062024/01062024/IEX_240531_00838,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01062024/30062024/IEPL01
1,00:00-00:15,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,102.5,32.66,73,73,0,0,0,34.16,0,0,0,0,0,0,0,34.17,0,0,11.01,0,0,24.160000,24.160000,48.320000,15.500000,6.220000,30.920000,9.070000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.780000,87.170000,38.660000

2,00:15-00:30,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,102.5,32.66,73,73,0,0,0,34.16,0,0,0,0,0,0,0,34.17,0,0,11.41,0,0,24.160000,24.160000,48.320000,15.500000,8.170000,30.920000,9.070000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.780000,87.170000,38.660000

3,00:30-00:45,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,102.5,32.66,72.33,72.33,0,0,0,34.16,0,0,0,0,0,0,0,34.17,0,0,11.41,0,0,24.160000,24.160000,48.320000,15.500000,8.170000,30.920000,9.070000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.780000,87.170000,38.660000

4,00:45-01:00,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,102.5,32.66,71.67,71.67,0,0,0,34.16,0,0,0,0,0,0,0,34.17,0,0,11.81,0,0,24.160000,24.160000,48.320000,15.500000,8.170000,30.920000,9.070000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.780000,87.170000,38.660000

5,01:00-01:15,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,102.5,32.66,74,74,0,0,0,34.16,0,0,0,0,0,0,0,34.17,0,0,12.41,0,0,24.160000,24.160000,48.320000,15.500000,7.920000,30.920000,8.920000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.780000,87.170000,38.660000

6,01:15-01:30,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,102.5,32.66,73.67,73.67,0,0,0,34.16,0,0,0,0,0,0,0,34.17,0,0,12.8,0,0,24.160000,24.160000,48.320000,15.500000,7.920000,30.920000,8.920000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

7,01:30-01:45,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,103,33,72.67,72.67,0,0,0,34.34,0,0,0,0,0,0,0,34.33,0,0,13,0,0,24.160000,24.160000,48.320000,15.500000,7.920000,30.920000,8.920000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

8,01:45-02:00,30.920000,24.700000,0.000000,115.540000,24.160000,9.300000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,144.960000,103.5,34,72.67,72.67,0,0,0,34.5,0,0,0,0,0,0,0,34.5,0,0,13.2,0,0,24.160000,24.160000,48.320000,15.500000,7.920000,30.920000,8.920000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

9,02:00-02:15,30.920000,24.700000,0.000000,115.540000,24.160000,8.920000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,0.000000,104,34.34,73,73,0,0,0,34.66,0,0,0,0,0,0,0,34.67,0,0,17,0,0,24.160000,24.160000,48.320000,15.320000,7.690000,30.920000,8.840000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

10,02:15-02:30,30.920000,24.700000,0.000000,115.540000,24.160000,8.920000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,0.000000,104,35.34,72.33,72.33,0,0,0,34.66,0,0,0,0,0,0,0,34.67,0,0,16.6,0,0,24.160000,24.160000,48.320000,15.320000,7.690000,30.920000,8.840000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

11,02:30-02:45,30.920000,24.700000,0.000000,115.540000,24.160000,8.920000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,0.000000,104,28.66,73,73,0,0,0,34.66,0,0,0,0,0,0,0,34.67,0,0,16,0,0,24.160000,24.160000,48.320000,15.320000,7.690000,30.920000,8.840000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

12,02:45-03:00,30.920000,24.700000,0.000000,115.540000,24.160000,8.920000,0.000000,132.590000,16.120000,0.000000,24.160000,24.160000,48.320000,0.000000,104.5,28.34,72.33,72.33,0,0,0,34.84,0,0,0,0,0,0,0,34.83,0,0,15.6,0,0,24.160000,24.160000,48.320000,15.320000,7.690000,30.920000,8.840000,0.000000,24.160000,38.660000,0.000000,262.380000,48.320000,0.000000,30.280000,87.170000,38.660000

