Block,Time,KHSTPP-I,KGSU3AND4,NLCTS2EXP,DADRI_RF,RIHAND2,FSTPP I & II,BRBCL,URI,KHSTPP-II,TALA,DULHASTI,TALST2,KKNP,MAPS,KHARGONE-I,VSTPS II,VSTPS V,RSTPSU7,KSTPS7,NLCIIST2,NTPL,VSTPS IV,SIMHST2,KAWAS-NAPM,SIPAT II,NNTPP,MOUDA_II,VALLURNTECL,NLCIIST1,VSTPS I,SOLAPUR,GANDHAR-APM,SASAN,KAWAS-ComGas,GADARWARA-I,VSTPS III,KAWAS-RLNG,NLCEXP,KSTPS I&II,LARA-I,KAWAS-APM,RSTPSU1TO6,GANDHAR-ComGas,KGSU1AND2,KAPS,KAWAS-zLIQ,GANDHAR-NAPM,MOUDA,SIPAT I,KUDGI,TAPS-II,GANDHAR-RLNG,BSIUL,UNCHAHAR2,RAPPB,TEHRI,NAPP,TANDA2,CHAMERA3,RAPPC,DADRI_GF,RAMPUR,UNCHAHAR1,TANAKPUR,AURY_CRF,PARBATI3,URI2,RIHAND1,UNCHAHAR3,ANTA_RF,RIHAND3,SEWA2,KOLDAM,KOTESHWR,SINGRAULI_HYDRO,JHAJJAR,ANTA_CRF,NJPC,AURY_GF,DADRI_CRF,UNCHAHAR4,CHAMERA1,CHAMERA2,KISHANGANGA,AURY_LF,DADRI_LF,SINGRAULI,SALAL,DHAULIGNGA,AURY_RF,DADRT2,ANTA_GF,ANTA_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,30.953073,1.06,0.85,8.749558,116.260677,16.867383,14.359624,48.920227,142.101802,0.000000,51.927025,2.92,1.56,0.24,3.412459,1.871655,1.278811,1.87,1.292598,0.40,3.29,2.585197,1.55,0.000000,0.900795,0.19,3.382812,2.29,0.81,2.286724,3.412458,0.000000,336.167618,0.002770,4.136314,1.887764,0.006927,1.76,2.637288,4.101852,0.000000,5.83,0.000000,1.93,0.799115,0.000000,0.000000,1.866975,3.412459,7.65,2.690880,0.007337,18.939827,41.947839,0.000000,27.973241,20.696543,2.350549,30.545986,56.844293,0.000000,0.939430,20.137455,0.740392,0.000000,0.000000,34.344245,90.858439,25.970568,7.706400,121.876716,16.548590,4.099670,16.786202,1.055437,450.705076,0.000000,48.718463,0.000000,0.000000,1.375213,40.601245,42.033750,2.457837,0.000000,0.000000,132.203292,51.490312,9.551251,10.596300,664.050759,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,30.990324,1.06,0.85,8.749558,116.260677,16.867383,13.297210,48.920227,142.101802,0.000000,51.927025,2.92,1.56,0.24,3.412459,1.871655,1.278811,1.87,1.292598,0.40,3.29,2.585197,1.55,0.000000,0.900795,0.19,3.382812,2.29,0.81,2.286724,3.412458,0.000000,336.167618,0.002770,4.136314,1.887764,0.006927,1.76,2.637288,4.101852,0.000000,5.83,0.000000,1.93,0.799115,0.000000,0.000000,1.866975,3.412459,7.65,2.690880,0.007337,18.939827,41.947839,0.000000,27.973241,20.696543,2.350549,30.545986,56.844293,0.000000,0.939430,20.137455,0.740392,0.000000,0.000000,34.344245,90.858439,25.970568,7.706400,121.876716,16.548590,4.099670,16.786202,1.055437,450.705076,0.000000,48.718463,0.000000,0.000000,1.375213,40.601245,42.033750,2.457837,0.000000,0.000000,132.203292,51.490312,9.551251,10.596300,664.050759,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,31.541443,1.06,0.85,8.749558,116.260677,16.867383,12.463986,48.920227,142.101802,0.000000,51.927025,2.92,1.56,0.24,3.412459,1.871655,1.278811,1.87,1.292598,0.40,3.29,2.585197,1.55,0.000000,0.900795,0.19,3.382812,2.29,0.81,2.286724,3.412458,0.000000,336.167618,0.002770,4.136314,1.887764,0.006927,1.76,2.637288,4.101852,0.000000,5.83,0.000000,1.93,0.799115,0.000000,0.000000,1.866975,3.412459,7.65,2.690880,0.007337,18.939827,41.947839,0.000000,27.973241,20.696543,2.350549,30.545986,56.844293,0.000000,0.939430,20.137455,0.740392,0.000000,0.000000,34.344245,90.858439,25.970568,7.706400,121.876716,16.548590,4.099670,16.786202,1.055437,450.705076,0.000000,48.718463,0.000000,0.000000,1.375213,40.601245,42.033750,2.457837,0.000000,0.000000,132.203292,51.490312,9.551251,10.596300,664.050759,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,31.575047,1.06,0.85,8.749558,116.260677,16.867383,12.723882,51.047194,142.101802,0.000000,51.927025,2.92,1.56,0.24,3.412459,1.871655,1.278811,1.87,1.292598,0.40,3.29,2.585197,1.55,0.000000,0.900795,0.19,3.382812,2.29,0.81,2.286724,3.412458,0.000000,336.167618,0.002770,4.136314,1.887764,0.006927,1.76,2.637288,4.101852,0.000000,5.83,0.000000,1.93,0.799115,0.000000,0.000000,1.866975,3.412459,7.65,2.690880,0.007337,18.939827,41.947839,0.000000,27.973241,20.696543,2.350549,30.545986,56.844293,0.000000,0.939430,20.137455,0.740392,0.000000,0.000000,34.344245,90.858439,25.970568,7.706400,121.876716,16.548590,4.099670,16.786202,1.055437,450.705076,0.000000,48.718463,0.000000,0.000000,1.375213,40.601245,42.033750,2.457837,0.000000,0.000000,132.203292,51.490312,9.551251,10.596300,664.050759,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,31.575047,1.06,0.85,0.946088,116.260677,16.867383,13.319730,51.047194,142.101802,0.000000,51.927025,2.92,1.56,0.24,3.412459,1.871655,1.278811,1.87,1.292598,0.40,3.29,2.585197,1.55,0.000000,0.900795,0.19,3.382812,2.29,0.81,2.286724,3.412458,0.000000,336.167618,0.002770,4.136314,1.887764,0.006927,1.76,2.637288,4.101852,0.000000,5.83,0.000000,1.93,0.799115,0.000000,0.000000,1.866975,3.412459,8.49,2.690880,0.007337,18.939827,41.947839,0.000000,27.973241,20.696543,2.350549,30.545986,56.844293,0.000000,0.939430,20.137455,0.740392,0.000000,0.000000,33.781225,90.858439,25.970568,0.770640,121.876716,16.548590,3.074752,16.786202,1.055437,450.705076,0.000000,48.718463,0.000000,0.000000,1.375213,40.601245,42.033750,2.457837,0.000000,0.000000,132.203292,51.490312,9.551251,0.883025,664.050759,0.000000,0.000000,0,0,0,0,0

