Column1,Block,GNA/NR/2024/10/03/7360,GNA/NR/2024/10/03/4066,GNA/NR/2024/10/03/4296,GNA/NR/2024/10/03/1276,NR/2024/23382/A/39902,NR/2024/23446/A/39900,GNA/NR/2024/10/01/4083,NR/2024/23215/A/39894,NR/30092023/26122029/SH-06,NR/2024/23384/A/39760,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/2024/23466/C,NR/2024/23397/A/39774,NR/30092023/31122025/SH-07,NR/2024/23479/C,NR/2024/23383/A/39827,NR/2024/23414/A/39759,GNA/NR/2024/10/01/8106,NR/2024/23475/C,NR/2024/23476/C,GNA/NR/2024/10/01/6101,NR/2024/23488/C,NR/2024/23487/C,NR/2024/23389/A/39877,NR/2024/23356/A/39798,NR/2024/23474/C,Total
,,IEXL,IEXL,HPXL,HPXL,NVVNL,NVVNL,PTC,PTC,PUNJAB,IEXL,NDMC,DELHI,NDMC,NDMC,TPDDL,DIAPL,BAWANA_GAS,IEXL,ITCLH,IEXL,NDMC,HPXL,HPXL,NDMC,PXIL,PXIL,SJVNL,SJVNL,NVVNL,
,,Meghalaya_State,Meghalaya_State,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,NA,NA,WB_STATE,WB_STATE,NA,NA,NA,
,,Meghalaya_Ben,Meghalaya_Ben,DBPL,APL_Raipur_TPP,JITPL,JITPL,HP,HP,BAWANA_GAS,NSLSUGAR,RKM_POWER,CHANJUII,SKS_Raigarh,RKM_POWER,JHAJJAR,GBHHPL,BAWANA_GAS,SEIL,ITCWIND,NSLSUGAR,TRN_ENERGY,ACBIL,SINGOLI,JPL2,WBSEDCL,WBSEDCL,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BYPL,PUNJAB,MES_Delhi,NDMC,TPDDL,NDMC,NDMC,TPDDL,DIAPL,HARYANA,BYPL,ITCLH,MES_Delhi,NDMC,BYPL,BYPL,NDMC,TPDDL,TPDDL,NDMC,NDMC,MES_Delhi,
,,North East-East-North,North East-East-North,West-North,West-North,East-North,East-North,North-North,North-North,North-North,South-West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,South-West-North,South-West-North,South-West-North,West-North,West-North,North-North,West-North,East-North,East-North,North-North,North-North,West-North,
1,00:00-00:15,299.58,45.42,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.57,12.45,37.33,173.95,2.9,16.78,35.76,0.58,0,12.45,0,81.18,37.33,0,0,0,0,0,921.5200000000001

2,00:15-00:30,299.58,48.32,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.57,12.45,37.33,173.95,2.9,16.78,35.76,0.58,0,12.45,0,81.18,37.33,0,0,0,0,0,924.4200000000002

