Column1,Block,NR/2025/25581/C,NR/2025/25583/C,GNARE/NR/2024/12/20/3668,NR/2025/25513/A/57254,WR/2025/26426/A/57353,GNA/NR/2025/03/01/1906,WR/2025/26427/A/57354,WR/2025/26582/A/57562,NR/2025/25159/A/57224,GNA/NR/2025/03/01/6891,GNA/WR/2025/01/01/9606,WR/2025/26499/A/57564,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/2563,NR/30092023/26122029/SH-06,Total
,,SJVNL,SJVNL,SECI_Trader,IEXL,KEIPL,NDMC,KEIPL,APPCPL,ITCLH,PTC,APPCPL,APPCPL,APPCPL,PTC,TPTCL,BAWANA_GAS,APPCPL,NDMC,NDMC,DELHI,NDMC,NDMC,NDMC,PUNJAB,
,,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,
,,TPSL_BKN2,RSRPL_BKN,APSEPL_FTG,TPDDL,BYPL,JPL2,BRPL,BRPL,ITCWIND,BYPL,BYPL,BRPL,BRPL,BRPL,BYPL,BAWANA_GAS,BYPL,TRN_ENERGY,RKM_POWER,CHANJUII,JIPL,SKS_Raigarh,RKM_POWER,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,JK_and_LADAKH_UT,CSEB_State,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,HIMACHAL_STATE,MSEB_State,MSEB_State,MSEB_State,HIMACHAL_STATE,MSEB_State,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,NDMC,NDMC,TPDDL,JK_LADAKH,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,ITCLH,HP,AEML,AEML,AEML,HP,TPC_MSEB,HARYANA,KSEB,NDMC,NDMC,TPDDL,NDMC,NDMC,NDMC,PUNJAB,
,,North-North,North-North,North-North,North-North,North-West,West-North,North-West,North-West,South-West-North,North-North,North-West,North-West,North-West,North-North,North-West,North-North,North-West-South,West-North,West-North,North-North,East-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,200,6.72,23.04,4.87,17.28,5.76,23.04,26.99,885.6999999999999

2,00:15-00:30,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,200,6.72,23.04,4.87,17.28,5.76,23.04,26.99,885.6999999999999

3,00:30-00:45,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,31.5,200,6.72,23.04,4.87,17.28,5.76,23.04,25.82,889.04

4,00:45-01:00,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,31.5,200,6.72,23.04,4.87,17.28,5.76,23.04,25.82,889.04

5,01:00-01:15,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,32,200,6.72,23.04,4.87,17.28,5.76,23.04,18.15,881.8699999999999

6,01:15-01:30,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,32,200,6.72,23.04,4.87,17.28,5.76,23.04,25.87,889.5899999999999

7,01:30-01:45,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,32,200,6.72,23.04,4.87,17.28,5.76,23.04,25.87,889.5899999999999

8,01:45-02:00,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,32,200,6.72,23.04,4.87,17.28,5.76,23.04,25.87,889.5899999999999

9,02:00-02:15,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.78,17.28,5.76,23.04,26.99,685.6099999999999

10,02:15-02:30,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.78,17.28,5.76,23.04,26.99,685.6099999999999

11,02:30-02:45,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,32,0,6.72,23.04,4.78,17.28,5.76,23.04,20.46,684.0899999999999

12,02:45-03:00,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,32,0,6.72,23.04,4.78,17.28,5.76,23.04,20.46,684.0899999999999

13,03:00-03:15,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.78,17.28,5.76,23.04,26.99,685.6099999999999

14,03:15-03:30,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.78,17.28,5.76,23.04,26.99,685.6099999999999

15,03:30-03:45,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.78,17.28,5.76,23.04,26.99,685.6099999999999

16,03:45-04:00,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.78,17.28,5.76,23.04,26.99,685.6099999999999

17,04:00-04:15,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.68,17.28,5.76,23.04,26.99,685.5099999999999

18,04:15-04:30,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.68,17.28,5.76,23.04,26.99,685.5099999999999

19,04:30-04:45,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.68,17.28,5.76,23.04,26.99,685.5099999999999

20,04:45-05:00,0,0,0,0,167.57,23.04,48,48,0.43,55.49,0,0,42,166.48,0,26.99,0,6.72,23.04,4.68,17.28,5.76,23.04,26.99,685.5099999999999

21,05:00-05:15,0,0,0,0,167.57,23.04,48,48,0.48,55.49,0,0,42,166.48,0,32,0,6.72,23.04,4.68,17.28,5.76,23.04,25.86,689.4399999999999

22,05:15-05:30,0,0,0,0,167.57,23.04,48,48,0.48,55.49,0,0,42,166.48,0,32,0,6.72,23.04,4.68,17.28,5.76,23.04,25.86,689.4399999999999

