Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/05/01/4138,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/8510,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8964,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/16/9317,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,NR/01102023/22052037/LT-59
1,00:00-00:15,0,0,0,0,21.33,64.01,17,0,52.33,21.33,52.33,0,8.4,0,0,0,0,0,0,0,0,28.25,0,32,115.16,5.05,0,4.6,10.51,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

2,00:15-00:30,0,0,0,0,22.17,66.49,17.33,0,55.33,22.17,55.33,0,8.2,0,0,0,0,0,0,0,0,28.25,0,32,115.16,5.05,0,4.6,10.51,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

3,00:30-00:45,0,0,0,0,23,69,17.33,0,57,23,57,0,8.4,0,0,0,0,0,0,0,0,28.76,0,32,115.16,5.05,0,4.6,10.51,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

4,00:45-01:00,0,0,0,0,23.67,70.99,17.67,0,58.33,23.67,58.33,0,8.6,0,0,0,0,0,0,0,0,29.27,0,32,115.16,5.05,0,4.6,10.51,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

5,01:00-01:15,0,0,0,0,24,72,20.34,0,41.67,24,41.67,0,15.21,0,0,0,0,0,0,0,0,29.27,0,32,115.16,4.95,0,4.45,10.41,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

6,01:15-01:30,0,0,0,0,24.33,73.01,20.34,0,43,24.33,43,0,15.21,0,0,0,0,0,0,0,0,29.27,0,32,115.16,4.95,0,4.45,10.41,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

7,01:30-01:45,0,0,0,0,25,75,20.34,0,45,25,45,0,14.81,0,0,0,0,0,0,0,0,29.27,0,32,115.16,4.95,0,4.45,10.41,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

8,01:45-02:00,0,0,0,0,25.83,77.51,21,0,49.33,25.83,49.33,0,14.41,0,0,0,0,0,0,0,0,29.27,0,32,115.16,4.95,0,4.45,10.41,10.43,15.49,32,7.23,100.33,0,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.19

9,02:00-02:15,0,0,0,0,24.67,73.99,20.66,0,51.67,24.67,51.67,0,18.21,0,0,0,0,0,0,0,0,28.76,0,30,115.16,4.85,0,4.45,10.32,10.43,15.49,23.51,7.23,100.33,0,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.03

10,02:15-02:30,0,0,0,0,24,72,20.66,0,51.67,24,51.67,0,17.61,0,0,0,0,0,0,0,0,28.76,0,30,115.16,4.85,0,4.45,10.32,10.43,15.49,23.51,7.23,100.33,0,0,0,28.89,0,96.3,13.48,0,192.6,24.08,96.3,272.29,260.59,86.86,28.94,10.59,0,0,14.44,4.03

