Block,Time,L_NR_2012_07,SH-06,LT-59,LT-36,LT-35,L_NR_2019_11,LT-31,L_NR_2020_02,L_NR_2023_10,L_NR_2021_16,SH-07,L_NR_2019_06,L_NR_2020_07,L_NR_2020_06,L_NR_2012_01,L_NR_2021_15,L_NR_2021_14,L_NR_2023_04,L_NR_2012_02,L_NR_2022_10,L_NR_2021_17,L_NR_2019_05,L_NR_2022_09,L_NR_2018_61,L_NR_2019_07,LT-05,L_NR_2020_05,L_NR_2021_12,L_NR_2022_08,L_NR_2023_07,L_NR_2012_04,L_NR_2021_13,L_NR_2019_19
1,00:00-00:15,73.590000,18.610000,8.190000,0.000000,0.000000,8.240000,0.000000,7.200000,0,0,30.710000,0,8.8,8.79,100.530000,0,0,30.460000,259.690000,23.29,0,0,23.29,15.27,0,57.580000,26.38,0,6.95,0,269.920000,0,0

2,00:15-00:30,73.590000,18.610000,8.190000,0.000000,0.000000,8.240000,0.000000,7.200000,0,0,30.710000,0,9.73,9.74,100.530000,0,0,30.460000,259.690000,24.9,0,0,24.9,15.14,0,57.580000,29.22,0,7.15,0,269.920000,0,0

3,00:30-00:45,73.590000,18.610000,8.190000,0.000000,0.000000,8.240000,0.000000,7.200000,0,0,30.710000,0,10.59,10.58,100.530000,0,0,30.460000,259.690000,26.14,0,0,26.14,14.95,0,57.580000,31.75,0,7.42,0,269.920000,0,0

4,00:45-01:00,73.590000,18.610000,8.190000,0.000000,0.000000,8.240000,0.000000,7.200000,0,0,30.710000,0,11.52,11.5,100.530000,0,0,30.460000,259.690000,27.65,0,0,27.65,14.8,0,57.580000,34.51,0,7.7,0,269.920000,0,0

5,01:00-01:15,73.590000,18.610000,7.960000,0.000000,0.000000,8.010000,0.000000,7.020000,0,0,30.710000,0,12.63,12.61,100.530000,0,0,30.460000,259.690000,29.11,0,0,29.11,14.89,0,57.580000,37.84,0,7.98,0,269.920000,0,0

6,01:15-01:30,73.590000,18.610000,7.960000,0.000000,0.000000,8.010000,0.000000,7.020000,0,0,30.710000,0,13.78,13.79,100.530000,0,0,30.460000,259.690000,31.18,0,0,31.18,15,0,57.580000,41.36,0,8.27,0,269.920000,0,0

7,01:30-01:45,73.590000,18.610000,7.960000,0.000000,0.000000,8.010000,0.000000,7.020000,0,0,30.710000,0,14.82,14.83,100.530000,0,0,30.460000,259.690000,34.12,0,0,34.12,15.06,0,57.580000,44.48,0,8.61,0,269.920000,0,0

8,01:45-02:00,73.590000,18.610000,7.960000,0.000000,0.000000,8.010000,0.000000,7.020000,0,0,30.710000,0,7.34,7.33,100.530000,0,0,30.460000,259.690000,26.67,0,0,26.67,7.4,0,57.580000,22,0,6.67,0,269.920000,0,0

9,02:00-02:15,73.590000,18.610000,7.960000,0.000000,0.000000,8.010000,0.000000,6.920000,0,0,30.710000,0,7.34,7.33,100.530000,0,0,29.500000,259.690000,26.67,0,0,26.67,7.4,0,35.000000,22,0,6.67,0,269.920000,0,0

