Time,Block,NR/2024/19352/C,NR/2024/19075/A/13837,NR/2024/18919/A/14386,NR/2024/18986/A/13842,NR/2024/19348/C,NR/2024/18936/A/13894,NR/2024/19322/C,NR/2024/18976/A/13902,NR/2024/19344/C,NR/2024/19290/A/14491,NR/2024/19327/C,NR/2024/19245/A/13964,NR/2024/19121/A/13966,NR/2024/19319/C,NR/2024/19030/A/13844,NR/2024/18978/A/13904,NR/2024/19115/A/13867,NR/2024/19043/A/13838,NR/2024/18935/A/13893,NR/2024/19172/A/14492,NR/2024/18855/A/13968,NR/2024/19318/C,NR/2024/18996/A/14348,NR/2024/19143/A/13863,NR/2024/18977/A/13903,NR/2024/19024/A/14134,NR/2024/19349/C,NR/2024/18934/A/13892,Total
,,PXIL,IEXL,APPCPL,ITCLH,IEXL,PXIL,PXIL,PXIL,IEXL,TPDDL,PXIL,DIAPL,GMRETL,NVVNL,IEXL,PXIL,IEXL,IEXL,PXIL,TPDDL,GMRETL,NVVNL,PTC,IEXL,PXIL,DIAPL,IEXL,PXIL,Total

,,ODISHA,ODISHA,NAGALAND,ANDHRA PRADESH,WEST BENGAL,TAMIL NADU,MAHARASHTRA,ODISHA,ODISHA,NA,DVC,HIMACHAL PRADESH,RAJASTHAN,NA,NA,TAMIL NADU,MAHARASHTRA,NA,TAMIL NADU,NA,RAJASTHAN,NA,MAHARASHTRA,DELHI,NA,HIMACHAL PRADESH,NA,TAMIL NADU,
,,VL-CPP 1215,VSL,Nagaland_Ben,ITCWIND,CESC,SAKTHISUGARSLTD,JSWEL MSEB,FACORPOWER,ODISHA,JHAJJAR,DVC,GBHHPL,RUVNL,SOLAPUR_SOLAR,JHABUA_IPP,BIRLACARBONTN,SWPL,MBMP,SAKTHISUGARS_ELMTN,JHAJJAR,RUVNL,KAMENG,JPL_DHULE,EDWPCL12,MEENAKSHI,GBHHPL,SINGOLI,SAKTHISUGRAR_TN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BYPL,ITCLH,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,BRPL,DIAPL,BYPL,MES (Delhi),BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,TPDDL,BRPL,UPPCL,BRPL,DIAPL,BRPL,BRPL,
,,East-North,East-North,North East-East-North,South-West-North,East-North,South-West-North,West-North,East-West-North,East-North,North-North,East-North,North-North,North-North,West-North,West-East-North,South-West-North,West-East-North,West-East-North,South-West-North,North-North,North-North,North East-East-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,
1,00:00-00:15,19.350000,0.000000,9.670000,0.530000,193.480000,0.000000,52.240000,0.000000,48.370000,0.000000,96.740000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,52.630000,0.000000,2.000000,0.000000,4.840000,45.470000,0.000000,592.25

2,00:15-00:30,19.350000,0.000000,9.670000,0.530000,193.480000,0.000000,52.240000,0.000000,48.370000,0.000000,96.740000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,52.630000,0.000000,2.000000,0.000000,4.840000,45.470000,0.000000,592.25
