Column1,Block,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,NR/2025/24704/C,NR/2024/24434/A/47991,NR/2025/24705/C,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/6528,NR/2024/24566/A/47979,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/24698/C,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/8058,NR/2024/24508/A/48218,GNA/NR/2025/01/02/1250,NR/2024/24614/A/48219,NR/2024/24435/A/47993,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NER/2024/2820/A/48208,NR/2025/24706/C,GNA/NR/2025/01/01/3925,NR/2025/24699/C,NR/2024/24418/A/47972,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3514,NR/2024/24507/A/48217,WR/2024/25501/A/48215,SR/2024/15456/A/47977,Total
,,APPCPL,IEXL,PUNJAB,BAWANA_GAS,MANIKARAN,SJVNL,IEXL,SJVNL,IEXL,NDMC,IEXL,TPTCL,DELHI,NVVNL,NDMC,IEXL,NVVNL,IEXL,NVVNL,IEXL,NDMC,NDMC,APPCPL,SJVNL,HPXL,NVVNL,ITCLH,PXIL,HPXL,NVVNL,APPCPL,IEXL,
,,DELHI_UT,MP_State,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,ODISHA_STATE,NA,TELANGANA_State,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,NA,NA,DELHI_UT,UTTARPRADESH_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,
,,BYPL,JP_BINA,BAWANA_GAS,BAWANA_GAS,BRPL,RSRPL_BKN,TESPL_BKN2,TPSL_BKN2,NBVLIPP,SKS_Raigarh,NSLKSLWPRTY,BYPL,CHANJUII,TRN_ENERGY,JPL2,JPNIGRIE_JNSTPP,TRN_ENERGY,SKS_Raigarh,TRN_ENERGY,NSLSUGARALAND,RKM_POWER,RKM_POWER,BYPL,BCMLUH,JPNIGRIE_JNSTPP,JIPL,ITCWIND,JPNIGRIE_JNSTPP,SKS_Raigarh,JIPL,BRPL,BYPL,
,,MSEB_State,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,TAMILNADU_State,
,,AEML,BRPL,PUNJAB,HARYANA,AEML,NDMC,MES_Delhi,NDMC,BRPL,NDMC,MES_Delhi,TPC_MSEB,TPDDL,NDMC,NDMC,BRPL,NDMC,BRPL,NDMC,MES_Delhi,NDMC,NDMC,Manipur_Ben,NDMC,BRPL,NDMC,ITCLH,BRPL,BRPL,NDMC,GOA_Beneficiary,TANGEDCO,
,,North-West,West-North,North-North,North-North,North-West,North-North,North-North,North-North,East-North,West-North,South-West-North,North-West,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-East-North East,North-North,West-North,East-North,South-West-North,West-North,West-North,East-North,North-West,North-West-South,
1,00:00-00:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,28.68,26.77,8.69,47.8,0,9.56,28.68,28.68,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,372.77000000000004

2,00:15-00:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,28.68,26.77,8.69,47.8,0,9.56,28.68,28.68,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,372.77000000000004

3,00:30-00:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,28.68,26.77,8.69,47.8,0,9.56,28.68,28.68,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,372.77000000000004

4,00:45-01:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,28.68,26.77,8.69,47.8,0,9.56,28.68,28.68,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,372.77000000000004

5,01:00-01:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

6,01:15-01:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

7,01:30-01:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

8,01:45-02:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

9,02:00-02:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.07

10,02:15-02:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.07

11,02:30-02:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.07

12,02:45-03:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.07

13,03:00-03:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

14,03:15-03:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

15,03:30-03:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

16,03:45-04:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

17,04:00-04:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

18,04:15-04:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

19,04:30-04:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

20,04:45-05:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,25.81,26.77,8.69,47.8,0,9.56,25.81,25.81,0,0,47.8,0,0.38,28.68,19.12,14.08,0,0,364.16

