Time,Block,NR/2023/17270/A,NR/2023/18074/A/1463,NER/2023/1722/C,WR/2023/20256/A/1568,NR/2023/18128/C,NR/2023/18130/C,WR/2023/20577/A/1574,NR/2023/18062/A/1473,WR/2023/19446/A,NR/2023/18105/A/1467,NR/2023/17525/A,NR/2023/18129/C,NR/2023/18131/C,Total
,,GMRETL,ITCLH,PXIL,MANIKARAN,TPDDL,SJVNL,APPCPL,IEXL,MANIKARAN,IEXL,APPCPL,SJVNL,SJVNL,Total

,,DELHI,ANDHRA PRADESH,DELHI,DELHI,HIMACHAL PRADESH,UTTAR PRADESH,DELHI,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,DELHI,NA,NA,
,,BYPL,ITCWIND,BYPL,BRPL,CHANJUII,BCMLB001,BRPL,SNJSUGARLTDAP,BYPL,BSHP,BYPL,RSRPL_BKN,RSRPL_BKN,
,,RAJASTHAN,DELHI,ARUNACHAL PRADESH,GOA,DELHI,DELHI,GOA,DELHI,MAHARASHTRA,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,RUVNL,ITCLH,Arunachal_Ben,GOA_Beneficiary,TPDDL,NDMC,GOA_Beneficiary,MES (Delhi),AEML,MES (Delhi),HP,NDMC,NDMC,
,,North-North,South-West-North,North-East-North East,North-West,North-North,North-North,North-West,South-East-North,North-West,North-North,North-North,North-North,North-North,
1,00:00-00:15,0.000000,0.430000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.89

2,00:15-00:30,0.000000,0.430000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.89

3,00:30-00:45,0.000000,0.430000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.89

4,00:45-01:00,0.000000,0.430000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.89

5,01:00-01:15,0.000000,0.380000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.84

6,01:15-01:30,0.000000,0.380000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.84

7,01:30-01:45,0.000000,0.380000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.84

8,01:45-02:00,0.000000,0.380000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.84

9,02:00-02:15,0.000000,0.340000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.8

10,02:15-02:30,0.000000,0.340000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.8

11,02:30-02:45,0.000000,0.340000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.8

12,02:45-03:00,0.000000,0.340000,40.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.8

13,03:00-03:15,0.000000,0.340000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.9

14,03:15-03:30,0.000000,0.340000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.9

15,03:30-03:45,0.000000,0.340000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.9

16,03:45-04:00,0.000000,0.340000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.9

17,04:00-04:15,0.000000,0.380000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.94

18,04:15-04:30,0.000000,0.380000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.94

19,04:30-04:45,0.000000,0.380000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.94

20,04:45-05:00,0.000000,0.380000,40.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,148.94

21,05:00-05:15,0.000000,0.380000,0.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,108.94

22,05:15-05:30,0.000000,0.380000,0.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,108.94

23,05:30-05:45,0.000000,0.380000,0.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,108.94

24,05:45-06:00,0.000000,0.380000,0.000000,0.000000,2.300000,0.000000,0.000000,4.810000,75.000000,0.960000,25.490000,0,0,108.94

25,06:00-06:15,100.000000,0.380000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.35

26,06:15-06:30,100.000000,0.380000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.35

27,06:30-06:45,100.000000,0.380000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.35

28,06:45-07:00,100.000000,0.380000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.35

29,07:00-07:15,100.000000,0.530000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.5

30,07:15-07:30,100.000000,0.530000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.5

31,07:30-07:45,100.000000,0.530000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.5

32,07:45:08:00,100.000000,0.530000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,183.5

33,08:00-08:15,50.000000,0.770000,0.000000,0.000000,2.200000,0.000000,0.000000,4.810000,75.000000,0.960000,0.000000,0,0,133.74

