Block,Time,DHAULIGNGA,KHSTPP-I,KKNP,NTPL,RIHAND3,TANDA2,DADRI_GF,DADRI_RF,CHAMERA2,KOLDAM,SIMHST1,UNCHAHAR4,URI2,CHAMERA3,DADRT2,KUDGI,NLCEXP,NLCTS2EXP,NNTPP,PARBATI2,RAPPB,SINGRAULI,TALST2,TANAKPUR,ANTA_GF,AURY_GF,DULHASTI,NAPP,VALLURNTECL,ANTA_RF,AURY_CRF,BSIUL,KHSTPP-II,KISHANGANGA,KKNPPU2,PARBATI3,SIMHST2,UNCHAHAR2,UNCHAHAR3,URI,AURY_LF,FSTPP I & II,JHAJJAR,KGSU1AND2,NJPC,NLCIIST2,RAMPUR,RIHAND2,RSTPSU1TO6,UNCHAHAR1,ANTA_LF,AURY_RF,CHAMERA1,KGSU3AND4,NLCIIST1,RSTPSU7,SASAN,SEWA2,TEHRI,DADRI_LF,BRBCL,KOTESHWR,MAPS,RAPPC,RIHAND1,SALAL,SINGRAULI_HYDRO,TALA,TelanganaSTPP,ANTA_CRF,DADRI_CRF
1,00:00-00:15,0,45.83,0,0,129.05,4.35,0,74.38,16.25,0,0,2.88,39.63,0,687.47,0,0,0,0,0,0,109.74,0,0,0,0,19.81,53.44,0,53.44,0,13.04,148.3,5.45,0,0,0,44.87,27.67,33.12,0,18.2,670.51,0,0,0,0,123.13,0,21.63,0,85.35,0,0,0,0,418.77,0,0,0,20,10.41,0,70.45,95.98,2.33,0.82,0,0,0,0

2,00:15-00:30,0,45.83,0,0,129.05,4.35,0,74.38,16.25,0,0,2.88,39.63,0,687.47,0,0,0,0,0,0,109.74,0,0,0,0,19.81,53.44,0,53.44,0,13.04,148.3,5.45,0,0,0,44.87,27.67,33.12,0,18.2,670.51,0,0,0,0,123.13,0,21.63,0,85.35,0,0,0,0,418.77,0,0,0,20,10.41,0,70.45,95.98,2.33,0.82,0,0,0,0

3,00:30-00:45,0,45.83,0,0,129.05,4.35,0,74.38,0,0,0,2.88,35.29,0,687.47,0,0,0,0,0,0,109.74,0,0,0,0,19.81,53.44,0,53.44,0,13.04,148.3,5.45,0,0,0,44.87,27.67,33.12,0,18.2,670.51,0,0,0,0,123.13,0,21.63,0,85.35,0,0,0,0,418.77,0,0,0,20,10.41,0,70.45,95.98,2.33,0.82,0,0,0,0

4,00:45-01:00,0,45.83,0,0,129.05,4.35,0,74.38,0,0,0,2.88,35.29,0,687.47,0,0,0,0,0,0,109.74,0,0,0,0,19.81,53.44,0,53.44,0,13.04,148.3,5.45,0,0,0,44.87,27.67,33.12,0,18.2,670.51,0,0,0,0,123.13,0,21.63,0,85.35,0,0,0,0,418.77,0,0,0,20,10.41,0,70.45,95.98,2.33,0.82,0,0,0,0

5,01:00-01:15,0,45.83,0,0,129.05,4.35,0,74.38,0,0,0,2.88,35.29,0,687.47,0,0,0,0,0,0,109.74,0,0,0,0,19.81,53.44,0,53.44,0,13.04,148.3,5.45,0,0,0,44.87,27.67,33.12,0,18.2,670.51,0,0,0,0,123.13,0,21.63,0,85.35,0,0,0,0,418.77,0,0,0,20,10.41,0,70.45,95.98,15.11,0.82,0,0,0,0

