Block,Time Block,SINGRAULI_HYDRO,SINGRAULI,SIMHST2,AURY_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,RSTPSU7,RSTPSU1TO6,SASAN,SEWA2,SALAL,RIHAND3,SIMHST1,RIHAND2,RIHAND1,BSIUL,CHAMERA1,RAPPC,RAPPB,MAPS,RAMPUR,NNTPP,NLCEXP,NLCIIST1,NTPL,NJPC,NLCIIST2,PARBATI3,NLCTS2EXP,NAPP,KUDGI,KOLDAM,KISHANGANGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,KOTESHWR,KKNP,KHSTPP-I,KKNPPU2,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,BRBCL,CHAMERA2,DHAULIGNGA,DADRT2,DULHASTI,FSTPP I & II,JHAJJAR,CHAMERA3,TALST2,TANAKPUR,TEHRI,TALA,TANDA2,TelanganaSTPP,URI,UNCHAHAR3,VALLURNTECL,UNCHAHAR2,UNCHAHAR4,URI2,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.6,134.12,0,0,0,0,0,0,0,0,0,0,0,329.43,0,1.34,59.68,0,114.02,88.33,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,41.94,0,0,0,0,0,122.72,8.52,0,37.67,0,0,0,0,0,16.5,0,0,265.13,15.82,10.98,229.52,0,0,5.53,0,0,0,0,0.95,14.24,0,22.46,0,4.14,5.76,0,0,0,0,0

2,00:15-00:30,0.6,134.12,0,0,0,0,0,0,0,0,0,0,0,329.43,0,1.34,59.68,0,114.02,88.33,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,41.94,0,0,0,0,0,122.72,8.52,0,37.67,0,0,0,0,0,16.16,0,0,265.13,15.82,10.98,229.52,0,0,5.53,0,0,0,0,0.95,14.24,0,22.46,0,4.14,5.76,0,0,0,0,0

3,00:30-00:45,0.6,134.12,0,0,0,0,0,0,0,0,0,0,0,329.43,0,1.34,59.68,0,114.02,88.33,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,41.94,0,0,0,0,0,122.72,8.52,0,37.67,0,0,0,0,0,16.4,0,0,265.13,15.82,10.98,229.52,0,0,5.53,0,0,0,0,0.95,14.24,0,22.46,0,4.14,5.76,0,0,0,0,0

4,00:45-01:00,0.6,134.12,0,0,0,0,0,0,0,0,0,0,0,329.43,0,1.34,59.68,0,114.02,88.33,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,41.94,0,0,0,0,0,122.72,8.52,0,37.67,0,0,0,0,0,14.54,0,0,265.13,15.82,10.98,229.52,0,0,5.53,0,0,0,0,0.95,14.24,0,22.46,0,4.14,5.76,0,0,0,0,0

5,01:00-01:15,0.6,134.12,0,0,0,0,0,0,0,0,0,0,0,329.43,0,1.34,59.68,0,114.02,88.33,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,41.94,0,0,0,0,0,122.72,8.52,0,37.67,0,0,0,0,0,13.23,0,0,265.13,15.82,10.98,229.52,0,0,5.53,0,0,0,0,0.95,14.24,0,22.46,0,4.14,5.76,0,0,0,0,0

