Block,Time,KUDGI,TALA,KHSTPP-I,SASAN,BRBCL,FSTPP I & II,KHSTPP-II,AURY_LF,KOTESHWR,KISHANGANGA,DADRI_GF,ANTA_LF,UNCHAHAR1,AURY_CRF,AURY_GF,ANTA_RF,RAPPB,SINGRAULI,KOLDAM,RIHAND3,URI,DADRI_LF,NAPP,UNCHAHAR3,PARBATI3,TANAKPUR,URI2,ANTA_CRF,JHAJJAR,RIHAND2,BSIUL,ANTA_GF,RAPPC,UNCHAHAR4,SALAL,UNCHAHAR2,CHAMERA3,RAMPUR,DADRI_RF,RIHAND1,SINGRAULI_HYDRO,AURY_RF,DHAULIGNGA,SEWA2,DADRT2,TEHRI,TANDA2,DULHASTI,DADRI_CRF,CHAMERA1,NJPC,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,66.79,17.073756,42.594859,337.401229,14.518463,18.835237,142.780373,0.000000,8.589145,0.000000,0.000000,0.000000,19.343482,0.000000,0.000000,9.679000,0.000000,99.814688,0.000000,119.695958,36.331094,0.000000,38.971138,25.542978,0.000000,12.150823,10.416153,0.000000,632.183982,56.709261,0.000000,0.000000,25.056608,0.000000,14.621097,24.369302,0.000000,0.000000,4.013336,89.046800,0.759153,15.975870,1.278596,0.000000,661.200682,0.000000,0.000000,47.849643,0.000000,0.000000,36.664052,0.000000,0,0,0,0,0

2,00:15-00:30,73.56,17.073756,42.594859,337.772902,14.518463,18.835237,142.780373,0.000000,8.589145,0.000000,0.000000,0.000000,19.343482,0.000000,0.000000,9.679000,0.000000,99.814688,0.000000,119.695958,36.331094,0.000000,38.971138,25.542978,0.000000,12.150823,23.957151,0.000000,632.183982,56.709261,0.000000,0.000000,25.056608,0.000000,14.621097,24.369302,0.000000,0.000000,11.364317,89.046800,0.759153,19.349386,1.278596,0.000000,661.200682,0.000000,0.000000,47.849643,0.000000,0.000000,36.664052,0.000000,0,0,0,0,0

3,00:30-00:45,71.62,17.073756,42.594859,337.772902,14.518463,18.835237,142.780373,0.000000,8.589145,0.000000,0.000000,0.000000,19.343482,0.000000,0.000000,9.679000,0.000000,99.814688,0.000000,119.695958,6.411370,0.000000,38.971138,25.542978,0.000000,12.150823,23.957151,0.000000,632.183982,56.709261,0.000000,0.000000,25.056608,0.000000,38.802143,24.369302,0.000000,0.000000,16.923248,89.046800,0.759153,19.349386,1.278596,0.000000,661.200682,0.000000,0.000000,47.849643,0.000000,0.000000,36.664052,0.000000,0,0,0,0,0

4,00:45-01:00,74.53,17.073756,42.594859,337.772902,14.518463,18.835237,142.780373,0.000000,8.589145,0.000000,0.000000,0.000000,19.343482,0.000000,0.000000,9.679000,0.000000,99.814688,0.000000,119.695958,6.411370,0.000000,38.971138,25.542978,0.000000,9.299099,23.957151,0.000000,632.183982,56.709261,0.000000,0.000000,25.056608,0.000000,76.828243,24.369302,0.000000,0.000000,16.923248,89.046800,0.759153,19.349386,1.278596,0.000000,661.200682,0.000000,0.000000,47.849643,0.000000,0.000000,36.664052,0.000000,0,0,0,0,0

5,01:00-01:15,72.59,17.073756,42.594859,337.772902,14.518463,18.835237,142.780373,0.000000,8.589145,0.000000,0.000000,0.000000,19.343482,0.000000,0.000000,9.679000,0.000000,99.814688,0.000000,119.695958,6.411370,0.000000,38.971138,25.542978,0.000000,9.299099,23.957151,0.000000,632.183982,56.709261,0.000000,0.000000,25.056608,0.000000,76.828243,24.369302,0.000000,0.000000,16.923248,89.046800,0.759153,19.349386,1.278596,0.000000,661.200682,0.000000,0.000000,47.849643,0.000000,0.000000,36.664052,0.000000,0,0,0,0,0

