Block,Time,KHSTPP-II,MAPS,SEWA2,TANDA2,TEHRI,AURY_GF,KGSU1AND2,RIHAND2,TelanganaSTPP,UNCHAHAR3,UNCHAHAR4,AURY_LF,BRBCL,KISHANGANGA,NLCTS2EXP,PARBATI3,RAPPC,TANAKPUR,UNCHAHAR1,VALLURNTECL,ANTA_LF,DADRI_RF,CHAMERA1,CHAMERA2,FSTPP I & II,KHSTPP-I,KOLDAM,KOTESHWR,NJPC,NLCEXP,NLCIIST2,URI,URI2,BSIUL,KGSU3AND4,NAPP,NTPL,RAPPB,RSTPSU7,SASAN,UNCHAHAR2,ANTA_CRF,DHAULIGNGA,RAPPD,RSTPSU1TO6,SIMHST1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TALST2,ANTA_GF,ANTA_RF,AURY_CRF,AURY_RF,CHAMERA3,DULHASTI,KKNP,KKNPPU2,KUDGI,PARBATI2,RAMPUR,RIHAND1,SALAL,TALA,DADRI_CRF,DADRI_GF,DADRT2,JHAJJAR,NLCIIST1,NNTPP,RIHAND3,TEHRIPSP,DADRI_LF
1,00:00-00:15,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,52.99,28.06,19.56,0,24.36,0,0,0,330.75,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.52,0,0,589.38,667.25,0,0,130.84,0,23.71

2,00:15-00:30,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,52.99,28.06,19.56,0,24.36,0,0,0,330.75,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.52,0,0,589.38,667.25,0,0,130.84,0,23.71

3,00:30-00:45,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,52.99,28.06,19.56,0,24.36,0,0,0,330.75,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.52,0,0,589.38,568.25,0,0,130.84,0,23.71

4,00:45-01:00,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,48.57,28.06,19.56,0,24.36,0,0,0,330.75,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.52,0,0,589.38,541.75,0,0,130.84,0,23.71

5,01:00-01:15,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,48.57,28.06,19.56,0,24.36,0,0,0,330.75,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.52,0,0,589.38,667.25,0,0,130.84,0,23.71

6,01:15-01:30,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,48.57,28.06,19.56,0,24.36,0,0,0,330.75,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.52,0,0,589.38,667.25,0,0,130.84,0,23.71

7,01:30-01:45,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,48.57,36.97,19.56,0,24.36,0,0,0,264.38,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,29.19,0,0,589.38,667.25,0,0,130.84,0,23.71

8,01:45-02:00,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,48.57,36.97,19.56,0,24.36,0,0,0,264.38,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,29.19,0,0,589.38,667.25,0,0,130.84,0,23.71

9,02:00-02:15,98.87,0,12.22,5.73,65.38,0,0,125.27,0,27.69,2.9,0,24.99,6.96,0,41.62,65.42,11.02,18.98,0,0,80.36,42.15,47.12,18.76,45.53,8.62,40.57,175.79,0,0,48.57,36.97,19.56,0,24.36,0,0,0,264.38,45,0,42.46,24.61,0,0,0,74.94,0,0,0,51.96,0,80.39,33.94,55.38,0,0,0,11.25,5.7,98.32,69.72,28.91,0,0,689.38,667.25,0,0,130.84,0,23.71

