Time,Block,NR/2023/17261/F,WR/01102023/01102023/L_NR_2022_09,NR/2023/17165/A,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/2023/17573/C,NR/2023/17558/D,NR/2023/17564/D,NR/2023/17575/C,NR/30092023/31122025/SH-07,NR/2023/17344/F,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/2023/14754/A,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/2023/17565/D,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/2023/17405/F,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_07,NR/2023/14436/A,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/2023/17406/F,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,Total
,,APPCPL,SECI_Trader,NVVNL,SECI_Trader,SECI_Trader,IEXL,IEXL,NVVNL,SJVNL,BAWANA_GAS,ITCLH,DELHI,DELHI,DELHI,SECI_Trader,SECI_Trader,TPTCL,DELHI,APPCPL,SECI_Trader,ERCPL_FTG2,SECI_Trader,DMRC,SECI_Trader,DELHI,DELHI,TPDDL,SECI_Trader,MEJA,SECI_Trader,PUNJAB,DELHI,MANIKARAN,SECI_Trader,DELHI,GMRETL,SECI_Trader,SECI_Trader,SECI_Trader,TPTCL,SECI_Trader,MANIKARAN,SECI_Trader,SECI_Trader,Total

,,HIMACHAL PRADESH,NA,NA,NA,NA,NA,KARNATAKA,NA,NA,DELHI,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HARYANA,DVC,HIMACHAL PRADESH,NA,NA,NA,NA,NA,DVC,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,UTTAR PRADESH,RAJASTHAN,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DVC,MEGHALAYA,NA,NA,NA,NA,RAJASTHAN,HIMACHAL PRADESH,NA,NA,
,,HP,SITAC_CHUGGER_BHJ2_W,SKS Raigarh,SRIJAN_MORJAR_BHJ2_W,TS1PL_BKN,Teesta_III,NSLSUGAR,SOLAPUR_SOLAR,RSRPL_BKN,BAWANA_GAS,ITCWIND,Athena_RUMS,GBHHPL,THPPL_RALA,AlfanarWind_SECI-III,ERCPL_FTG2,CLP_JHAJJAR,MEJIA,HP,Tuticorin_GIREL,ERCPL_FTG2,SBSRPC11PL_BKN,Mahindra_RUMS,SBSRPC11PL_BKN,DVC,SHEPL_HP,CHANJUII,RAJ_SOLAR,MEJA,RAJ_SOLAR,BAWANA_GAS,NHPPL,HP,AlfanarWind_SECI-III,DVC,Meghalaya_Ben,SITAC_CHUGGER_BHJ2_W,AP41PL_BHDL,TS1PL_BKN,MPL,RAJ_SOLAR,HP,AlfanarWind_SECI-III,ASE4PL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,NDMC,BRPL,BYPL,BRPL,MES (Delhi),MES (Delhi),NDMC,HARYANA,ITCLH,DMRC,DIAPL,TPDDL,BYPL,BYPL,TPDDL,BYPL,BYPL,BRPL,BRPL,TPDDL,DMRC,BYPL,DELHI,TPDDL,TPDDL,BRPL,DELHI,BYPL,PUNJAB,TPDDL,BRPL,BRPL,DELHI,BYPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,BYPL,
,,North-North,West-North,West-North,West-North,North-North,East-North,South-East-North,West-North,North-North,North-North,South-West-North,West-North,North-North,North-North,West-North,North-North,North-North,East-North,North-North,South-West-North,North-North,North-North,West-North,North-North,East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,East-North,North East-East-North,West-North,North-North,North-North,East-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,54.130000,23.64,33.830000,8.4,0,604.120000,6.770000,0,0,32.000000,0.580000,0,31.900000,4.650000,12.1,0,118.310000,101.240000,23.200000,10.64,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.610000,4.830000,36.32,71.530000,33.830000,23.64,0,0,271.860000,0.000000,4.350000,12.1,0,1810.22

2,00:15-00:30,54.130000,15.86,33.830000,8.74,0,598.330000,6.770000,0,0,32.000000,0.580000,0,31.900000,4.650000,7.09,0,118.310000,101.240000,23.200000,10.64,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.610000,4.830000,21.27,71.530000,33.830000,15.86,0,0,271.860000,0.000000,4.350000,7.09,0,1764.14

3,00:30-00:45,54.130000,16.98,33.830000,8.96,0,603.160000,6.770000,0,0,32.000000,0.580000,0,31.900000,4.650000,7.09,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.610000,4.830000,21.27,71.530000,33.830000,16.98,0,0,271.860000,0.000000,4.350000,7.09,0,1768.53

4,00:45-01:00,54.130000,18.87,33.830000,9.22,0,583.830000,6.770000,0,0,32.000000,0.580000,0,31.900000,4.650000,7.18,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.610000,4.830000,21.57,71.530000,33.830000,18.87,0,0,271.860000,0.000000,4.350000,7.19,0,1753.73

5,01:00-01:15,54.130000,20.36,33.830000,9.74,0,424.340000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,7.89,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,23.66,71.530000,33.830000,20.36,0,0,271.860000,0.000000,4.350000,7.89,0,1601.04

6,01:15-01:30,54.130000,21.22,33.830000,9.74,0,424.340000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,9.07,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,27.23,71.530000,33.830000,21.22,0,0,271.860000,0.000000,4.350000,9.08,0,1608.7

7,01:30-01:45,54.130000,21.63,33.830000,9.65,0,424.340000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,9.96,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,29.87,71.530000,33.830000,21.63,0,0,271.860000,0.000000,4.350000,9.96,0,1613.84

8,01:45-02:00,54.130000,21.44,33.830000,9.52,0,408.870000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,11.17,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,5.060000,6.550000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,33.5,71.530000,33.830000,21.44,0,0,271.860000,0.000000,4.350000,11.16,0,1603.9

9,02:00-02:15,54.130000,21.13,33.830000,9.4,0,325.740000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,10.56,0,118.310000,101.240000,23.200000,7.99,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,31.67,71.530000,33.830000,21.13,0,0,271.860000,0.000000,4.350000,10.56,0,1516.99

