Block,Time,BSIUL,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,RIHAND1,SIMHST1,ANTA_RF,CHAMERA2,KUDGI,NLCIIST1,NNTPP,NTPL,RSTPSU1TO6,TANAKPUR,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,AURY_LF,KGSU1AND2,KKNPPU2,KOTESHWR,PARBATI2,RIHAND2,SASAN,TALA,URI2,ANTA_CRF,AURY_RF,RAMPUR,RAPPB,RSTPSU7,ANTA_GF,BRBCL,FSTPP I & II,KHSTPP-I,KISHANGANGA,MAPS,NAPP,RAPPC,SALAL,SEWA2,TANDA2,TelanganaSTPP,ANTA_LF,CHAMERA1,JHAJJAR,KGSU3AND4,SINGRAULI,UNCHAHAR3,URI,DADRI_LF,DADRI_RF,DADRT2,KKNP,KOLDAM,NLCIIST2,NLCTS2EXP,RIHAND3,SIMHST2,TEHRI,DADRI_CRF,DADRI_GF,KHSTPP-II,NJPC,NLCEXP,RAPPD,SINGRAULI_HYDRO,TALST2,VALLURNTECL,AURY_CRF,AURY_GF
1,00:00-00:15,19.56,35.03,10.95,59.5,19.64,97.23,0,53.54,48.81,0,0,0,0,0,0.77,21.34,43.9,1.9,0,0,0,10.43,15.02,124.58,345.38,0,38.56,0,85.48,4.33,0,0,0,20,18.2,45.53,8.63,0,25.51,68.56,51.13,18.9,3.5,0,0,42.15,405.27,0,143.68,27.18,49.68,0,112.08,686.1,0,7.19,0,0,130.79,0,12.6,0,0,148.3,110.67,0,30,1,0,0,0,0

2,00:15-00:30,19.56,35.03,10.95,59.5,19.64,97.23,0,53.54,48.81,0,0,0,0,0,6.27,21.34,43.9,1.9,0,0,0,10.43,15.02,124.58,345.38,0,38.56,0,85.48,4.33,0,0,0,20,18.2,45.53,8.63,0,25.51,68.56,51.13,18.9,3.5,0,0,42.15,405.27,0,143.68,27.18,49.68,0,112.08,686.1,0,7.19,0,0,130.79,0,12.35,0,0,148.3,110.67,0,30,1,0,0,0,0

3,00:30-00:45,19.56,35.03,10.95,59.5,19.64,97.23,0,53.54,48.81,0,0,0,0,0,6.27,21.34,43.9,1.9,0,0,0,10.43,15.02,124.58,345.38,0,38.56,0,85.48,4.33,0,0,0,20,18.2,45.53,8.63,0,25.51,68.56,51.13,18.9,3.5,0,0,42.15,405.27,0,143.68,27.18,49.68,0,112.08,686.1,0,7.19,0,0,130.79,0,12.12,0,0,148.3,110.67,0,30,1,0,0,0,0

4,00:45-01:00,19.56,35.03,10.95,59.5,19.64,97.23,0,53.54,48.81,0,0,0,0,0,6.27,21.34,43.9,1.9,0,0,0,10.43,15.02,124.58,345.38,0,38.56,0,85.48,4.33,0,0,0,20,18.2,45.53,8.63,0,25.51,68.56,51.13,18.9,3.5,0,0,42.15,405.27,0,143.68,27.18,49.68,0,112.08,686.1,0,7.19,0,0,130.79,0,0,0,0,148.3,110.67,0,30,1,0,0,0,0

5,01:00-01:15,19.56,35.03,10.95,59.5,19.64,97.23,0,53.54,48.81,0,0,0,0,0,6.27,21.34,43.9,1.9,0,0,0,10.43,15.02,124.58,345.38,0,35.34,0,85.48,4.33,0,0,0,20,18.2,45.53,8.63,0,25.51,68.56,51.13,18.9,3.5,0,0,42.15,405.27,0,143.68,27.18,49.68,0,112.08,686.1,0,7.19,0,0,130.79,0,0,0,0,148.3,110.67,0,30,1,0,0,0,0

