Block,Time,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/R2,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/08032047/L_NR_2021_14,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/06022042/L_NR_2012_07,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01102023/22052037/LT-59,NR/01042024/31072024/LT_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/19072037/LT-05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/IEPL01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/APPCPL/180/F25/GNA/12300
1,00:00-00:15,24.120000,30.880000,0.000000,12.990000,24.120000,48.240000,24.120000,24.120000,29.22,24.16,48.240000,0,29.010000,87.030000,0,0,0,28.260000,24.120000,0.000000,7.140000,100.520000,0,24.17,20,55.21,24.120000,8.380000,16.090000,0,55.21,115.360000,0,261.970000,30.880000,9.210000,0,0,0,0.000000,0,0,0.000000,48.240000,38.600000,272.830000,72.5,0,0,0.000000,38.600000

2,00:15-00:30,24.120000,30.880000,0.000000,12.990000,24.120000,48.240000,24.120000,24.120000,29.42,23.66,48.240000,0,29.010000,87.030000,0,0,0,28.260000,24.120000,0.000000,7.140000,100.520000,0,23.67,20,54.53,24.120000,8.380000,16.090000,0,54.53,115.360000,0,261.970000,30.880000,9.210000,0,0,0,0.000000,0,0,0.000000,48.240000,38.600000,272.830000,71,0,0,0.000000,38.600000

3,00:30-00:45,24.120000,30.880000,0.000000,12.990000,24.120000,48.240000,24.120000,24.120000,30.22,23.34,48.240000,0,29.010000,87.030000,0,0,0,28.260000,24.120000,0.000000,7.140000,100.520000,0,23.33,20,53.42,24.120000,8.380000,16.090000,0,53.42,115.360000,0,261.970000,30.880000,9.210000,0,0,0,0.000000,0,0,0.000000,48.240000,38.600000,272.830000,70,0,0,0.000000,38.600000

4,00:45-01:00,24.120000,30.880000,0.000000,12.990000,24.120000,48.240000,24.120000,24.120000,30.82,23,48.240000,0,29.010000,87.030000,0,0,0,28.260000,24.120000,0.000000,7.140000,100.520000,0,23,19.66,51.88,24.120000,8.380000,16.090000,0,51.88,115.360000,0,261.970000,30.880000,9.210000,0,0,0,0.000000,0,0,0.000000,48.240000,38.600000,272.830000,69,0,0,0.000000,38.600000

5,01:00-01:15,24.120000,30.880000,0.000000,12.900000,24.120000,48.240000,24.120000,24.120000,31.22,22.66,48.240000,0,29.010000,87.030000,0,0,0,28.260000,24.120000,0.000000,7.050000,100.520000,0,22.67,19.34,51.21,24.120000,8.380000,16.090000,0,51.21,115.360000,0,261.970000,30.880000,9.060000,0,0,0,0.000000,0,0,0.000000,48.240000,38.600000,272.830000,68,0,0,0.000000,38.600000

