Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/24072024/24072024/IEX_240723_01681,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/30042040/GNA_LT_36,NR/01072024/31072024/R2,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/19072037/LT-05,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,261.890000,0.000000,0.000000,0.000000,30.870000,9.970000,48.230000,13.170000,272.740000,6.490000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,115.310000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,98,32.66,76.33,0,0,76.33,32.67,0,28.34,0,0,0,0,0,0,0,0,0,43.01,0,0

2,00:15-00:30,261.890000,0.000000,0.000000,0.000000,30.870000,9.970000,48.230000,13.170000,272.740000,6.490000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,115.310000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,98,32.66,76.33,0,0,76.33,32.67,0,28.34,0,0,0,0,0,0,0,0,0,43.21,0,0

3,00:30-00:45,261.890000,0.000000,0.000000,0.000000,30.870000,9.970000,48.230000,13.170000,272.740000,6.490000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,115.310000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,97,32.34,76.33,0,0,76.33,32.33,0,28.34,0,0,0,0,0,0,0,0,0,43.41,0,0

4,00:45-01:00,261.890000,0.000000,0.000000,0.000000,30.870000,9.970000,48.230000,13.170000,272.740000,6.490000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,115.310000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,94.5,31.5,76.33,0,0,76.33,31.5,0,28.34,0,0,0,0,0,0,0,0,0,43.61,0,0

5,01:00-01:15,261.890000,0.000000,0.000000,0.000000,30.870000,9.590000,0.000000,13.170000,272.740000,6.310000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,110.580000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,94.5,31.5,75,0,0,75,31.5,0,28.34,0,0,0,0,0,0,0,0,0,43.81,0,0

6,01:15-01:30,261.890000,0.000000,0.000000,0.000000,30.870000,9.590000,0.000000,13.170000,272.740000,6.310000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,110.580000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,93,31,73.67,0,0,73.67,31,0,27,0,0,0,0,0,0,0,0,0,44.21,0,0

7,01:30-01:45,261.890000,0.000000,0.000000,0.000000,30.870000,9.590000,0.000000,13.170000,272.740000,6.310000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,110.580000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,92.5,30.84,73.67,0,0,73.67,30.83,0,26.66,0,0,0,0,0,0,0,0,0,44.61,0,0

8,01:45-02:00,261.890000,0.000000,0.000000,0.000000,30.870000,9.590000,0.000000,13.170000,272.740000,6.310000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,110.580000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,92,30.66,73.67,0,0,73.67,30.67,0,26.34,0,0,0,0,0,0,0,0,0,44.81,0,0

9,02:00-02:15,261.890000,0.000000,0.000000,0.000000,14.410000,9.360000,0.000000,13.170000,272.740000,6.130000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,110.580000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,101.5,33.84,73.33,0,0,73.33,33.83,0,31.66,0,0,0,0,0,0,0,0,0,44.61,0,0

10,02:15-02:30,261.890000,0.000000,0.000000,0.000000,14.410000,9.360000,0.000000,13.170000,272.740000,6.130000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,110.580000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,101.5,33.84,73.33,0,0,73.33,33.83,0,31.66,0,0,0,0,0,0,0,0,0,44.21,0,0

11,02:30-02:45,261.890000,0.000000,0.000000,0.000000,14.410000,9.360000,0.000000,13.170000,272.740000,6.130000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,101.5,33.84,80,0,0,80,33.83,0,31.66,0,0,0,0,0,0,0,0,0,44.21,0,0

12,02:45-03:00,261.890000,0.000000,0.000000,0.000000,14.410000,9.360000,0.000000,13.170000,272.740000,6.130000,30.280000,96.460000,0.000000,87.010000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,13.740000,100.490000,48.230000,30.870000,0.000000,38.580000,96.460000,101,33.66,80,0,0,80,33.67,0,31.34,0,0,0,0,0,0,0,0,0,43.01,0,0

13,03:00-03:15,261.890000,0.000000,0.000000,0.000000,30.870000,9.060000,0.000000,13.170000,272.740000,5.930000,31.280000,96.460000,0.000000,76.480000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,14.700000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,101,33.66,81.67,0,0,81.67,33.67,0,31.34,0,0,0,0,0,0,0,0,0,39.22,0,0

14,03:15-03:30,261.890000,0.000000,0.000000,0.000000,30.870000,9.060000,0.000000,13.170000,272.740000,5.930000,31.280000,96.460000,0.000000,76.480000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,14.700000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,100.5,33.5,81.67,0,0,81.67,33.5,0,31.34,0,0,0,0,0,0,0,0,0,38.82,0,0

15,03:30-03:45,201.470000,0.000000,0.000000,0.000000,30.870000,9.060000,0.000000,13.170000,272.740000,5.930000,31.280000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,14.700000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,100.5,33.5,81.67,0,0,81.67,33.5,0,31,0,0,0,0,0,0,0,0,0,38.42,0,0

16,03:45-04:00,201.470000,0.000000,0.000000,0.000000,30.870000,9.060000,0.000000,13.170000,272.740000,5.930000,31.280000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,14.700000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,100,33.34,81.67,0,0,81.67,33.33,0,31,0,0,0,0,0,0,0,0,0,37.62,0,0

17,04:00-04:15,201.470000,0.000000,0.000000,0.000000,30.870000,9.060000,0.000000,13.170000,272.740000,5.750000,31.280000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,99.5,33.16,81.67,0,0,81.67,33.17,0,30.66,0,0,0,0,0,0,0,0,0,43.01,0,0

18,04:15-04:30,201.470000,0.000000,0.000000,0.000000,30.870000,9.060000,0.000000,13.170000,272.740000,5.750000,31.280000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,99.5,33.16,81.67,0,0,81.67,33.17,0,30.34,0,0,0,0,0,0,0,0,0,43.01,0,0

19,04:30-04:45,201.470000,0.000000,0.000000,0.000000,30.870000,8.590000,0.000000,13.170000,272.740000,5.750000,31.290000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,0,81.67,34.17,0,30.34,0,0,0,0,0,0,0,0,0,43.01,0,0

20,04:45-05:00,201.470000,0.000000,0.000000,0.000000,30.870000,8.590000,0.000000,13.170000,272.740000,5.750000,31.290000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,0,81.67,34.17,0,30,0,0,0,0,0,0,0,0,0,43.01,0,0

21,05:00-05:15,165.860000,0.000000,0.000000,0.000000,30.870000,8.210000,0.000000,13.170000,272.740000,5.570000,31.290000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,0,81.67,34.17,0,30,0,0,0,0,0,0,0,0,0,43.01,0,0

22,05:15-05:30,201.470000,0.000000,0.000000,0.000000,30.870000,8.210000,0.000000,13.170000,272.740000,5.570000,31.290000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,53.050000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,0,81.67,34.17,0,29.66,0,0,0,0,0,0,0,0,0,43.01,0,0

23,05:30-05:45,201.470000,0.000000,0.000000,0.000000,30.870000,8.210000,0.000000,13.170000,272.740000,5.570000,31.290000,96.460000,0.000000,57.590000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,100.490000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,0,81.67,34.17,0,29.34,0,0,0,0,0,0,0,0,0,39.02,0,0

24,05:45-06:00,201.470000,0.000000,0.000000,0.000000,30.870000,8.210000,0.000000,13.170000,272.740000,5.570000,31.290000,96.460000,0.000000,68.080000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,100.490000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,0,81.67,34.17,0.760578,29,0.1,0.49,0,0,0,0,0,0,0,38.82,0.2,0

25,06:00-06:15,201.470000,0.000000,0.000000,0.000000,30.870000,8.210000,0.000000,12.900000,272.740000,5.380000,31.290000,96.460000,0.000000,68.080000,0.000000,12.420000,0.000000,24.120000,72.340000,15.140000,66.160000,11.810000,100.490000,48.230000,30.870000,0.000000,0.000000,96.460000,102.5,34.16,81.67,0,1,81.67,34.17,2.252481,28.34,0.53,2.67,0,0,10.06,0.82,1,0,6.25,38.62,1,1

