Block,Time,DHAULIGNGA,ANTA_GF,AURY_LF,TANAKPUR,KISHANGANGA,DADRT2,CHAMERA1,RAMPUR,RAPPB,SINGRAULI_HYDRO,NJPC,ANTA_CRF,URI2,RAPPC,RIHAND2,TANDA2,RIHAND1,SINGRAULI,NAPP,TEHRI,UNCHAHAR3,DULHASTI,DADRI_GF,UNCHAHAR2,DADRI_LF,AURY_GF,SALAL,ANTA_LF,DADRI_RF,KOTESHWR,AURY_CRF,RIHAND3,CHAMERA3,DADRI_CRF,KOLDAM,JHAJJAR,UNCHAHAR4,BSIUL,AURY_RF,SEWA2,ANTA_RF,KHSTPP-I,BRBCL,KHSTPP-II,PARBATI3,CHAMERA2,KUDGI,URI,TALA,FSTPP I & II,UNCHAHAR1,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,33.322489,0.000000,0.000000,12.925392,0.000000,630.088725,40.892067,0.000000,0.000000,1.039356,136.163107,0.000000,30.946841,49.616707,114.604875,0.000000,89.258400,135.158562,38.649275,44.008272,17.269172,47.963347,0.000000,41.126875,0.000000,0.000000,83.425558,0.000000,0.000000,17.219110,0.000000,119.980389,28.196736,0.000000,0.000000,627.452692,0.000000,6.358497,0.000000,0.000000,0.000000,42.106680,19.403955,95.409468,0.000000,38.332718,43.66,47.128435,18.540522,19.042835,13.786930,406.290654,0,0,0,0,0

2,00:15-00:30,33.322489,0.000000,0.000000,12.925392,0.000000,605.833725,40.892067,0.000000,0.000000,1.039356,136.163107,0.000000,30.946841,49.616707,114.604875,0.000000,89.258400,135.158562,38.649275,44.008272,17.269172,47.963347,0.000000,41.126875,0.000000,0.000000,83.425558,0.000000,0.000000,17.219110,0.000000,119.980389,28.196736,0.000000,0.000000,627.452692,0.000000,6.358497,0.000000,0.000000,0.000000,42.106680,18.318402,95.409468,0.000000,38.332718,41.72,47.128435,18.540522,19.419523,13.786930,406.290654,0,0,0,0,0

3,00:30-00:45,33.322489,0.000000,0.000000,12.925392,0.000000,581.578725,40.892067,0.000000,0.000000,1.039356,147.004704,0.000000,30.946841,49.616707,114.604875,0.000000,89.258400,135.158562,38.649275,44.008272,17.269172,47.963347,0.000000,41.126875,0.000000,0.000000,83.425558,0.000000,0.000000,17.219110,0.000000,119.980389,28.196736,0.000000,0.000000,627.452692,0.000000,6.358497,0.000000,0.000000,0.000000,42.106680,19.403955,95.409468,0.000000,38.332718,38.81,6.426605,18.540522,19.419523,13.786930,406.290654,0,0,0,0,0

4,00:45-01:00,33.322489,0.000000,0.000000,12.925392,0.000000,557.323725,40.892067,0.000000,0.000000,1.039356,147.004704,0.000000,30.946841,49.616707,114.604875,0.000000,89.258400,135.158562,38.649275,44.008272,17.269172,47.963347,0.000000,41.126875,0.000000,0.000000,83.425558,0.000000,0.000000,17.219110,0.000000,119.980389,28.196736,0.000000,0.000000,627.452692,0.000000,6.358497,0.000000,0.000000,0.000000,42.106680,16.782890,95.409468,0.000000,38.332718,33.96,6.426605,18.540522,19.419523,13.786930,406.290654,0,0,0,0,0

5,01:00-01:15,33.322489,0.000000,0.000000,12.925392,0.000000,533.068725,36.789984,0.000000,0.000000,1.039356,147.004704,0.000000,30.946841,49.616707,114.604875,0.000000,89.258400,135.158562,38.649275,44.008272,17.269172,47.963347,0.000000,41.126875,0.000000,0.000000,83.425558,0.000000,0.000000,17.219110,0.000000,119.980389,28.196736,0.000000,0.000000,627.452692,0.000000,6.358497,0.000000,0.000000,0.000000,42.106680,14.571227,95.409468,0.000000,38.332718,33.96,6.426605,18.540522,19.419523,13.786930,406.290654,0,0,0,0,0

