Block,Time,RIHAND3,DADRI_RF,CHAMERA3,TANDA2,ANTA_GF,KOLDAM,UNCHAHAR3,AURY_CRF,NJPC,CHAMERA2,BSIUL,DHAULIGNGA,RIHAND2,UNCHAHAR4,AURY_GF,SALAL,KOTESHWR,SINGRAULI_HYDRO,UNCHAHAR1,RAMPUR,ANTA_LF,TANAKPUR,RAPPB,CHAMERA1,AURY_LF,KISHANGANGA,DULHASTI,UNCHAHAR2,AURY_RF,PARBATI3,RAPPC,ANTA_RF,DADRI_CRF,URI2,TEHRI,SEWA2,RIHAND1,DADRI_LF,SINGRAULI,JHAJJAR,NAPP,DADRI_GF,DADRT2,URI,ANTA_CRF,KHSTPP-I,BRBCL,FSTPP I & II,TALA,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,12.360194,8.581158,0.647455,10.549970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.088094,0.000000,134.712770,388.734000,41.000413,0.000000,575.481040,12.810816,0.000000,44.867910,19.339347,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

2,00:15-00:30,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,25.844042,8.581158,0.647455,10.549970,0.000000,0.000000,5.698144,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,379.064000,41.000413,0.000000,507.791040,33.094608,0.000000,44.867910,18.394514,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

3,00:30-00:45,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,76.756805,8.581158,0.647455,10.549970,0.000000,0.000000,5.698144,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,429.758975,41.000413,0.000000,510.401940,33.094608,0.000000,44.867910,16.970956,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

4,00:45-01:00,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,76.756805,8.581158,0.647455,10.549970,0.000000,0.000000,5.698144,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,400.748975,41.000413,0.000000,556.141040,33.094608,0.000000,44.867910,15.738403,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

5,01:00-01:15,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,76.756805,8.581158,0.647455,10.549970,0.000000,0.000000,5.698144,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,400.748975,41.000413,0.000000,556.141040,39.500016,0.000000,44.867910,14.635337,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

6,01:15-01:30,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,76.756805,8.581158,0.647455,10.549970,0.000000,0.000000,6.441380,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,400.748975,41.000413,0.000000,556.141040,39.500016,0.000000,44.867910,14.571803,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

7,01:30-01:45,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,25.844042,8.581158,0.647455,10.549970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,393.979975,41.000413,0.000000,556.141040,33.094608,0.000000,44.867910,15.556576,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

8,01:45-02:00,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,25.519227,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,24.720388,8.581158,0.647455,10.549970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,353.365975,41.000413,0.000000,556.141040,33.094608,0.000000,44.867910,15.948366,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

9,02:00-02:15,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,23.426637,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,24.720388,8.581158,0.647455,9.804316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,348.530975,41.000413,0.000000,507.791040,33.094608,0.000000,44.867910,15.612243,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

10,02:15-02:30,119.584659,0.000000,9.358471,0.000000,0.000000,0.000000,22.905329,0.000000,0.000000,12.735429,12.611227,0.000000,96.255180,0.000000,0.000000,24.720388,8.581158,0.647455,9.804316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.935050,36.249446,0.000000,0.000000,51.171029,0.000000,0.000000,31.479563,0.000000,15.282514,88.964000,0.000000,134.712770,348.530975,41.000413,0.000000,507.791040,33.094608,0.000000,44.867910,16.047297,20.045910,0.000000,404.950590,142.647609,0,0,0,0,0

