Block,Time,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/02122045/L_NR_2021_13,NR/01032024/22032024/HP-59,WR/01102023/01102023/L_NR_2022_09,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01102023/15082037/GNA_NR_2012_01,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/02012046/L_NR_2021_17,NR/01102023/05012040/L_NR_2020_02,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/01032024/31032024/SJVN010324NR1588,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01032024/15032024/HP-62,NR/01032024/22032024/HP-56,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31032024/ ChanjuII,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,0,12,0,0,32.760000,36.67,48.14,99.750000,96.27,0,1.340000,0,17.5,0,0,52.5,96.27,0,0,17.5,0,0,260.510000,36.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,0.000000,3.490000,0.000000,26.690000,0.850000,25.990000

2,00:15-00:30,0,0,11.66,0,0,32.760000,36.67,48.14,99.750000,96.27,0,1.340000,0,17.5,0,0,52.5,96.27,0,0,17.5,0,0,229.480000,36.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,0.000000,3.490000,0.000000,26.690000,0.850000,25.990000

3,00:30-00:45,0,0,11.66,0,0,32.760000,36.67,48.14,99.750000,96.27,0,1.340000,0,17.5,0,0,52.5,96.27,0,0,17.5,0,0,213.110000,36.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,1.030000,3.490000,0.000000,26.690000,0.850000,25.990000

4,00:45-01:00,0,0,11.34,0,0,32.760000,36.67,48.14,99.750000,96.27,0,1.340000,0,17.67,0,0,53,96.27,0,0,17.66,0,0,200.600000,36.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,1.030000,3.490000,0.000000,26.690000,0.850000,25.990000

5,01:00-01:15,0,0,11,0,0,32.760000,36.67,48.14,99.750000,96.27,0,1.340000,0,17.83,0,0,53.5,96.27,0,0,17.84,0,0,200.600000,36.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,0.990000,3.490000,0.000000,26.690000,0.850000,25.990000

6,01:15-01:30,0,0,13,0,0,32.760000,36.33,48.14,99.750000,96.27,0,1.340000,0,18,0,0,54,96.27,0,0,18,0,0,200.600000,36.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,0.990000,3.490000,0.000000,26.690000,0.850000,25.990000

7,01:30-01:45,0,0,12.66,0,0,32.760000,36.33,48.14,99.750000,96.27,0,1.340000,0,18.17,0,0,54.5,96.27,0,0,18.16,0,0,200.600000,36.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,63.130000,0.000000,0.990000,3.490000,0.000000,26.690000,0.850000,25.990000

8,01:45-02:00,0,0,12.34,0,0,32.760000,36,48.14,70.870000,96.27,0,1.340000,0,18.33,0,0,55,96.27,0,0,18.34,0,0,169.140000,36,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,52.630000,0.000000,0.990000,3.490000,0.000000,26.690000,0.850000,25.990000

9,02:00-02:15,0,0,10,0,0,32.760000,36.33,48.14,53.910000,96.27,0,1.340000,0,15,0,0,45,96.27,0,0,15,0,0,142.480000,36.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,47.170000,98.210000,76.530000,211.790000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

10,02:15-02:30,0,0,9.66,0,0,32.760000,36.33,48.14,53.910000,96.27,0,1.340000,0,15.33,0,0,46,96.27,0,0,15.34,0,0,113.600000,36.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,192.540000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

11,02:30-02:45,0,0,9.34,0,0,32.760000,36.67,48.14,53.910000,96.27,0,1.340000,0,15.83,0,0,47.5,96.27,0,0,15.84,0,0,113.600000,36.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,173.290000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

12,02:45-03:00,0,0,9,0,0,32.760000,36.33,48.14,53.910000,96.27,0,1.340000,0,16,0,0,48,96.27,0,0,16,0,0,113.600000,36.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

13,03:00-03:15,0,0,8.66,0,0,32.760000,36,48.14,53.910000,96.27,0,1.340000,0,13.67,0,0,41,96.27,0,0,13.66,0,0,113.600000,36,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

14,03:15-03:30,0,0,8.66,0,0,32.760000,36,48.14,53.910000,96.27,0,1.340000,0,14,0,0,42,96.27,0,0,14,0,0,113.600000,36,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

15,03:30-03:45,0,0,7.34,0,0,32.760000,23.33,48.14,53.910000,96.27,0,1.340000,0,11,0,0,33,96.27,0,0,11,0,0,113.600000,23.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

16,03:45-04:00,0,0,7.34,0,0,32.760000,23.33,48.14,53.910000,96.27,0,1.340000,0,11.33,0,0,34,96.27,0,0,11.34,0,0,113.600000,23.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.990000,3.400000,0.000000,26.690000,0.850000,25.030000

17,04:00-04:15,0,0,7.34,0,0,32.760000,18.67,48.14,53.910000,96.27,0,1.300000,0,9.17,0,0,27.5,96.27,0,0,9.16,0,0,113.600000,18.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.950000,3.400000,0.000000,26.690000,0.770000,25.030000

18,04:15-04:30,0,0,7.34,0,0,32.760000,19,48.14,53.910000,96.27,0,1.300000,0,9.17,0,0,27.5,96.27,0,0,9.16,0,0,113.600000,19,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,148.910000,33.690000,0.000000,0.950000,3.400000,0.000000,26.690000,0.770000,25.030000

19,04:30-04:45,0,0,7.34,0,0,32.760000,19,48.14,53.910000,96.27,0,1.300000,0,9.33,0,0,28,96.27,0,0,9.34,0,0,113.600000,19,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,35.100000,98.210000,76.530000,173.290000,33.690000,0.000000,0.950000,3.400000,0.000000,26.690000,0.770000,25.030000

20,04:45-05:00,0,0,7.34,0,0,32.760000,19.33,48.14,53.910000,96.27,0,1.300000,0,9.67,0,0,29,96.27,0,0,9.66,0,0,152.110000,19.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,47.170000,98.210000,76.530000,192.540000,33.690000,0.000000,0.950000,3.400000,0.000000,26.690000,0.770000,25.030000

21,05:00-05:15,0,0,7.34,0,0,32.760000,28.33,48.14,53.910000,96.27,0,1.300000,0,9.83,0,0,29.5,96.27,0,0,9.84,0,0,200.240000,28.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,52.630000,0.000000,0.950000,3.400000,0.000000,26.690000,0.850000,25.030000

22,05:15-05:30,0,0,7.34,0,0,32.760000,28.67,48.14,82.790000,96.27,0,1.300000,0,10.33,0,0,31,96.27,0,0,10.34,0,0,210.220000,28.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,52.630000,0.000000,0.950000,3.400000,0.000000,26.690000,0.850000,25.030000

23,05:30-05:45,0,0,7.34,0,0,32.760000,29.33,48.14,99.750000,96.27,0,1.300000,0,14.17,0,0,42.5,96.27,0,0,14.16,0,0,258.360000,29.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,52.630000,0.000000,0.950000,3.400000,0.000000,26.690000,0.850000,25.030000

24,05:45-06:00,0,0,7,0,0,32.760000,29.67,48.14,99.750000,96.27,0,1.300000,0,14.67,0,0,44,96.27,0,0,14.66,0,0,260.510000,29.67,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,26.690000,0.000000,57.740000,98.210000,76.530000,211.790000,76.330000,0.000000,0.950000,3.400000,0.000000,26.690000,0.850000,25.030000

25,06:00-06:15,0,0,7,0,0,0.000000,43.33,48.14,70.870000,96.27,0,1.300000,0,15.33,0,0,46,96.27,0,0,15.34,0,0,233.850000,43.33,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,30.810000,0.000000,47.170000,0.000000,0.000000,211.790000,57.400000,0.000000,0.950000,3.310000,0.000000,26.190000,0.850000,25.030000

26,06:15-06:30,0.01,0,7,0,0,0.000000,43,48.14,53.910000,96.27,0,1.300000,0,15.67,0,0,47,96.27,0,1,15.66,0,0,233.850000,43,0,0,6.61,0,0,0,144.405000,48.140000,0.000000,30.810000,0.000000,47.170000,0.000000,0.000000,192.540000,57.400000,0.000000,0.950000,3.310000,0.000000,26.190000,0.850000,25.030000

27,06:30-06:45,0.01,0,10,0,0,0.000000,42.67,48.14,82.790000,96.27,0,1.300000,0,15.83,0,0.690901,47.5,96.27,0,8.14,15.84,0,0,260.510000,42.67,1,2,6.61,0,0,0,144.405000,48.140000,0.000000,30.810000,0.000000,57.740000,0.000000,0.000000,211.790000,81.460000,0.000000,0.990000,3.310000,0.000000,24.200000,0.850000,24.070000

28,06:45-07:00,0.01,0,9.66,0,0,0.000000,41.67,48.14,99.750000,96.27,0,1.300000,0,15.33,0,4.933617,46,96.27,1,14.94,15.34,0,0,260.510000,41.67,3,7,6.61,0,0,1,144.405000,48.140000,0.000000,30.810000,0.000000,57.740000,0.000000,0.000000,211.790000,86.840000,0.000000,0.990000,3.310000,0.000000,24.200000,0.850000,23.100000

