Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25761/C,WR/2025/26426/A/60226,NR/2025/25518/A/60263,NR/2025/25517/A/60254,NR/2025/25159/A/60121,WR/2025/26427/A/60228,WR/2025/26582/A/60496,WR/2025/26499/A/60498,NR/2025/25516/A/60248,NR/2025/25762/C,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/4651,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/9482,GNA/SR/2025/03/01/7500,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/2563,Total
,,SECI_Trader,SJVNL,KEIPL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ITCLH,KEIPL,APPCPL,APPCPL,ABLWM1_AEROCITY,SJVNL,NDMC,NDMC,DELHI,PTC,NDMC,BAWANA_GAS,NDMC,NDMC,APPCPL,PUNJAB,PTC,TPTCL,APPCPL,APPCPL,NDMC,
,,NA,NA,DELHI_UT,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,APSEPL_FTG,TPSL_BKN2,BYPL,TCSPL_BKN2,TCSPL_BKN2,ITCWIND,BRPL,BRPL,BRPL,TCSPL_BKN2,RSRPL_BKN,JPL2,TRN_ENERGY,CHANJUII,BYPL,SKS_Raigarh,BAWANA_GAS,RKM_POWER,JIPL,BYPL,BAWANA_GAS,BRPL,BYPL,BYPL,BRPL,RKM_POWER,
,,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,KERALA_State,PUNJAB_STATE,HIMACHAL_STATE,MSEB_State,MSEB_State,MSEB_State,DELHI_UT,
,,TPDDL,NDMC,CSEB_Beneficiary,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ITCLH,CSEB_Beneficiary,CSEB_Beneficiary,AEML,ABLWM1_AEROCITY,NDMC,NDMC,NDMC,TPDDL,HP,NDMC,HARYANA,NDMC,NDMC,KSEB,PUNJAB,HP,TPC_MSEB,AEML,AEML,NDMC,
,,North-North,North-North,North-West,North-North,North-North,South-West-North,North-West,North-West,North-West,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,East-North,North-West-South,North-North,North-North,North-West,North-West,North-West,West-North,
1,00:00-00:15,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.55,79.27,6.75,32,23.41,17.35,200,32,237.82,0,0,42,23.41,947.5400000000001

2,00:15-00:30,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.55,79.27,6.75,32,23.41,17.35,200,32,237.82,0,0,42,23.41,947.5400000000001

3,00:30-00:45,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,2.79,23.41,17.35,200,32,237.82,0,0,42,23.41,918.5200000000001

4,00:45-01:00,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,2.79,23.41,17.35,200,32,237.82,0,0,42,23.41,918.5200000000001

5,01:00-01:15,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,17.4,23.41,17.35,200,17.4,237.82,0,0,42,23.41,918.5300000000001

6,01:15-01:30,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,17.4,23.41,17.35,200,17.4,237.82,0,0,42,23.41,918.5300000000001

7,01:30-01:45,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,17.4,23.41,17.35,200,17.4,237.82,0,0,42,23.41,918.5300000000001

8,01:45-02:00,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,17.4,23.41,17.35,200,17.4,237.82,0,0,42,23.41,918.5300000000001

9,02:00-02:15,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,17.4,23.41,17.35,0,17.4,237.82,0,0,42,23.41,718.53

