Block,Time Block,KOTESHWR,NAPP,KKNPPU2,KUDGI,KOLDAM,NJPC,MAPS,NLCIIST2,NLCEXP,NLCIIST1,PARBATI3,NLCTS2EXP,NNTPP,NTPL,PARBATI2,BSIUL,BRBCL,CHAMERA1,KHSTPP-II,KKNP,KISHANGANGA,AURY_LF,DADRI_GF,DADRI_RF,DADRI_CRF,AURY_RF,DADRI_LF,URI,AURY_CRF,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,ANTA_GF,UNCHAHAR2,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,SALAL,SEWA2,TEHRI,SIMHST1,SINGRAULI_HYDRO,TALA,SIMHST2,TANDA2,SASAN,SINGRAULI,TANAKPUR,TelanganaSTPP,TALST2,DHAULIGNGA,FSTPP I & II,DULHASTI,RSTPSU1TO6,RIHAND1,RSTPSU7,RIHAND3,RIHAND2,DADRT2,CHAMERA2,CHAMERA3,RAPPD,RAMPUR,RAPPC,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,18.88,14.48,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,34.67,587.42,0,0,43.95,76.63,0,30.2,0,0.95,0,0,5.33,404.24,145.12,0,0,0,10.57,20.08,57.44,0,93.86,0,126.25,120.26,418.14,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

2,00:15-00:30,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,18.88,14.48,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,33.61,472.05,0,0,43.95,76.63,0,30.2,0,0.95,0,0,5.33,404.24,145.12,0,0,0,10.57,20.08,57.44,0,93.86,0,126.25,120.26,299.02,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

3,00:30-00:45,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,12.59,14.48,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,33.61,320.75,0,0,43.95,76.63,0,30.2,0,0.95,0,0,5.33,404.24,145.12,6.05,0,0,10.57,20.08,57.44,0,93.86,0,126.25,120.26,181.42,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

4,00:45-01:00,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,12.59,11.86,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,33.61,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,5.33,404.24,145.12,6.05,0,0,10.57,20.08,57.44,0,93.86,0,126.25,120.26,89.25,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

5,01:00-01:15,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,12.59,13.02,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,33.87,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,5.33,404.24,145.12,6.05,0,0,10.57,20.08,57.44,0,93.86,0,126.25,120.26,89.25,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

6,01:15-01:30,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,12.59,10.01,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,33.87,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,5.33,404.24,145.12,6.05,0,0,10.57,20.08,57.44,0,93.86,0,126.25,120.26,89.25,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

7,01:30-01:45,10.07,25,0,0,6.94,133.53,0,0,0,0,37.03,0,0,0,29.02,12.59,10.43,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.97,34.11,0,21.19,0,0,33.6,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,4.55,404.24,143.32,6.05,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,33.81,21.26,5.23,66.83,0,0,0,0,0,0

8,01:45-02:00,10.07,25,0,0,6.94,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,9.93,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,0.83,34.11,0,21.19,0,0,33.6,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,4.55,404.24,143.32,6.05,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,33.81,21.26,4.25,66.83,0,0,0,0,0,0

9,02:00-02:15,10.07,25,0,0,6.94,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,10.24,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,16.8,0,0,1.22,34.11,0,21.19,0,0,33.6,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,3.98,404.24,143.32,6.05,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,33.81,21.26,4.25,66.83,0,0,0,0,0,0

10,02:15-02:30,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,13.24,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,13.43,0,0,0.97,34.11,0,17.24,0,0,28.77,262.83,0,0,43.95,76.63,0,30.2,0,0.95,0,0,3.98,404.24,143.32,6.05,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,33.81,21.26,4.25,66.83,0,0,0,0,0,0

11,02:30-02:45,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,12.47,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,13.43,0,0,0.97,34.11,0,17.24,0,0,28.77,241.6,0,0,43.95,76.63,0,30.2,0,0.95,0,0,3.98,404.24,143.32,0.49,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,33.81,21.26,4.25,66.83,0,0,0,0,0,0

12,02:45-03:00,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,13.66,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,13.43,0,0,0.97,34.11,0,17.24,0,0,28.77,241.6,0,0,43.95,76.63,0,30.2,0,0.95,0,0,3.98,404.24,143.32,0.49,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,22.52,21.26,4.25,66.83,0,0,0,0,0,0

13,03:00-03:15,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,13.93,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,11.9,0,0,0.97,18.61,0,14.69,0,0,23.89,241.6,0,0,43.95,76.63,0,30.2,0,0.95,0,0,3.98,404.24,143.32,0.49,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,22.52,21.26,4.25,66.83,0,0,0,0,0,0

14,03:15-03:30,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,14.48,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,11.9,0,0,0.97,18.61,0,14.69,0,0,23.89,241.6,0,0,43.95,51.08,0,30.2,0,0.95,0,0,3.98,404.24,143.32,0.49,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,22.52,21.26,4.25,66.83,0,0,0,0,0,0

15,03:30-03:45,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,14.48,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,13.43,0,0,0.97,18.61,0,17.24,0,0,28.77,256.09,0,0,43.95,25.54,0,30.2,0,0.95,0,0,3.98,332.3,143.32,0.49,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,22.52,21.26,4.25,66.83,0,0,0,0,0,0

16,03:45-04:00,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,14.48,27.15,143.15,0,8.33,0,0,0,0,0,0,50.54,0,0,13.43,0,0,0.97,18.61,0,17.24,0,0,28.77,256.09,0,0,43.95,25.54,0,30.2,0,0.95,0,0,3.98,332.3,143.32,0.49,0,0,10.57,20.08,57.44,0,92.98,0,125.14,119.26,48.71,47.12,22.52,21.26,4.25,66.83,0,0,0,0,0,0

17,04:00-04:15,10.07,25,0,0,4.62,106.83,0,0,0,0,37.03,0,0,0,29.02,12.59,14.48,27.15,132.22,0,8.33,0,0,0,0,0,0,50.54,0,0,13.43,0,0,0.97,18.61,0,17.24,0,0,28.77,256.09,0,0,34.78,25.54,0,30.2,0,0.95,0,0,2.93,332.3,143.32,0.49,0,0,10.57,16.1,57.44,0,92.98,0,125.14,119.26,48.71,47.12,22.52,21.26,4.25,66.83,0,0,0,0,0,0

