Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9395,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9252,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/7902,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8456,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,9,10.83,0,0,32.51,0,0,26.93,133.21,115.43,4.92,0,9.79,26.93,0,0,4.67,0,28.77,67.57,10.62,0,6.16,123.08,0,3.7,13.51,7.76,28.96,199.21,5.79,14.48,14.48,0,164.1,100.56,0,164.1,26.06,28.96,10.19,0,10.83,0,0,0,0,0,29.33,0,29.34,13.33,0,0

2,00:15-00:30,9.4,10.83,0,0,32.51,0,0,26.93,133.21,115.43,4.92,0,9.79,26.93,0,0,4.67,0,29.27,67.57,10.62,0,5.5,123.08,0,3.7,13.51,7.76,28.96,199.21,5.79,14.48,14.48,0,164.1,100.56,0,164.1,26.06,28.96,10.19,0,10.83,0,0,0,0,0,28.33,0,28.34,12.67,0,0

3,00:30-00:45,9.8,11,0,0,33,0,0,26.93,133.21,106.92,4.92,0,9.79,26.93,0,0,4.67,0,29.77,67.57,10.62,0,5.5,123.08,0,3.7,13.51,7.76,28.96,199.21,5.79,14.48,14.48,0,164.1,100.56,0,164.1,26.06,28.96,10.19,0,11,0,0,0,0,0,28.67,0,28.66,12,0,0

4,00:45-01:00,10,11.33,0,0,34.01,0,0,26.93,133.21,98.4,4.92,0,9.79,26.93,0,0,4.67,0,29.77,67.57,10.62,0,5.5,123.08,0,3.7,13.51,7.76,28.96,199.21,5.79,14.48,14.48,0,164.1,100.56,0,164.1,26.06,28.96,10.19,0,11.33,0,0,0,0,0,29.33,0,29.34,11.67,0,0

5,01:00-01:15,10,10.33,0,0,31.01,0,0,26.93,133.21,89.89,4.69,0,9.79,26.93,38.61,0,4.67,0,29.77,67.57,10.62,0,5.5,123.08,0,3.7,13.51,7.76,28.96,199.21,5.79,14.48,14.48,0,164.1,100.56,0,164.1,26.06,28.96,10.19,0,10.33,0,0,0,0,0,29.67,0,29.66,3.33,0,0

