Block,Time,DADRI_RF,KISHANGANGA,TANDA2,RIHAND1,URI2,SINGRAULI_HYDRO,RAPPC,TANAKPUR,RAMPUR,RIHAND2,SEWA2,RIHAND3,UNCHAHAR4,ANTA_LF,CHAMERA3,AURY_CRF,AURY_LF,SINGRAULI,JHAJJAR,ANTA_RF,UNCHAHAR3,CHAMERA2,TEHRI,CHAMERA1,KOTESHWR,URI,AURY_GF,BSIUL,DADRT2,DADRI_LF,UNCHAHAR2,RAPPB,NAPP,NJPC,PARBATI3,DULHASTI,DADRI_GF,KOLDAM,SALAL,UNCHAHAR1,AURY_RF,DADRI_CRF,ANTA_CRF,ANTA_GF,DHAULIGNGA,KHSTPP-II,KHSTPP-I,BRBCL,FSTPP I & II,TALA,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,8.045392,5.164609,68.179901,16.955176,1.086321,65.745941,10.503047,6.506724,119.976948,0.000000,125.957564,2.980614,0.000000,33.598227,0.000000,0.000000,126.230297,407.479643,0.000000,26.660560,46.782935,62.410801,40.656038,37.808120,30.882634,0.000000,6.289964,331.874706,0.000000,33.723529,0.000000,47.373781,173.591783,18.396695,57.080594,0.000000,9.850160,80.702294,21.132389,0.000000,0.000000,0.000000,0.000000,0.000000,143.050180,31.031278,14.468985,12.469384,9.500345,336.621285,0,0,0,0,0

2,00:15-00:30,0.000000,8.045392,5.164609,68.179901,16.955176,1.086321,65.745941,10.503047,6.506724,119.976948,0.000000,125.957564,2.980614,0.000000,33.598227,0.000000,0.000000,126.230297,407.479643,0.000000,26.660560,46.782935,62.410801,40.656038,37.808120,30.882634,0.000000,6.289964,331.874706,0.000000,33.723529,0.000000,47.373781,173.591783,18.396695,57.080594,0.000000,9.850160,80.702294,21.132389,0.000000,0.000000,0.000000,0.000000,0.000000,143.050180,31.031278,14.468984,12.469384,9.500345,336.621285,0,0,0,0,0

3,00:30-00:45,0.000000,8.045392,5.164609,68.179901,16.955176,1.086321,65.745941,10.503047,6.506724,119.976948,0.000000,125.957564,2.980614,0.000000,33.598227,0.000000,0.000000,126.230297,407.479643,0.000000,26.660560,42.616033,62.410801,40.656038,37.808120,30.882634,0.000000,6.289964,331.874706,0.000000,33.723529,0.000000,47.373781,173.591783,18.396695,57.080594,0.000000,9.850160,80.702294,21.132389,0.000000,0.000000,0.000000,0.000000,0.000000,143.050180,31.031278,14.468981,12.469384,9.500345,336.621285,0,0,0,0,0

4,00:45-01:00,0.000000,8.045392,5.164609,68.179901,16.955176,1.086321,65.745941,10.503047,6.506724,119.976948,0.000000,125.957564,2.980614,0.000000,33.598227,0.000000,0.000000,126.230297,407.479643,0.000000,26.660560,42.616033,62.410801,40.656038,37.808120,30.882634,0.000000,6.289964,331.874706,0.000000,33.723529,0.000000,47.373781,173.591783,18.396695,57.080594,0.000000,9.850160,80.702294,21.132389,0.000000,0.000000,0.000000,0.000000,0.000000,143.050180,31.031278,12.568738,12.469384,9.500345,336.621285,0,0,0,0,0

5,01:00-01:15,0.000000,8.045392,5.164609,68.179901,16.955176,1.086321,65.745941,10.503047,6.506724,119.976948,0.000000,125.957564,2.980614,0.000000,33.598227,0.000000,0.000000,126.230297,407.479643,0.000000,26.660560,42.616033,62.410801,27.104025,37.808120,30.882634,0.000000,6.289964,331.874706,0.000000,33.723529,0.000000,47.373781,173.591783,18.396695,57.080594,0.000000,9.850160,80.702294,21.132389,0.000000,0.000000,0.000000,0.000000,0.000000,143.050180,31.031278,11.469094,12.469384,9.500345,336.621285,0,0,0,0,0

