Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/7459,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8058,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3514,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/6775,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/2470,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/20/4168,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/20/9046,NR/01102023/22052037/LT-59,GNA/NR/2025/01/20/4698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/02/1250,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606
1,00:00-00:15,0,0,0,11.41,16.67,0,0,8.33,0,25.01,7.33,16.66,8.33,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,100.09,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,11.41,17.67,0,0,8.67,0,25.99,7,17.66,8.67,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,100.09,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,11.21,19,0,0,9.17,0,27.49,7,19,9.17,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,100.09,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,11.21,19.33,0,0,9.33,0,28.01,7,19.34,9.33,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,100.09,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,11.21,17,0,0,8.67,0,25.99,7.33,17,8.67,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,86.46,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,11,17.33,0,0,9,0,27,7.33,17.34,9,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,86.46,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,10.8,19.67,0,0,9.17,0,27.49,8,19.66,9.17,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,81.66,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,10.6,21.67,0,0,9.5,0,28.5,8.33,21.66,9.5,70.06,59.4,0,24.02,149.4,48.04,0,8.65,0,26.9,0.99,24.02,19.21,0,24.02,1.34,0,81.66,0,0,0,64.37,0,0,0,0,0,1.47,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,10.4,19.33,0,0,10,0,30,9,19.34,10,70.06,59.4,0,23.06,149.4,48.04,0,8.65,0,26.9,0.99,23.06,19.21,0,23.06,1.34,0,86.46,0,0,0,64.37,0,0,0,0,0,1.37,0,20.17,28.82,31.7,48.04,0,0,0,0,0,0,0,0,0

