Time,Block,NR/2023/17496/F,NR/2023/17654/C,NR/2023/17261/F,NR/2023/17344/F,NR/2023/17406/F,NR/2023/17165/A,NR/2023/17405/F,NR/2023/14754/A,NR/2023/17662/C,NR/2023/14436/A,NR/2023/17649/C,NR/2023/17510/F,NR/2023/17661/C,Total
,,IEXL,NVVNL,APPCPL,ITCLH,MANIKARAN,NVVNL,MANIKARAN,APPCPL,SJVNL,GMRETL,TPDDL,GBHHPL,SJVNL,Total

,,KARNATAKA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,
,,NSLSUGAR,SOLAPUR_SOLAR,HP,ITCWIND,HP,SKS Raigarh,HP,HP,RSRPL_BKN,Meghalaya_Ben,CHANJUII,GBHHPL,SORANG_HEP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),MES (Delhi),BRPL,ITCLH,BRPL,NDMC,BRPL,BYPL,NDMC,BYPL,TPDDL,DIAPL,NDMC,
,,South-East-North,West-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,
1,00:00-00:15,6.760000,0,54.110000,0.580000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.97

2,00:15-00:30,6.760000,0,54.110000,0.580000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.97

3,00:30-00:45,6.760000,0,54.110000,0.580000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.97

4,00:45-01:00,6.760000,0,54.110000,0.580000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.97

5,01:00-01:15,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

6,01:15-01:30,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

7,01:30-01:45,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

8,01:45-02:00,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

9,02:00-02:15,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

10,02:15-02:30,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

11,02:30-02:45,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

12,02:45-03:00,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

13,03:00-03:15,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

14,03:15-03:30,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

15,03:30-03:45,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

16,03:45-04:00,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

17,04:00-04:15,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

18,04:15-04:30,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

19,04:30-04:45,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

