Block,Time,JHAJJAR,KISHANGANGA,NLCIIST2,RAMPUR,SIMHST2,UNCHAHAR3,VALLURNTECL,ANTA_RF,AURY_GF,BRBCL,MAPS,NJPC,PARBATI3,DADRI_CRF,DADRI_LF,DADRT2,DULHASTI,KGSU1AND2,KGSU3AND4,RSTPSU7,AURY_RF,KHSTPP-I,KKNP,NLCEXP,RAPPB,RIHAND2,RSTPSU1TO6,SEWA2,SIMHST1,UNCHAHAR2,UNCHAHAR4,URI2,AURY_LF,FSTPP I & II,NAPP,NTPL,RAPPC,TALA,TANAKPUR,TEHRI,TelanganaSTPP,CHAMERA1,CHAMERA2,KUDGI,RIHAND1,TALST2,UNCHAHAR1,ANTA_CRF,ANTA_GF,BSIUL,KOTESHWR,NLCTS2EXP,RIHAND3,SINGRAULI,ANTA_LF,AURY_CRF,DADRI_GF,DADRI_RF,CHAMERA3,DHAULIGNGA,KHSTPP-II,KKNPPU2,KOLDAM,NLCIIST1,NNTPP,SALAL,SASAN,SINGRAULI_HYDRO,TANDA2,URI
1,00:00-00:15,651.98,0,0,0,0,26.4,0,44.62,0,20,0,0,0,0,23.56,683.14,16.48,0,0,0,53.75,33.38,0,0,0,118.76,0,0,0,42.39,0,4.31,0,20.8,43.68,0,53.8,0,7.81,0,0,0,0,0,92,0,10.28,0,0,0,8.87,0,124.33,139.69,0,0,0,69.05,0,0,148.3,0,0,0,0,1.4,202.5,0,0,0.99

2,00:15-00:30,651.98,0,0,0,0,26.4,0,44.62,0,20,0,0,0,0,23.56,683.14,16.48,0,0,0,53.75,33.38,0,0,0,118.76,0,0,0,42.39,0,4.31,0,20.8,43.68,0,53.8,0,7.81,0,0,0,0,0,92,0,10.28,0,0,0,8.87,0,124.33,139.69,0,0,0,69.05,0,0,148.3,0,0,0,0,1.4,202.5,0,0,0.99

3,00:30-00:45,651.98,0,0,0,0,26.4,0,44.62,0,20,0,0,0,0,23.56,683.14,16.48,0,0,0,53.75,33.38,0,0,0,118.76,0,0,0,42.39,0,4.31,0,20.8,43.68,0,53.8,0,7.81,0,0,0,0,0,92,0,10.28,0,0,0,8.87,0,124.33,139.69,0,0,0,69.05,0,0,148.3,0,0,0,0,1.4,202.5,0,0,0.99

4,00:45-01:00,651.98,0,0,0,0,26.4,0,44.62,0,20,0,0,0,0,23.56,683.14,16.48,0,0,0,53.75,33.38,0,0,0,118.76,0,0,0,42.39,0,4.31,0,20.8,43.68,0,53.8,0,7.81,0,0,0,0,0,92,0,10.28,0,0,0,8.87,0,124.33,139.69,0,0,0,69.05,0,0,148.3,0,0,0,0,1.4,202.5,0,0,0.99

5,01:00-01:15,651.98,0,0,0,0,26.4,0,44.62,0,20,0,0,0,0,23.56,683.14,16.48,0,0,0,53.75,33.38,0,0,0,118.76,0,0,0,42.39,0,4.31,0,20.8,43.68,0,53.8,0,7.81,0,0,0,0,0,92,0,10.28,0,0,0,8.87,0,124.33,139.69,0,0,0,69.05,0,0,148.3,0,0,0,0,1.4,202.5,0,0,0.99

