Block,Time,SASAN,SINGRAULI,TelanganaSTPP,UNCHAHAR4,URI2,ANTA_LF,AURY_RF,CHAMERA1,DULHASTI,JHAJJAR,KUDGI,MAPS,NAPP,NNTPP,SEWA2,VALLURNTECL,DADRI_CRF,FSTPP I & II,KISHANGANGA,KOTESHWR,NLCTS2EXP,PARBATI2,TALA,TANAKPUR,UNCHAHAR3,AURY_CRF,AURY_GF,AURY_LF,DHAULIGNGA,KGSU3AND4,KHSTPP-I,KOLDAM,NLCIIST2,PARBATI3,RAMPUR,SINGRAULI_HYDRO,TALST2,URI,ANTA_GF,DADRI_GF,KKNP,RIHAND2,TEHRI,UNCHAHAR1,DADRI_RF,CHAMERA3,NJPC,NLCIIST1,RIHAND1,RSTPSU7,UNCHAHAR2,ANTA_RF,BRBCL,KGSU1AND2,KKNPPU2,NLCEXP,RAPPB,RAPPC,RAPPD,SIMHST1,SIMHST2,ANTA_CRF,BSIUL,CHAMERA2,DADRT2,KHSTPP-II,NTPL,RIHAND3,RSTPSU1TO6,SALAL,TANDA2,TEHRIPSP,DADRI_LF
1,00:00-00:15,410.62,150.88,0,2,37.01,0,80.92,42.15,58.17,670.85,0,0,25.42,0,0,0,0,20.8,8.71,10.44,0,58.05,30.58,12.17,27.43,0,0,0,43.85,0,45.53,10.65,0,59.18,7.04,1.17,0,45.82,0,0,0,126.8,39.56,21.49,76.68,35.09,181.16,0,88.96,0,44.49,49.95,24.99,0,0,0,0,68.73,25.74,0,0,0,13.04,48.9,687.97,148.3,0,132.37,0,85.41,4.14,51.99,0

2,00:15-00:30,410.62,150.88,0,2,37.01,0,80.92,42.15,58.17,670.85,0,0,25.42,0,0,0,0,20.8,8.71,10.44,0,58.05,30.58,12.17,27.43,0,0,0,43.85,0,45.53,10.65,0,59.18,7.04,1.17,0,45.82,0,0,0,126.8,39.56,21.49,76.68,35.09,181.16,0,88.96,0,44.49,49.95,24.99,0,0,0,0,68.73,25.74,0,0,0,13.04,48.9,690.85,148.3,0,132.37,0,85.41,4.14,51.99,0

3,00:30-00:45,410.62,150.88,0,2,37.01,0,80.92,42.15,58.17,670.85,0,0,25.42,0,0,0,0,20.8,8.71,10.44,0,58.05,29.99,12.17,27.43,0,0,0,43.85,0,45.53,10.65,0,59.18,7.04,1.17,0,45.82,0,0,0,126.8,39.56,21.49,76.68,35.09,181.16,0,88.96,0,44.49,49.95,24.99,0,0,0,0,68.73,25.74,0,0,0,13.04,48.9,690.85,148.3,0,132.37,0,85.41,4.14,51.99,0

4,00:45-01:00,410.62,150.88,0,2,37.01,0,80.92,42.15,58.17,670.85,0,0,25.42,0,0,0,0,20.8,8.71,10.44,0,58.05,29.99,12.17,27.43,0,0,0,43.85,0,45.53,10.65,0,59.18,7.04,1.17,0,45.82,0,0,0,126.8,39.56,21.49,76.68,35.09,181.16,0,88.96,0,44.49,49.95,24.99,0,0,0,0,68.73,25.74,0,0,0,13.04,48.9,690.85,148.3,0,132.37,0,85.41,4.14,51.99,0

5,01:00-01:15,410.62,150.88,0,2,33.8,0,80.92,42.15,58.17,670.85,0,0,25.42,0,0,0,0,20.8,8.71,10.44,0,58.05,29.99,12.17,27.48,0,0,0,43.85,0,45.53,10.65,0,59.18,7.04,1.17,0,13.25,0,0,0,126.8,39.56,21.83,76.68,35.09,181.16,0,88.96,0,44.49,51.27,24.99,0,0,0,0,68.73,25.74,0,0,0,13.04,48.9,690.85,148.3,0,132.37,0,85.41,4.14,51.99,0

