Column1,Block,NR/2025/31138/A/92767,NR/2025/29985/A/92747,NR/2025/31136/A/92758,NR/2025/32510/C,NR/2025/31138/A/92768,NR/2025/31420/A/92479,NR/2025/31347/A/92275,GNARE/NR/2024/12/20/3668,NR/2025/31419/A/92481,NR/2025/32485/C,NR/2025/32528/C,NR/2025/29352/A/92529,NR/2025/32419/C,NR/2025/30105/A/92954,NR/2025/27978/A/92857,NR/2025/32474/C,NR/2025/29910/A/92962,NR/2025/32530/C,NR/2025/29992/A/92735,NR/2025/32522/C,NR/2025/30121/A/92278,NR/2025/30083/A/92959,NR/2025/29167/A/92313,NR/2025/32526/C,NR/2025/29439/A/92415,NR/2025/30086/A/92957,NR/2025/32513/C,NR/2025/29440/A/92260,NR/2025/30191/A/92276,NR/2025/30101/A/92853,NR/2025/31780/A/92744,NR/2025/32458/C,NR/2025/30084/A/92958,NR/2025/32498/C,NR/2025/32529/C,NR/2025/30082/A/92811,NR/2025/29628/A/92964,NR/2025/30067/A/92816,NR/2025/32516/C,NR/2025/32499/C,NR/2025/27973/A/92794,NR/2025/31870/A/92373,NR/2025/27975/A/92793,NR/2025/28728/A/92792,NR/2025/29353/A/92527,NR/2025/30217/A/92953,NR/2025/27965/A/92796,NR/2025/32415/C,NR/2025/27966/A/92795,NR/2025/32464/C,NR/2025/29915/A/92311,NR/30092023/31122025/SH-07,NR/2025/32527/C,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/23/7329,NR/2025/31137/A/92766,NR/2025/31136/A/92759,NR/2025/31137/A/92761,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06,Total
,,OIDLWM3_AEROCITY,BRPL,ABLWM1_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,GMRETL,IEXL,SECI_Trader,GMRETL,ITCLH,APPCPL,PTC,IEXL,APPCPL,NVVNL,PowerPulse,APPCPL,APPCPL,BYPL,NVVNL,IEXL,APPCPL,TPTCL,APPCPL,IVPL_Trader,APPCPL,NVVNL,ITCLH,IEXL,NVVNL,BRPL,BYPL,APPCPL,APPCPL,APPCPL,HPXL,APPCPL,MANIKARAN,NVVNL,APPCPL,PowerPulse,DIAPL,PowerPulse,PowerPulse,PTC,APPCPL,PowerPulse,IEXL,PowerPulse,HPXL,TPTCL,BAWANA_GAS,APPCPL,PTC,PowerPulse,APPCPL,APPCPL,PowerPulse,PowerPulse,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,DELHI,MANIKARAN,PowerPulse,NDMC,PUNJAB,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,KERALA_State,NA,KERALA_State,NA,TAMILNADU_State,NA,MSEB_State,NA,MSEB_State,NA,MP_State,ANDHRA_PRADESH_STATE,NA,MP_State,NA,KERALA_State,NA,MSEB_State,NA,NA,MSEB_State,NA,NA,KERALA_State,NA,HIMACHAL_STATE,NA,NA,GoHP_NJPC_STATE,NA,NA,TAMILNADU_State,NA,NA,UTTARPRADESH_STATE,DELHI_UT,NA,NA,NA,GOA_State,GOA_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,MSEB_State,NA,NA,DELHI_UT,
,,TESPL_BKN2,TS1PL_BKN,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,JNEPL_BKN2,TPSL_BKN2,APSEPL_FTG,JNEPL_BKN2,ITCWIND,JIPL,GoHP_Chamera1,IND_BHARAT,JIPL,JPNIGRIE_JNSTPP,APL_Raipur_TPP,KSEB,RKM_POWER,KSEB,Kameng,PCBLTNLTD_UNIT2,SKS_Raigarh,TPC_MSEB,SKS_Raigarh,TPC_MSEB,RKM_POWER,JP_BINA,ITCWIND,IND_BHARAT,JP_BINA,DADRT2,KSEB,RKM_POWER,AEML,TRN_ENERGY,SKS_Raigarh,AEML,MBMP,JPNIGRIE_JNSTPP,KSEB,APL_Raigarh_TPP,GBHHPL,APL_Raigarh_TPP,APL_Raipur_TPP,GoHP_NJPC,TRN_ENERGY,MAHAN_ENERGEN,PCBLTNLTD_UNIT2,MAHAN_ENERGEN,SKS_Raigarh,PPGCL,BAWANA_GAS,RKM_POWER,MEENAKSHI,APL_Raipur_TPP,GOA_Beneficiary,GOA_Beneficiary,APL_Raipur_TPP,APL_Raigarh_TPP,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,CHANJUII,AEML,MAHAN_ENERGEN,JPL2,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,OIDLWM3_AEROCITY,BRPL,ABLWM1_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,BLKMH,MES_Delhi,TPDDL,DTCP,ITCLH,NDMC,BRPL,BRPL,NDMC,TPDDL,BRPL,BYPL,NDMC,BYPL,TPDDL,MES_Delhi,NDMC,BYPL,NDMC,BYPL,NDMC,TPDDL,ITCLH,BRPL,TPDDL,BRPL,BYPL,NDMC,BYPL,NDMC,BRPL,BYPL,BRPL,TPDDL,BYPL,TPDDL,DIAPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,MES_Delhi,TPDDL,BRPL,BRPL,HARYANA,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,TPDDL,BRPL,BRPL,NDMC,PUNJAB,
,,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,South-West-North,East-North,North-North,East-North,East-North,West-North,West-North,South-West-North,West-North,South-West-North,North East-East-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,East-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,North-North,North-North,West-North,South-East-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.92,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,0,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.45,20.79,192.76,43.8,32,2177.2800000000007

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.92,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,0,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.45,20.79,192.76,43.8,32,2177.2800000000007

