Column1,Block,NR/2025/31138/A/87943,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87637,NR/2025/31132/A/87666,NR/2025/31136/A/87919,NR/2025/31137/A/87922,NR/2025/31200/A/87900,NR/2025/31136/A/87920,NR/2025/30334/A/87440,NR/2025/31137/A/87921,NR/2025/31138/A/87945,NR/2025/31331/C,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2236,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/2025/31326/C,NR/2025/29353/A/87481,NR/2025/27970/A/88040,NR/2025/27968/A/88041,NR/2025/31326/C/Alternate/1,NR/2025/31248/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2025/31289/C,NR/2025/31307/C,NR/2025/31321/C,NR/2025/30121/A/87445,NR/2025/30101/A/87957,NR/2025/31290/C,NR/2025/31308/C,NR/2025/27978/A/87972,NR/2025/29167/A/87528,NR/2025/29439/A/87590,NR/2025/30082/A/87961,NR/2025/26975/A/87974,NR/2025/30191/A/87441,NR/2025/31304/C,NR/2025/31305/C,NR/2025/31291/C,NR/2025/31306/C,NR/2025/30067/A/88056,NR/2025/28725/A/88039,NR/2025/31272/C,NR/2025/31284/C,NR/2025/29915/A/87527,NR/2025/29352/A/87484,NR/2025/30083/A/87956,NR/2025/29910/A/87966,NR/2025/27964/A/88042,NR/2025/29992/A/87595,NR/2025/27963/A/88043,NR/2025/31126/A/87616,NR/2025/30822/A/87635,NR/2025/31299/C,NR/2025/31233/C,NR/2025/29440/A/87508,NR/2025/31300/C,NR/2025/30086/A/87949,NR/2025/31287/C,NR/2025/29628/A/87968,NR/2025/30084/A/87954,NR/2025/27962/A/88044,NR/2025/31230/C,NR/2025/30217/A/87946,NR/2025/30105/A/87947,NR/2025/31320/C,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.3,49.05,0,81.75,0,144.27,192.36,0,30,16.26,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.91,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2464.8699999999994

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.3,49.05,0,81.75,0,144.27,192.36,0,30,24.51,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.91,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2473.1199999999994

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.12,49.05,0,81.75,0,144.27,192.36,0,30,16.26,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.77,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2464.5499999999993

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.12,49.05,0,81.75,0,144.27,192.36,0,30,16.26,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.77,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2464.5499999999993

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.12,49.05,0,81.75,0,144.27,192.36,0,30,16.26,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.77,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2464.5499999999993

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.12,49.05,0,81.75,0,144.27,192.36,0,30,26.58,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.77,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2474.869999999999

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.03,49.05,53.67,81.75,0,144.27,138.69,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,54.1,0,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.67,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2446.8999999999996

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.03,49.05,54.08,81.75,0,144.27,138.28,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,54.1,0,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.67,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2446.8999999999996

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.03,49.05,55.23,81.75,0,144.27,137.13,0,26.26,26.26,0,0,0,6.73,48.09,0,0,96.18,54.1,0,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.67,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2445.5399999999995

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,17.03,49.05,56.37,81.75,0,144.27,135.99,0,26.26,26.26,0,0,0,6.73,48.09,0,0,96.18,54.1,0,48.09,26.45,48.09,0,0,0,0,204.38,143.07,0,0,20.44,28.61,8.74,19.24,0,44.24,144.27,12.5,134.65,0,0,0.67,0,26.23,0,105.8,26.23,96.18,0,7.69,17.49,0,2445.5399999999995

