Column1,Block,NR/2025/31347/A/92590,NR/2025/31136/A/93092,NR/2025/31419/A/93103,NR/2025/31136/A/93093,NR/2025/30067/A/93138,NR/2025/31420/A/93102,NR/2025/31137/A/93094,NR/2025/31137/A/93095,NR/2025/29628/A/93060,NR/2025/31138/A/93096,NR/2025/31138/A/93098,NR/2025/29167/A/92648,NR/2025/28728/A/93073,NR/2025/29440/A/92580,NR/2025/30105/A/93052,NR/2025/32586/C,NR/2025/32564/C,NR/2025/27975/A/93212,NR/2025/32606/C,NR/2025/32542/C,NR/2025/32533/C,NR/2025/27965/A/93208,NR/2025/27973/A/93211,NR/2025/32607/C,NR/2025/31780/A/92745,NR/2025/27966/A/93210,NR/2025/27978/A/93184,NR/2025/29915/A/92647,NR/2025/32597/C,NR/2025/29910/A/93058,NR/2025/32604/C,NR/2025/29992/A/92736,NR/2025/32575/C,NR/2025/32590/C,NR/2025/32600/C,NR/2025/29439/A/92776,NR/2025/32488/C,NR/2025/32501/C,NR/2025/30083/A/93055,NR/2025/32602/C,NR/2025/30191/A/92592,NR/2025/31870/A/92729,NR/2025/29352/A/93108,NR/2025/32506/C,NR/2025/30082/A/93130,NR/2025/29353/A/93107,NR/2025/30101/A/93185,NR/2025/30217/A/93051,NR/2025/30121/A/92594,NR/2025/32574/C,GNA/NR/2025/07/01/2786,NR/2025/30086/A/93053,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/8154,NR/2025/30084/A/93054,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,NR/2025/32609/C,NR/2025/29985/A/92748,Total
,,IEXL,ABLWM1_AEROCITY,GMRETL,ABLWM1_AEROCITY,MANIKARAN,GMRETL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,APPCPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,TPTCL,PowerPulse,ITCLH,APPCPL,PowerPulse,ITCLH,PowerPulse,APPCPL,PowerPulse,HPXL,PowerPulse,PowerPulse,APPCPL,BRPL,PowerPulse,NVVNL,TPTCL,NVVNL,APPCPL,APPCPL,BYPL,APPCPL,NVVNL,APPCPL,IVPL_Trader,IEXL,BYPL,APPCPL,APPCPL,IEXL,DIAPL,PTC,IEXL,HPXL,PTC,NVVNL,APPCPL,IEXL,APPCPL,NDMC,APPCPL,PowerPulse,MANIKARAN,APPCPL,PowerPulse,PowerPulse,PowerPulse,APPCPL,PTC,APPCPL,BAWANA_GAS,PUNJAB,DELHI,SECI_Trader,MES_Delhi,BRPL,
,,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UTTARPRADESH_STATE,NA,KERALA_State,NA,KERALA_State,KERALA_State,MP_State,NA,MSEB_State,NA,KERALA_State,NA,NA,NA,HIMACHAL_STATE,GoHP_Chamera1_STATE,TAMILNADU_State,NA,GoHP_NJPC_STATE,MP_State,NA,TAMILNADU_State,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,GOA_State,NA,GOA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,
,,TPSL_BKN2,TESPL_BKN2,JNEPL_BKN2,TCSPL_BKN2,MBMP,JNEPL_BKN2,TESPL_BKN2,TCSPL_BKN2,AEML,TESPL_BKN2,TCSPL_BKN2,TPC_MSEB,APL_Raipur_TPP,ITCWIND,JIPL,APL_Raigarh_TPP,ITCWIND,APL_Raigarh_TPP,TRN_ENERGY,APL_Raipur_TPP,SKS_Raigarh,MAHAN_ENERGEN,APL_Raigarh_TPP,RKM_POWER,DADRT2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,PPGCL,Kameng,KSEB,JIPL,KSEB,KSEB,JP_BINA,SKS_Raigarh,TPC_MSEB,IND_BHARAT,KSEB,SKS_Raigarh,RKM_POWER,IND_BHARAT,GBHHPL,GoHP_Chamera1,PCBLTNLTD_UNIT2,SKS_Raigarh,GoHP_NJPC,JP_BINA,TRN_ENERGY,PCBLTNLTD_UNIT2,AEML,JPL2,RKM_POWER,APL_Raipur_TPP,AEML,RKM_POWER,MAHAN_ENERGEN,APL_Raigarh_TPP,APL_Raipur_TPP,GOA_Beneficiary,MEENAKSHI,GOA_Beneficiary,BAWANA_GAS,BAWANA_GAS,CHANJUII,APSEPL_FTG,NTPCREL_PSS2_KPS2_S,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,ABLWM1_AEROCITY,DTCP,ABLWM1_AEROCITY,BRPL,BLKMH,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,BYPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BYPL,BRPL,ITCLH,NDMC,TPDDL,ITCLH,TPDDL,NDMC,BRPL,BRPL,TPDDL,TPDDL,NDMC,BRPL,TPDDL,TPDDL,BRPL,TPDDL,BYPL,NDMC,BYPL,BYPL,TPDDL,NDMC,BYPL,BRPL,BYPL,NDMC,NDMC,BRPL,DIAPL,BRPL,MES_Delhi,BRPL,BRPL,TPDDL,NDMC,MES_Delhi,BYPL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,PUNJAB,TPDDL,TPDDL,MES_Delhi,BRPL,
,,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,South-West-North,East-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North East-East-North,South-West-North,East-North,South-West-North,South-West-North,West-North,West-North,West-North,East-North,South-West-North,West-North,West-North,East-North,North-North,North-North,South-West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-East-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.92,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1998.0900000000004

2,00:15-00:30,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.92,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1998.0900000000004

