Time,Block,NR/2023/10611/A,NR/2023/11862/F,NR/2023/10229/A,NR/2023/11961/F,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11957/F,NR/2023/11342/A,NR/2023/11941/F,NR/2023/11955/F,NR/2023/11963/F,NR/2023/10434/A,NR/2023/11956/F,NR/2023/11959/F,NR/2023/10344/A,NR/2023/11642/A,NR/2023/10944/A,NR/2023/11330/A,NR/2023/12319/D,NR/2023/10613/A,NR/2023/11958/F,NR/2023/11962/F,NR/2023/12334/C,NR/2023/11960/F,NR/2023/11643/A,NR/2023/11947/F,NR/2023/12333/C,NR/2023/10487/A,NR/2023/12327/C,NR/2023/11952/F,NR/2023/12317/D,NR/2023/12324/D,NR/2023/12323/D,Total
,,APPCPL,APPCPL,NVVNL,SHPPBPL,IEXL,NVVNL,SHPPBPL,IEXL,NVVNL,SHPPBPL,SHPPBPL,NVVNL,SHPPBPL,SHPPBPL,BYPL,MANIKARAN,APPCPL,APPCPL,NVVNL,APPCPL,SHPPBPL,SHPPBPL,PXIL,SHPPBPL,MANIKARAN,HPXL,TPDDL,TPTCL,GBHHPL,KEIPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,ARUNACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,TELANGANA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,
,,Arunachal_Ben,Manipur_Ben,JPNIGRIE_JNSTPP,SHPPBPL,JSPL_DCPP,ILFS,SHPPBPL,NAVABHARAT,SKS Raigarh,SHPPBPL,SHPPBPL,SEIL,SHPPBPL,SHPPBPL,Meghalaya_Ben,HP,HP,HP,KAMENG,Nagaland_Ben,SHPPBPL,SHPPBPL,JSWEL,SHPPBPL,HP,B_S_ISPAT_MH,CHANJUII,APNRL,GBHHPL,Meghalaya_Ben,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,STT,BRPL,JHPL-DL,BRPL,BRPL,BAL234,BRPL,NDMC,BAL184,UHL,TPDDL,BAL224,BMDRC,BYPL,BRPL,BYPL,BRPL,TPDDL,BYPL,AISHER,MHIL,BRPL,MAX-HPTL,BRPL,NDMC,TPDDL,TPDDL,DIAPL,BYPL,MES (Delhi),BYPL,BRPL,
,,North East-East-North,North East-East-North,West-North,North-North,West-North,South-West-North,North-North,South-West-North,West-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North East-East-North,North East-East-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,East-North,North-North,North East-East-North,West-North,North-North,North-North,
1,00:00-00:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.670000,41.430000,29.550000,36.350000,0,0,0,845.56

2,00:15-00:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.670000,41.430000,29.550000,36.350000,0,0,0,845.56
