Column1,Block,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4168,SR/2024/15456/A/50932,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,NR/2025/25028/C,NR/2025/24838/A/51254,NR/2024/24507/A/51260,NER/2024/2820/A/51248,NR/2024/24434/A/50943,NR/2024/24418/A/50944,NR/2025/25029/C,NR/2025/25030/C,NR/2025/25039/C,NR/2024/24566/A/50934,NR/2025/24839/A/51263,NR/2025/24837/A/51252,NR/2024/24508/A/51259,NR/2024/24614/A/51258,NR/2024/24435/A/50942,NR/2025/25038/C,WR/2024/25501/A/51251,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/9046,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3945,Total
,,IEXL,PUNJAB,HPXL,HPXL,PXIL,IEXL,HPXL,HPXL,IEXL,PXIL,NDMC,HPXL,NDMC,TPDDL,OIDLWM2_AEROCITY,NVVNL,APPCPL,IEXL,ITCLH,NVVNL,NVVNL,SJVNL,IEXL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,NVVNL,NVVNL,IEXL,SJVNL,APPCPL,MANIKARAN,IEXL,HPXL,DELHI,BAWANA_GAS,NDMC,IEXL,APPCPL,HPXL,TPTCL,NDMC,
,,MP_State,DELHI_UT,TAMILNADU_State,TELANGANA_State,NA,ODISHA_STATE,Meghalaya_State,MSEB_State,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,TELANGANA_State,NA,NA,NA,NA,KARNATAKA_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,NA,
,,JP_BINA,BAWANA_GAS,GAYATRIGREENTN,ZUARICEMCPP,SINGOLI,NBVLIPP,Meghalaya_Ben,GRETAENERGY,BYPL,JPNIGRIE_JNSTPP,RKM_POWER,JPNIGRIE_JNSTPP,RKM_POWER,JHAJJAR,TCSPL_BKN2,JIPL,BYPL,TESPL_BKN2,ITCWIND,JIPL,TRN_ENERGY,RSRPL_BKN,NSLKSLWPRTY,TCSPL_BKN2,TCSPL_BKN2,TRN_ENERGY,TRN_ENERGY,NSLSUGARALAND,TPSL_BKN2,BRPL,BRPL,SKS_Raigarh,SIMHAPURI,CHANJUII,BAWANA_GAS,SKS_Raigarh,JPNIGRIE_JNSTPP,BYPL,SKS_Raigarh,BYPL,JPL2,
,,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,
,,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TANGEDCO,BRPL,NDMC,BRPL,NDMC,TPDDL,OIDLWM2_AEROCITY,NDMC,Manipur_Ben,MES_Delhi,ITCLH,NDMC,NDMC,NDMC,MES_Delhi,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,NDMC,NDMC,MES_Delhi,NDMC,GOA_Beneficiary,AEML,BRPL,BRPL,TPDDL,HARYANA,NDMC,BRPL,AEML,BRPL,TPC_MSEB,NDMC,
,,West-North,North-North,South-East-North,South-East-North,North-North,East-North,North East-East-North,West-North,North-West-South,West-North,West-North,West-North,West-North,North-North,North-North,East-North,North-East-North East,North-North,South-West-North,East-North,West-North,North-North,South-West-North,North-North,North-North,West-North,West-North,South-West-North,North-North,North-West,North-West,West-North,South-East-North,North-North,North-North,West-North,West-North,North-West,West-North,North-West,West-North,
1,00:00-00:15,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

2,00:15-00:30,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

3,00:30-00:45,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

4,00:45-01:00,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

5,01:00-01:15,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

6,01:15-01:30,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

7,01:30-01:45,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

8,01:45-02:00,30.77,0,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,25,348.89000000000004

9,02:00-02:15,30.77,0,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,343.13000000000005

10,02:15-02:30,30.77,0,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,343.13000000000005

11,02:30-02:45,30.77,0,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,343.13000000000005

12,02:45-03:00,30.77,0,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,343.13000000000005

13,03:00-03:15,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,346.13000000000005

14,03:15-03:30,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,346.13000000000005

15,03:30-03:45,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,346.13000000000005

16,03:45-04:00,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.3,0,8.65,26.92,0,19.23,0,23.08,346.13000000000005

17,04:00-04:15,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.2,0,8.65,26.92,0,19.23,0,23.08,346.03000000000003

18,04:15-04:30,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.2,0,8.65,26.92,0,19.23,0,23.08,346.03000000000003

