Column1,Block,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/8106,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,NR/2024/23639/A/40906,NR/2024/23675/C,NR/2024/23640/A/40905,NR/2024/23648/A/40895,NR/2024/23677/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/23383/A/40902,NR/2024/23384/A/40891,GNA/NR/2024/10/01/9072,NR/2024/23382/A/41025,Total
,,NDMC,PTC,PTC,APPCPL,NDMC,NDMC,PUNJAB,NDMC,SJVNL,TPDDL,SJVNL,DIAPL,NVVNL,DELHI,BAWANA_GAS,ITCLH,IEXL,NDMC,NVVNL,
,,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,
,,SKS_Raigarh,BRPL,BYPL,BYPL,JPL2,TRN_ENERGY,BAWANA_GAS,RKM_POWER,RSRPL_BKN,JHAJJAR,TPSL_BKN2,GBHHPL,SOLAPUR_SOLAR,CHANJUII,BAWANA_GAS,ITCWIND,NSLSUGAR,RKM_POWER,JITPL,
,,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HP,HP,AEML,NDMC,NDMC,PUNJAB,NDMC,NDMC,TPDDL,NDMC,DIAPL,MES_Delhi,TPDDL,HARYANA,ITCLH,MES_Delhi,NDMC,NDMC,
,,West-North,North-North,North-North,North-West,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,South-West-North,South-West-North,West-North,East-North,
1,00:00-00:15,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.61,6.89,0.58,6.75,26.29,17.53,631.17

2,00:15-00:30,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.61,6.89,0.58,6.75,26.29,17.53,631.17

3,00:30-00:45,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.61,6.89,0.58,6.75,26.29,17.53,631.17

4,00:45-01:00,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.61,6.89,0.58,6.75,26.29,17.53,631.17

5,01:00-01:15,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.52,6.89,0.53,6.75,26.29,17.53,631.0299999999999

6,01:15-01:30,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.52,6.89,0.53,6.75,26.29,17.53,631.0299999999999

7,01:30-01:45,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.52,6.89,0.53,6.75,26.29,17.53,631.0299999999999

8,01:45-02:00,8.76,91.71,30.57,192.8,26.29,8.76,6.89,26.29,0,175.45,0,0,0,5.52,6.89,0.53,6.75,26.29,17.53,631.0299999999999

9,02:00-02:15,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.48,6.75,26.29,17.53,478.14

