Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/7196,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/6020,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7908,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802
1,00:00-00:15,0,0,0,0,0,0,15.66,0,0,17.5,0,32.01,17.5,0,0,50.33,52.5,50.33,0,110.41,0,0,41.16,232.77,0,0,0,28.26,0,12.47,12.39,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

2,00:15-00:30,0,0,0,0,0,0,16,0,0,17.67,0,32.41,17.66,0,0,51,53,51,0,110.41,0,0,41.16,232.77,0,0,0,28.26,0,12.47,12.39,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

3,00:30-00:45,0,0,0,0,0,0,16,0,0,18,0,32.61,18,0,0,51.33,54,51.33,0,110.41,0,0,41.16,232.77,0,0,0,28.26,0,12.47,12.39,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

4,00:45-01:00,0,0,0,0,0,0,16,0,0,18.17,0,33.01,18.16,0,0,51.33,54.5,51.33,0,110.41,0,0,41.16,232.77,0,0,0,28.26,0,12.47,12.39,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

5,01:00-01:15,0,0,0,0,0,0,16.34,0,0,18.17,0,29.81,18.16,0,0,51,54.5,51,0,110.41,0,0,41.16,232.77,0,0,0,28.26,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

6,01:15-01:30,0,0,0,0,0,0,16,0,0,18,0,29.41,18,0,0,49.67,54,49.67,0,110.41,0,0,41.16,191.7,0,0,0,28.26,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

7,01:30-01:45,0,0,0,0,0,0,16,0,0,17.67,0,29.21,17.66,0,0,49,53,49,0,110.41,0,0,41.16,191.7,0,0,0,28.26,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

8,01:45-02:00,0,0,0,0,0,0,15.66,0,0,17.67,0,28.81,17.66,0,0,49,53,49,0,110.41,0,0,41.16,150.61,0,0,0,28.26,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

9,02:00-02:15,0,0,0,0,0,0,19,0,0,19,0,31.81,19,0,0,49.33,57,49.33,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

10,02:15-02:30,0,0,0,0,0,0,18.66,0,0,19.33,0,31.81,19.34,0,0,49.33,58,49.33,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

11,02:30-02:45,0,0,0,0,0,0,18.34,0,0,22,0,34.01,22,0,0,56.67,66,56.67,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

12,02:45-03:00,0,0,0,0,0,0,18.34,0,0,21.83,0,33.61,21.84,0,0,57.33,65.5,57.33,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.3,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,32.93,82.32

13,03:00-03:15,0,0,0,0,0,0,16,0,0,22.17,0,33.21,22.16,0,0,53.33,66.5,53.33,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

14,03:15-03:30,0,0,0,0,0,0,16,0,0,22.5,0,33.01,22.5,0,0,54,67.5,54,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

15,03:30-03:45,0,0,0,0,0,0,15.34,0,0,23,0,34.01,23,0,0,54.33,69,54.33,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

16,03:45-04:00,0,0,0,0,0,0,15,0,0,23.5,0,33.61,23.5,0,0,54.67,70.5,54.67,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

17,04:00-04:15,0,0,0,0,0,0,15,0,0,22.5,0,33.01,22.5,0,0,54.67,67.5,54.67,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

18,04:15-04:30,0,0,0,0,0,0,15,0,0,21.83,0,32.41,21.84,0,0,54.67,65.5,54.67,0,110.41,0,0,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

19,04:30-04:45,0,0,0,0,0,0,16.66,0,0,21.17,0,28.01,21.16,0,0,60,63.5,60,0,110.41,0,4.39,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

20,04:45-05:00,0,0,0,0,0,0,17,0,0,20.67,0,27.01,20.66,0,0,60.33,62,60.33,0,110.41,0,4.39,41.16,150.61,0,0,0,27.25,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

21,05:00-05:15,0,0,0,0,0,0,17.34,0,0,20.5,0,21.21,20.5,0,0,72.33,61.5,72.33,0,110.41,0,3.53,41.16,150.61,0,0,0,24.73,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

22,05:15-05:30,0,0,0,0,0,0,17.66,0,0,20.5,0,21.01,20.5,0,0,72.33,61.5,72.33,0,110.41,0,3.53,41.16,150.61,0,0,0,24.73,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

23,05:30-05:45,0,0,0,0,0,0,18,0,0,20.67,0,20.41,20.66,0,0,72.33,62,72.33,0,110.41,0,3.53,41.16,150.61,0,0,0,24.73,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

24,05:45-06:00,0,0,0,0,0,0,18.34,0,0,21,0,20.01,21,0,0,73.33,63,73.33,0,110.41,0,3.53,41.16,150.61,0,0,0,25.73,0,12.47,12.2,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

25,06:00-06:15,1,1,0,1,0,0,18.66,13.98,0,24.17,0,23.01,24.16,13.54,0,66.67,72.5,66.67,0,110.41,0,3.53,41.16,150.61,0,0,0,25.73,0,12.47,12.12,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

26,06:15-06:30,4,1,0,2,0,1,18.66,24.59,0,26.5,1,22.61,26.5,23.81,1.99,67.33,79.5,67.33,1,110.41,0,3.53,41.16,150.61,0,0,0,25.73,0,12.47,12.12,57.82,0,0,24.8,41.16,70.59,82.32,53.27,18.4,0,1.94,20.58,0,82.32

