Column1,Block,NR/2025/26335/A/75723,NR/2025/26755/A/75481,GNARE/NR/2024/12/20/3668,NR/2025/26232/A/76007,NR/2025/26004/A/75548,NR/2025/26233/A/76006,NR/2025/25967/A/75962,NR/2025/26827/A/75993,NR/2025/26289/A/76004,NR/2025/26153/A/75483,NR/2025/26828/A/75992,NR/2025/26879/A/75714,NR/2025/27545/C,NR/2025/27554/C,GNA/NR/2025/05/01/8954,NR/2025/27548/C,GNA/NR/2025/05/01/9395,NR/2025/27549/C,NR/2025/27550/C,NR/30092023/26122029/SH-06,NR/2025/27544/C,NR/2025/27473/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/4138,NR/2025/27472/C,GNA/NR/2025/05/01/7902,NR/2025/27551/C,NR/2025/27531/C,NR/2025/27553/C,NR/2025/26825/A/75994,NR/2025/26829/A/75991,NR/2025/27566/C,NR/2025/27480/C,NR/2025/26082/A/76072,NR/2025/26291/A/76003,NR/2025/25859/A/75976,NR/2025/26822/A/75995,NR/2025/27474/C,NR/2025/27498/C,NR/2025/26101/A/75749,NR/2025/26379/A/75961,NR/2025/27475/C,NR/2025/26785/A/75482,NR/2025/25861/A/75974,NR/2025/27149/A/75615,NR/2025/27476/C,NR/2025/25860/A/75975,NR/2025/26959/A/75621,NR/2025/26085/A/75461,NR/2025/26265/A/76005,NR/2025/27479/C,NR/2025/26005/A/75551,NR/2025/26202/A/76071,NR/2025/27564/C,NR/2025/26336/A/75719,NR/2025/27518/C,NR/2025/27565/C,NR/2025/26191/A/75546,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,Total
,,BRPL,IEXL,SECI_Trader,HPXL,PXIL,HPXL,PowerPulse,APPCPL,HPXL,IEXL,APPCPL,BRPL,NVVNL,APPCPL,HPXL,NVVNL,IEXL,APPCPL,APPCPL,PUNJAB,NVVNL,HPXL,PXIL,PowerPulse,HPXL,PXIL,APPCPL,TPDDL,APPCPL,APPCPL,APPCPL,GEPL_Trader,IEXL,NVVNL,HPXL,PowerPulse,APPCPL,HPXL,PXIL,GMRETL,PowerPulse,HPXL,IEXL,PowerPulse,DIAPL,HPXL,PowerPulse,DIAPL,ITCLH,HPXL,IEXL,PXIL,NVVNL,GEPL_Trader,BRPL,PowerPulse,GEPL_Trader,PXIL,HPXL,PXIL,DELHI,PXIL,PXIL,PXIL,JPL,BAWANA_GAS,HPXL,SIMHAPURI,IEXL,PowerPulse,NDMC,
,,NA,NA,NA,GEB_State,NA,GEB_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,MSEB_State,NA,JK_and_LADAKH_UT,NA,NA,DELHI_UT,NA,NA,ODISHA_STATE,NA,NA,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,TAMILNADU_State,NA,MP_State,NA,NA,MP_State,NA,HIMACHAL_STATE,NA,GEB_State,NA,NA,HIMACHAL_STATE,GEB_State,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ODISHA_STATE,HIMACHAL_STATE,UTTARPRADESH_STATE,Meghalaya_State,CSEB_State,NA,DELHI_UT,HIMACHAL_STATE,NA,ODISHA_STATE,NA,NA,
,,TS1PL_BKN,TPSL_BKN2,APSEPL_FTG,PCBL_PALEJ,ILFS,PCBL_MUNDRA,MAHAN_ENERGEN,JPL2,SIMHAPURI,SURYADEV_ALLOYSTN,TRN_ENERGY,RIHAND3,Kameng,RKM_POWER,GRETAENERGY,JPNIGRIE_JNSTPP,O2ZTPL,SKS_Raigarh,RKM_POWER,BAWANA_GAS,SORANG_HEP,SIMHAPURI,FACORPOWER,COASTGEN,JPL,SINGOLI,JPL2,JHAJJAR,TRN_ENERGY,RKM_POWER,RKM_POWER,TADASWIND_KAR,SURYADEV_ALLOYSTN,SKS_Raigarh,Ultratech_Sidhi_MP,APL_Raipur_TPP,SKS_Raigarh,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,GBHHPL,COASTGEN,PCBL_PALEJ,MBMP,APL_Raipur_TPP,GBHHPL,PCBL_MUNDRA,APL_Raipur_TPP,GBHHPL,ITCWIND,JPL,MBMP,SKS_Raigarh,JPNIGRIE_JNSTPP,SORANG_HEP,DADRT2,COASTGEN,DIKCHU,JPNIGRIE_JNSTPP,JPL,FACORPOWER,CHANJUII,LAPL_UP,Meghalaya_Ben,SKSIPL,JPL2,BAWANA_GAS,KGEPL_HP,SIMHAPURI,VSL,APL_Raipur_TPP,JIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,TPDDL,BRPL,BYPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,TPDDL,NDMC,BRPL,TPDDL,BRPL,NDMC,NDMC,PUNJAB,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,NDMC,NDMC,NDMC,BYPL,BRPL,BYPL,BRPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,DIAPL,BRPL,TPDDL,DIAPL,ITCLH,BRPL,NDMC,BYPL,TPDDL,BYPL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,NDMC,
,,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,East-North,South-East-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North-North,South-West-North,East-North,West-North,West-North,East-North,North-North,North-North,North East-East-North,West-North,West-North,North-North,North-North,South-West-North,East-North,West-North,East-North,
1,00:00-00:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.53,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2332.28

2,00:15-00:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.53,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2332.28

