Block,Time,CHAMERA3,KGSU3AND4,KKNPPU2,NNTPP,PARBATI3,RAPPC,ANTA_LF,DADRI_CRF,KOLDAM,NJPC,NLCIIST1,RAMPUR,URI,DULHASTI,KHSTPP-I,KKNP,KUDGI,NLCIIST2,RIHAND2,SALAL,SASAN,UNCHAHAR2,DADRI_GF,DHAULIGNGA,KGSU1AND2,KISHANGANGA,NLCTS2EXP,RIHAND3,SINGRAULI_HYDRO,TANDA2,TEHRI,UNCHAHAR3,URI2,VALLURNTECL,NAPP,RAPPB,SIMHST1,AURY_CRF,AURY_GF,BRBCL,BSIUL,KOTESHWR,MAPS,NTPL,SIMHST2,SINGRAULI,TALA,TelanganaSTPP,UNCHAHAR4,ANTA_CRF,ANTA_RF,CHAMERA1,DADRT2,KHSTPP-II,NLCEXP,RSTPSU7,TALST2,AURY_LF,DADRI_RF,CHAMERA2,FSTPP I & II,JHAJJAR,RIHAND1,RSTPSU1TO6,SEWA2,TANAKPUR,UNCHAHAR1,ANTA_GF,AURY_RF,DADRI_LF
1,00:00-00:15,0,0,0,0,0,53.3,0,66.85,0,0,0,0,36.43,3.85,33.69,0,0,0,118.76,1.4,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,4.57,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,2.82,20.56,0,0,22.47

2,00:15-00:30,0,0,0,0,0,53.3,0,66.85,0,0,0,0,36.43,3.85,33.69,0,0,0,118.76,1.4,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,18.83,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,2.82,20.56,0,0,22.47

3,00:30-00:45,0,0,0,0,0,53.3,0,66.85,0,0,0,0,2.76,3.85,33.69,0,0,0,118.76,1.4,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,18.83,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,2.82,20.56,0,0,22.47

4,00:45-01:00,0,0,0,0,0,53.3,0,66.85,0,0,0,0,1.44,3.85,33.69,0,0,0,118.76,1.4,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,18.83,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,2.82,20.56,0,0,22.47

5,01:00-01:15,0,0,0,0,0,53.3,0,66.85,0,0,0,0,1.44,3.85,33.69,0,0,0,118.76,1.4,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,18.83,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,3.2,20.56,0,0,22.47

6,01:15-01:30,0,0,0,0,0,53.3,0,66.85,0,0,0,0,1.44,3.85,33.69,0,0,0,118.76,12.78,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,18.83,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,3.2,20.56,0,0,22.47

7,01:30-01:45,0,0,0,0,0,53.3,0,66.85,0,0,0,0,1.44,3.85,33.69,0,0,0,118.76,12.78,348.98,21.19,0,0,0,0,0,124.32,0,0,0,26.39,18.83,0,42.93,0,0,70.59,0,20,0,8.87,0,0,0,139.68,0,0,0,28.88,0,0,683.14,49.43,0,0,0,0,0,1.87,20.8,436.2,92,0,0,11.53,20.56,0,0,22.47

