Block,Time Block,BSIUL,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,TEHRI,TelanganaSTPP,DADRT2,CHAMERA3,CHAMERA2,CHAMERA1,KGSU3AND4,JHAJJAR,KGSU1AND2,KHSTPP-I,DHAULIGNGA,FSTPP I & II,DULHASTI,TANDA2,SINGRAULI_HYDRO,SIMHST1,TALST2,SIMHST2,TANAKPUR,SINGRAULI,TALA,SEWA2,BRBCL,NJPC,NLCIIST1,MAPS,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,NLCEXP,RIHAND3,RSTPSU7,SALAL,RSTPSU1TO6,SASAN,KUDGI,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,AURY_GF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,URI2,URI,UNCHAHAR4,VALLURNTECL,RAPPC,RIHAND2,RIHAND1,RAPPB,RAPPD,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.6,42.51,26.74,20.91,28.61,0,201.34,33.84,47.16,40.79,0,375.75,0,43.99,31.72,20.09,56.7,5.33,1.09,0,0,0,8.05,138.81,10.22,12.18,18.39,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,92.54,0,74.09,0,399.69,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,1.64,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

2,00:15-00:30,12.6,42.51,26.74,20.91,28.61,0,151.45,33.84,47.16,40.79,0,331.31,0,43.99,31.72,20.09,56.7,5.33,1.09,0,0,0,8.05,138.81,10.22,12.18,17.27,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,92.54,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,1.64,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

3,00:30-00:45,12.6,42.51,26.74,20.91,28.61,0,151.45,33.84,47.16,40.79,0,317.79,0,43.99,31.72,20.09,56.7,5.33,1.09,0,0,0,8.05,138.81,10.22,12.18,14.8,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,92.54,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,1.64,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

4,00:45-01:00,12.6,42.51,26.74,20.91,28.61,0,186.23,33.84,47.16,40.79,0,259.82,0,43.99,31.72,20.09,56.7,5.33,1.09,0,0,0,8.05,138.81,10.22,12.18,13.86,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,92.54,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,1.64,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

5,01:00-01:15,12.6,42.98,26.74,20.91,28.61,0,186.23,33.84,47.16,40.79,0,215.41,0,43.99,31.72,20.09,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,12.18,13.55,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,1.64,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

6,01:15-01:30,12.6,42.98,26.74,20.91,28.61,0,154.8,33.84,47.16,40.79,0,246.31,0,43.99,31.72,17.32,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,12.18,12.82,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,1.64,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

