Block,Time Block,KOTESHWR,KOLDAM,KUDGI,TEHRI,TelanganaSTPP,TEHRIPSP,NLCTS2EXP,TALA,TALST2,TANDA2,TANAKPUR,KKNP,KKNPPU2,KHSTPP-I,KHSTPP-II,KISHANGANGA,SINGRAULI,SINGRAULI_HYDRO,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,NAPP,NLCEXP,NJPC,NLCIIST1,NLCIIST2,KGSU3AND4,KGSU1AND2,BRBCL,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,JHAJJAR,MAPS,RAPPC,RIHAND2,SIMHST2,SASAN,RIHAND1,RAPPB,RAMPUR,SIMHST1,RSTPSU1TO6,RAPPD,RSTPSU7,SALAL,SEWA2,PARBATI3,RIHAND3,UNCHAHAR3,ANTA_CRF,ANTA_RF,UNCHAHAR2,URI,ANTA_LF,AURY_GF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,URI2,PARBATI2,NNTPP,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,38.99,8.28,0,62.24,0,79.94,0,31.71,0,5.33,10.59,0,0,43.76,93.75,6.69,108.41,0.39,0,0,0,25.17,39.41,0,23.41,0,168.95,0,0,0,0,16.05,45.29,40.81,17.64,53.23,566.45,40.51,18.8,32.62,496.55,0,62.73,120.4,0,320.05,94.5,0,5.48,0,0,23.03,0,60.31,11.74,34.29,125.75,26.61,0,15.38,43.25,50.93,0,0,20.81,3.09,0,0,0,37.45,0,0,0,0,0,0,0,0

2,00:15-00:30,38.99,8.28,0,62.24,0,79.94,0,31.71,0,5.33,10.59,0,0,43.76,93.75,6.69,108.41,0.39,0,0,0,19.4,19.22,0,23.41,0,168.95,0,0,0,0,15.29,45.29,40.81,17.64,53.23,566.45,40.51,18.8,32.62,494.2,0,62.73,120.4,0,320.05,94.5,0,5.48,0,0,23.03,0,60.31,11.74,34.29,125.75,26.61,0,11.53,43.25,50.93,0,0,20.81,3.09,0,0,0,37.45,0,0,0,0,0,0,0,0

3,00:30-00:45,38.99,8.28,0,62.24,0,79.94,0,31.71,0,5.33,10.59,0,0,43.76,93.75,6.69,109.33,0.39,0,0,0,19.4,19.22,0,23.41,0,168.95,0,0,0,0,13.46,45.29,40.81,17.64,53.23,566.45,40.51,18.8,32.62,481.66,0,62.73,120.4,0,320.05,94.5,0,5.48,0,0,23.03,0,60.31,11.74,34.29,125.75,26.61,0,11.53,43.25,50.93,0,0,20.81,3.09,0,0,0,37.45,0,0,0,0,0,0,0,0

4,00:45-01:00,38.99,8.28,0,62.24,0,79.94,0,31.71,0,5.33,10.59,0,0,43.76,93.75,6.69,109.33,0.39,0,0,0,19.4,19.22,0,23.41,0,168.95,0,0,0,0,13.46,45.29,40.81,17.64,53.23,566.45,40.51,18.8,32.62,488.19,0,62.73,120.4,0,320.05,94.5,0,5.48,0,0,23.03,0,60.31,11.74,34.29,125.75,26.61,0,11.53,43.25,45.62,0,0,20.81,3.09,0,0,0,37.45,0,0,0,0,0,0,0,0

5,01:00-01:15,38.99,8.28,0,62.24,0,79.94,0,31.71,0,5.33,10.59,0,0,43.76,93.75,6.69,109.33,0.39,0,0,0,19.4,19.22,0,23.41,0,168.95,0,0,0,0,13.46,45.29,40.81,17.64,53.23,566.45,40.51,18.8,32.62,488.19,0,62.73,120.4,0,320.05,94.5,0,5.48,0,0,23.03,0,60.31,11.74,34.29,125.75,26.61,0,11.53,43.25,45.62,0,0,20.81,3.09,0,0,0,37.45,0,0,0,0,0,0,0,0

