Block,Time,SASAN,TALA,FSTPP I & II,KHSTPP-I,KHSTPP-II,BRBCL,CHAMERA3,PARBATI3,ANTA_RF,RAPPC,JHAJJAR,KISHANGANGA,SEWA2,UNCHAHAR1,DHAULIGNGA,RIHAND3,DADRT2,DULHASTI,TANAKPUR,DADRI_LF,AURY_CRF,SINGRAULI_HYDRO,RIHAND1,UNCHAHAR4,DADRI_CRF,DADRI_GF,CHAMERA2,TANDA2,RAMPUR,AURY_GF,BSIUL,SALAL,NJPC,ANTA_CRF,UNCHAHAR3,AURY_LF,URI2,TEHRI,SINGRAULI,CHAMERA1,KOTESHWR,ANTA_LF,NAPP,DADRI_RF,URI,AURY_RF,RIHAND2,KOLDAM,UNCHAHAR2,RAPPB,ANTA_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,403.987419,0.000000,10.459277,44.761192,143.065010,19.293970,22.378566,0.000000,0.000000,33.200284,650.996760,5.364151,18.136955,21.831161,0.000000,125.970622,660.874970,38.057675,0.865046,0.000000,0.000000,0.752147,93.629868,0.000000,0.000000,0.000000,46.787784,5.168948,0.831996,0.000000,12.581232,38.673858,21.499663,0.000000,26.663325,0.000000,36.552984,42.431445,144.694340,27.106835,18.906020,0.000000,49.912314,0.000000,33.548407,0.000000,119.989386,2.236851,43.321421,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,403.987419,0.000000,10.459277,44.761192,143.065010,17.627168,22.378566,0.000000,0.000000,33.200284,650.996760,5.364151,18.136955,21.831161,0.000000,125.970622,660.874970,38.057675,0.865046,0.000000,0.000000,0.752147,93.629868,0.000000,0.000000,0.000000,46.787784,5.168948,0.831996,0.000000,12.581232,38.673858,21.499663,0.000000,26.663325,0.000000,36.552984,42.431445,144.694340,27.106835,18.906020,0.000000,49.912314,0.000000,33.548407,0.000000,119.989386,0.000000,43.321421,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,403.987419,0.000000,10.459277,44.761192,143.065010,15.690400,22.378566,0.000000,0.000000,33.200284,650.996760,5.364151,18.136955,21.831161,0.000000,125.970622,664.113841,38.057675,0.865046,0.000000,0.000000,0.752147,93.629868,0.000000,0.000000,0.000000,31.191856,5.168948,0.831996,0.000000,12.581232,38.673858,21.499663,0.000000,26.663325,0.000000,36.552984,42.431445,144.694340,27.106835,18.906020,0.000000,49.912314,0.000000,33.548407,0.000000,119.989386,0.000000,43.321421,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,403.987419,0.000000,10.459277,44.761192,143.065010,15.814845,22.378566,0.000000,0.000000,33.200284,650.996760,5.364151,18.136955,21.831161,0.000000,125.970622,664.114864,38.057675,0.865046,0.000000,0.000000,0.752147,93.629868,0.000000,0.000000,0.000000,31.191856,5.168948,0.831996,0.000000,12.581232,38.673858,21.499663,0.000000,26.663325,0.000000,36.552984,42.431445,144.694340,27.106835,18.906020,0.000000,49.912314,0.000000,33.548407,0.000000,119.989386,0.000000,43.321421,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,403.987419,0.000000,10.459277,44.761192,143.065010,13.171138,22.378566,0.000000,0.000000,33.200284,650.996760,5.364151,18.136955,21.831161,0.000000,125.970622,664.114864,38.057675,0.865046,0.000000,0.000000,0.752147,93.629868,0.000000,0.000000,0.000000,31.191856,5.168948,0.831996,0.000000,12.581232,38.673858,21.499663,0.000000,26.663325,0.000000,36.552984,42.431445,144.694340,27.106835,18.906020,0.000000,49.912314,0.000000,33.548407,0.000000,119.989386,0.000000,43.321421,0.000000,0.000000,0,0,0,0,0

