Block,Time Block,CHAMERA3,BSIUL,FSTPP I & II,DHAULIGNGA,CHAMERA2,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,PARBATI3,NTPL,RAMPUR,SINGRAULI_HYDRO,KKNPPU2,KISHANGANGA,KOLDAM,KOTESHWR,KUDGI,KHSTPP-II,KKNP,KGSU1AND2,KGSU3AND4,KHSTPP-I,VALLURNTECL,URI2,URI,UNCHAHAR4,UNCHAHAR3,UNCHAHAR2,TANAKPUR,TelanganaSTPP,TALA,TEHRI,TANDA2,TALST2,NLCIIST2,NNTPP,NLCTS2EXP,NAPP,NLCEXP,MAPS,NLCIIST1,NJPC,UNCHAHAR1,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,ANTA_GF,ANTA_RF,ANTA_CRF,ANTA_LF,AURY_CRF,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,SALAL,SEWA2,RIHAND3,SINGRAULI,RAPPB,RIHAND2,SASAN,RIHAND1,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.68,6.31,20.13,38.9,25.98,14.52,52.77,663.61,27.19,466.25,3.81,0,2.66,0,0,1.39,3.88,9.35,0,65.99,0,0,0,43.47,0,34.31,16.03,1.57,0,18.99,12.58,0,8.1,51.44,2.71,0,0,0,0,43.54,0,0,0,123.65,20.28,0,0,0,0,38.71,30,0,0,18.39,0,0,0,0,58,0,0,76.82,0,123.48,84.42,0,57.38,337.71,45.8,0,0,0,0,0,0

2,00:15-00:30,20.68,6.31,20.13,38.9,25.98,14.52,52.77,663.61,13.6,466.25,3.81,0,2.66,0,0,1.39,3.88,9.35,0,68.09,0,0,0,43.47,0,34.31,16.03,1.57,0,18.99,12.58,0,8.1,51.44,2.71,0,0,0,0,43.54,0,0,0,123.65,20.28,0,0,0,0,38.71,30,0,0,18.39,0,0,0,0,58,0,0,76.82,0,123.48,84.42,0,57.48,337.71,45.8,0,0,0,0,0,0

3,00:30-00:45,20.68,6.31,20.13,38.9,25.98,14.52,52.77,663.61,13.6,466.25,3.81,0,2.66,0,0,1.39,3.88,9.35,0,49.95,0,0,0,43.47,0,34.31,16.03,1.57,0,18.99,12.58,0,9.81,34.3,2.71,0,0,0,0,43.54,0,0,0,123.65,20.28,0,0,0,0,38.71,30,0,0,18.39,0,0,0,0,58,0,0,76.82,0,123.48,84.42,0,57.48,337.71,45.8,0,0,0,0,0,0

4,00:45-01:00,20.68,6.31,20.13,38.9,25.98,14.52,52.77,663.89,0,466.25,3.81,0,2.66,0,0,1.39,3.88,9.35,0,45.69,0,0,0,43.47,0,34.31,16.03,1.57,0,18.99,12.58,0,9.81,34.3,2.71,0,0,0,0,43.54,0,0,0,123.65,20.28,0,0,0,0,38.71,30,0,0,18.39,0,0,0,0,58,0,0,76.82,0,123.48,84.42,0,57.48,337.71,45.8,0,0,0,0,0,0

5,01:00-01:15,20.68,6.31,20.13,38.9,25.98,14.39,52.77,663.89,0,466.25,3.81,0,2.66,0,0,1.39,3.88,9.35,0,45.69,0,0,0,43.47,0,34.31,16.03,1.57,0,18.99,12.58,0,9.81,17.15,2.71,0,0,0,0,43.54,0,0,0,123.65,20.28,0,0,0,0,38.71,30,0,0,18.39,0,0,0,0,58,0,0,76.82,0,123.48,84.42,0,57.48,337.71,45.8,0,0,0,0,0,0

