Block,Time Block,KISHANGANGA,KKNP,KKNPPU2,KHSTPP-II,SASAN,RIHAND1,RAMPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,RSTPSU7,SIMHST2,SALAL,SEWA2,RIHAND3,SINGRAULI,PARBATI3,RAPPB,RIHAND2,TALA,TALST2,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,CHAMERA3,CHAMERA2,NLCIIST1,KOLDAM,NJPC,KUDGI,NAPP,MAPS,KOTESHWR,NLCEXP,UNCHAHAR1,TelanganaSTPP,UNCHAHAR2,TEHRI,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,TANDA2,URI,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,BSIUL,BRBCL,CHAMERA1,FSTPP I & II,JHAJJAR,KGSU1AND2,KHSTPP-I,KGSU3AND4,TANAKPUR,DHAULIGNGA,DULHASTI,DADRT2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.4,0,0,82.58,350.98,87.72,3.43,0,0,0,58.79,0,0,81.07,0,123.63,123.78,20.42,0,117.92,9.25,0,0,0,0,0,31.08,42.84,0,5.18,161.9,0,43.36,0,18.72,0,15.02,0,30.8,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,34.93,19.43,12.63,19.38,27.23,18.18,233.81,0,37.01,0,8.44,39.14,35.1,518.5,0,0,0,0,0

2,00:15-00:30,1.4,0,0,82.58,350.98,87.72,3.43,0,0,0,58.79,0,0,81.07,0,123.63,123.78,20.42,0,117.92,9.25,0,0,0,0,0,31.08,42.84,0,5.18,161.9,0,43.36,0,18.72,0,15.02,0,30.79,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,34.93,19.43,12.63,19.38,27.23,17.37,233.81,0,37.01,0,8.44,39.14,35.1,528.19,0,0,0,0,0

3,00:30-00:45,1.4,0,0,82.58,350.98,87.72,3.43,0,0,0,58.79,0,0,81.07,0,123.63,123.78,20.42,0,117.92,9.37,0,0,0,0,0,31.08,42.84,0,5.18,161.9,0,43.36,0,18.72,0,15.02,0,30.79,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,34.93,19.43,12.63,17.97,27.23,15.16,233.81,0,37.01,0,8.44,39.14,35.1,467.63,0,0,0,0,0

4,00:45-01:00,1.4,0,0,82.58,350.98,87.72,3.43,0,0,0,58.79,0,0,81.07,0,123.63,123.78,20.42,0,117.92,9.37,0,0,0,0,0,31.08,42.84,0,5.18,161.9,0,43.36,0,18.72,0,15.02,0,30.79,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,34.93,19.43,12.63,16.55,27.23,15.16,233.81,0,37.01,0,8.44,39.14,35.1,450.67,0,0,0,0,0

5,01:00-01:15,1.4,0,0,69.87,350.98,87.72,3.43,0,0,0,58.79,0,0,81.07,0,123.63,123.78,6.81,0,117.92,9.37,0,0,0,0,0,31.08,42.84,0,5.18,161.9,0,43.36,0,18.72,0,15.02,0,30.79,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88,0,0,25.77,19.43,12.63,13.68,27.23,15.16,233.81,0,31.92,0,8.44,39.14,35.1,450.67,0,0,0,0,0

