Block,Time Block,NAPP,NLCEXP,NLCIIST1,NJPC,MAPS,TEHRI,TANDA2,UNCHAHAR1,UNCHAHAR4,TANAKPUR,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,ANTA_LF,AURY_GF,VALLURNTECL,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,URI2,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,TALST2,TALA,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,KUDGI,KISHANGANGA,KKNP,KOTESHWR,KKNPPU2,KOLDAM,JHAJJAR,KGSU3AND4,KGSU1AND2,KHSTPP-I,KHSTPP-II,PARBATI3,NNTPP,NTPL,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,CHAMERA3,CHAMERA2,BSIUL,BRBCL,CHAMERA1,NLCIIST2,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.12,0,0,0,0,0,0,5.77,0,0,13.97,0,22.42,1.07,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,1.35,0,134.35,119.58,0,114.22,389.53,88.49,0,0,0.6,0,51.38,0,0,0,0,0,17.07,0,0,229.93,0,0,23.85,104.96,0,0,0,0,12.8,0,256.8,0,0,0,19.24,0,0,0,0,0,0,0,0

2,00:15-00:30,42.12,0,0,0,0,0,0,5.77,0,0,13.97,0,22.42,1.07,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,1.35,0,134.35,119.58,0,114.22,389.53,88.49,0,0,0.6,0,51.38,0,0,0,0,0,17.07,0,0,229.93,0,0,18.41,78.45,0,0,0,0,11,0,256.8,0,0,0,19.24,0,0,0,0,0,0,0,0

3,00:30-00:45,42.12,0,0,0,0,0,0,5.77,0,0,13.97,0,22.42,1.07,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,1.35,0,134.35,119.58,0,114.22,389.53,88.49,0,0,0.6,0,51.38,0,0,0,0,0,17.07,0,0,229.93,0,0,18.41,78.45,0,0,0,0,11,0,256.8,0,0,0,19.24,0,0,0,0,0,0,0,0

4,00:45-01:00,42.12,0,0,0,0,0,0,5.77,0,0,13.97,0,22.42,1.07,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,1.35,0,134.35,119.58,0,114.22,389.53,88.49,0,0,0.6,0,51.38,0,0,0,0,0,17.07,0,0,229.93,0,0,18.41,78.45,0,0,0,0,11,0,256.8,0,0,0,16.95,0,0,0,0,0,0,0,0

5,01:00-01:15,42.12,0,0,0,0,0,0,5.77,0,0,13.97,0,22.42,1.07,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,1.35,0,134.35,119.58,0,114.22,389.53,88.49,0,0,0.6,0,51.38,0,0,0,0,0,17.07,0,0,229.93,0,0,18.41,78.45,0,0,0,0,11,0,256.8,0,0,0,16.07,0,0,0,0,0,0,0,0

