Block,Time,L_NR_2020_02,L_NR_2012_01,L_NR_2012_07,LT-31,LT-05,L_NR_2012_04,L_NR_2019_19,L_NR_2012_02,SH-06,LT-35,LT-36,LT_MEJA_Delhi,L_NR_2019_11,L_NR_2022_08,SH-07,L_NR_2020_07,L_NR_2021_13,L_NR_2021_15,L_NR_2019_07,L_NR_2018_61,L_NR_2020_05,L_NR_2022_10,L_NR_2021_14,LT-59,L_NR_2019_06,L_NR_2019_05,L_NR_2020_06,L_NR_2021_12,L_NR_2022_09,L_NR_2021_17,L_NR_2021_16
1,00:00-00:15,4.130000,101.030000,76.120000,0.000000,115.800000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,3.73,30.380000,5.35,0,0,0,5.49,16.02,12.54,0,3.340000,0,0,5.34,0,12.54,0,0

2,00:15-00:30,4.130000,101.030000,76.120000,0.000000,115.800000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,3.78,30.380000,5.4,0,0,0,5.53,16.23,12.55,0,3.340000,0,0,5.41,0,12.55,0,0

3,00:30-00:45,4.130000,101.030000,76.120000,0.000000,115.800000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,3.84,30.380000,5.57,0,0,0,5.5,16.69,12.63,0,3.340000,0,0,5.56,0,12.63,0,0

4,00:45-01:00,4.130000,101.030000,76.120000,0.000000,115.800000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,3.86,30.380000,5.64,0,0,0,5.52,16.9,12.75,0,3.340000,0,0,5.63,0,12.75,0,0

5,01:00-01:15,4.130000,101.030000,76.120000,0.000000,66.220000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,3.94,25.540000,5.72,0,0,0,5.53,17.11,13,0,3.340000,0,0,5.7,0,13,0,0

6,01:15-01:30,4.130000,101.030000,76.120000,0.000000,66.220000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,3.99,25.540000,5.86,0,0,0,5.56,17.6,14.21,0,3.340000,0,0,5.87,0,14.21,0,0

7,01:30-01:45,4.130000,101.030000,76.120000,0.000000,66.220000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,4.03,25.540000,5.95,0,0,0,5.53,17.83,15.22,0,3.340000,0,0,5.94,0,15.22,0,0

8,01:45-02:00,4.130000,101.030000,76.120000,0.000000,66.220000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,4.1,25.540000,6.1,0,0,0,5.52,18.28,14.17,0,3.340000,0,0,6.09,0,14.17,0,0

9,02:00-02:15,3.990000,101.030000,76.120000,0.000000,66.220000,271.270000,0.000000,130.500000,30.380000,0.000000,0.000000,11.440000,3.530000,4.01,25.540000,6.19,0,0,0,5.49,18.52,14.11,0,3.260000,0,0,6.17,0,14.11,0,0

