Block,Time,SALAL,AURY_GF,DADRI_RF,ANTA_LF,NAPP,KOTESHWR,CHAMERA1,ANTA_RF,SINGRAULI,URI,BSIUL,KOLDAM,ANTA_CRF,DADRI_GF,JHAJJAR,PARBATI3,KHSTPP-I,FSTPP I & II,UNCHAHAR4,RIHAND3,AURY_LF,CHAMERA3,SINGRAULI_HYDRO,RAMPUR,BRBCL,RIHAND2,TANAKPUR,TALA,AURY_CRF,DHAULIGNGA,RIHAND1,KISHANGANGA,DADRT2,NJPC,SEWA2,RAPPC,URI2,AURY_RF,DADRI_CRF,DADRI_LF,KHSTPP-II,DULHASTI,TEHRI,UNCHAHAR3,CHAMERA2,RAPPB,TANDA2,UNCHAHAR1,UNCHAHAR2,ANTA_GF,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.335277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,38.058854,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,23.254550,8.586895,0.000000,118.422202,0.000000,0.000000,0.567886,0.000000,14.363958,113.116500,0.490674,0.000000,0.000000,0.000000,84.268800,0.000000,346.651200,0.000000,0.000000,52.010320,15.973228,0.000000,0.000000,0.000000,105.135670,0.000000,0.000000,9.576000,0.000000,0.000000,0.000000,0.000000,28.181005,0.000000,397.044900,0,0,0,0,0

2,00:15-00:30,1.335277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,38.058854,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,23.254550,8.586895,0.000000,118.422202,0.000000,0.000000,0.567886,0.000000,14.363958,113.116500,0.490674,0.000000,0.000000,0.000000,84.268800,0.000000,346.651200,0.000000,0.000000,52.010320,15.973228,0.000000,0.000000,0.000000,93.644470,0.000000,0.000000,9.576000,0.000000,0.000000,0.000000,0.000000,28.361910,0.000000,397.523700,0,0,0,0,0

3,00:30-00:45,1.335277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,4.228762,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,23.254550,3.830400,0.000000,118.422202,0.000000,0.000000,0.567886,0.000000,14.363958,113.116500,0.490674,0.000000,0.000000,0.000000,84.268800,0.000000,346.651200,0.000000,0.000000,52.010320,15.973228,0.000000,0.000000,0.000000,93.644470,0.000000,0.000000,9.576000,0.000000,0.000000,0.000000,0.000000,18.194400,0.000000,397.523700,0,0,0,0,0

4,00:45-01:00,1.335277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,4.228762,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,23.254550,3.830400,0.000000,118.422202,0.000000,0.000000,0.567886,0.000000,14.363958,113.116500,0.490674,0.000000,0.000000,0.000000,84.268800,0.000000,346.651200,0.000000,0.000000,52.010320,15.973228,0.000000,0.000000,0.000000,93.644470,0.000000,0.000000,9.576000,0.000000,0.000000,0.000000,0.000000,18.194400,0.000000,397.523700,0,0,0,0,0

5,01:00-01:15,1.335277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,4.228762,0.000000,0.000000,0.000000,0.000000,225.036000,0.000000,23.254550,3.830400,0.000000,118.422202,0.000000,0.000000,0.567886,0.000000,14.363958,113.116500,0.490674,0.000000,0.000000,0.000000,84.268800,0.000000,346.651200,0.000000,0.000000,52.010320,15.973228,0.000000,0.000000,0.000000,93.644470,0.000000,0.000000,9.576000,0.000000,0.000000,0.000000,0.000000,18.194400,0.000000,397.523700,0,0,0,0,0

