Column1,Block,NR/2024/23099/C,NR/2024/23100/C,NR/2024/23017/A/36879,NR/2024/22820/A/36830,NR/2024/23091/C,NR/2024/22832/A/37131,NR/2024/22833/A/37130,NR/2024/23089/C,NR/2024/22888/A/37072,SR/2024/14151/C,NR/2024/22835/A/37056,NR/2024/22860/A/37095,NR/2024/22848/A/37099,NR/2024/23084/C,NR/2024/23090/C,GNA/NR/2024/09/01/7119,NR/2024/23038/A/36823,NR/2024/22874/A/37132,NR/2024/22816/A/36845,NR/2024/22839/A/37128,NR/2024/22837/A/37129,NR/2024/21658/A/36824,NR/2024/22802/A/37124,NR/2024/22753/A/37074,NR/2024/22734/A/37045,NR/2024/22754/A/37071,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7908,Total
,,SJVNL,SJVNL,DIAPL,IEXL,NVVNL,NVVNL,NVVNL,NVVNL,APPCPL,HPXL,MANIKARAN,APPCPL,APPCPL,TPDDL,NVVNL,JITPL,IEXL,NVVNL,TPTCL,NVVNL,NVVNL,ITCLH,NVVNL,PTC,TPDDL,PTC,INSTINCT,APPCPL,AEL,TPTCL,TPTCL,DELHI,DELHI,MANIKARAN,PUNJAB,BAWANA_GAS,NVVNL,MANIKARAN,
,,NA,NA,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,NA,NA,KERALA_State,DELHI_UT,MSEB_State,Nagaland_State,UTTARAKHAND_STATE,NA,NA,NA,MSEB_State,MP_State,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,Arunachal_State,NA,NA,NA,NA,HIMACHAL_STATE,ODISHA_STATE,DELHI_UT,DELHI_UT,NA,MP_State,
,,TPSL_BKN2,RSRPL_BKN,GBHHPL,NSLSUGAR,SORANG_HEP,RKM_POWER,RKM_POWER,SOLAPUR_SOLAR,KSEB,BYPL,AEML,Nagaland_Ben,UTTARAKHAND,JHAJJAR,Kameng,JITPL,A_A_Energy_MH_Bio,JP_BINA,SIMHAPURI,TRN_ENERGY,JPL2,ITCWIND,JPNIGRIE_JNSTPP,HP,JPL2,HP,JPL2,Arunachal_Ben,APL_Raigarh_TPP,SIMHAPURI,JITPL,SKS_Raigarh,CHANJUII,MAADURGA_THERMAL,BAWANA_GAS,BAWANA_GAS,JPNIGRIE_JNSTPP,BLAPOWER_MP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,DIAPL,MES_Delhi,TPDDL,NDMC,NDMC,MES_Delhi,BYPL,TANGEDCO,BYPL,BYPL,BYPL,TPDDL,TPDDL,NDMC,MES_Delhi,TPDDL,BRPL,NDMC,NDMC,ITCLH,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,PUNJAB,HARYANA,BRPL,BRPL,
,,North-North,North-North,North-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,North-West-South,West-North,North East-East-North,North-North,North-North,North East-East-North,East-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,North-North,West-North,North East-East-North,West-North,South-East-North,East-North,West-North,North-North,East-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,198.54,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.87,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,32,26.32,82.32,18.4,1699.2499999999998

2,00:15-00:30,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,130.75,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.87,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,32,26.32,82.32,18.4,1631.4599999999998

3,00:30-00:45,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,150.12,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.87,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,32,26.32,82.32,18.4,1650.83

4,00:45-01:00,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,179.17,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.87,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,32,26.32,82.32,18.4,1679.8799999999999

5,01:00-01:15,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,217.91,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1713.93

6,01:15-01:30,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,232.44,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1728.46

7,01:30-01:45,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,246.97,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1742.99

8,01:45-02:00,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,261.5,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1757.52

9,02:00-02:15,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,271.18,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1767.2000000000003

10,02:15-02:30,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,153.02,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1649.04

11,02:30-02:45,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1496.0200000000002

12,02:45-03:00,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,181.59,96.85,60.53,82.32,32.93,41.16,41.16,20.58,12.47,12.95,1.94,26.91,26.91,82.32,18.4,1496.0200000000002

13,03:00-03:15,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.63,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1449.2900000000002

14,03:15-03:30,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.63,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1449.2900000000002

15,03:30-03:45,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.63,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1449.2900000000002

