Column1,Time,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNA/WR/2025/01/01/8625,WR/01102023/30052048/L_NR_2022_10,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/5886,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/2594,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/01/2143,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/01/9969,NR/01102023/06022042/L_NR_2012_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,0,13.67,15.17,42.67,0,42.66,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,57.61,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,15.61,0,0,15.17,0,45.49,0,0,0

2,00:15-00:30,0,13.33,14.67,41.33,0,41.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,57.61,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,14.81,0,0,14.67,0,43.99,0,0,0

3,00:30-00:45,0,13.33,14.33,40,0,40,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,57.61,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,14.01,0,0,14.33,0,43.01,0,0,0

4,00:45-01:00,0,13,13.83,38.33,0,38.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,57.61,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,13.01,0,0,13.83,0,41.51,0,0,0

5,01:00-01:15,0,10.33,13.5,37,0,37,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,57.61,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,11,0,0,13.5,0,40.5,0,0,0

6,01:15-01:30,0,10,13.17,35.33,0,35.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,57.61,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,10.2,0,0,13.17,0,39.49,0,0,0

7,01:30-01:45,0,9.67,12.67,38.33,0,38.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,9.4,0,0,12.67,0,37.99,0,0,0

8,01:45-02:00,0,9.33,12.5,37.67,0,37.66,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.47,0.62,1.25,23.04,59.36,0,0,0,0,0,0,8.6,0,0,12.5,0,37.5,0,0,0

9,02:00-02:15,0,12.33,14,39.67,0,39.66,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0,1.25,23.04,59.36,0,0,0,0,0,0,10.6,0,0,14,0,42,0,0,0

10,02:15-02:30,0,12,13.83,38,0,38,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0,1.25,23.04,59.36,0,0,0,0,0,0,10,0,0,13.83,0,41.51,0,0,0

11,02:30-02:45,0,12,13.67,37,0,37,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0.62,1.25,23.04,59.36,0,0,0,0,0,0,9.4,0,0,13.67,0,40.99,0,0,0

12,02:45-03:00,0,11.67,13.5,36.33,0,36.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0.62,1.25,23.04,59.36,0,0,0,0,0,0,9,0,0,13.5,0,40.5,0,0,0

13,03:00-03:15,0,11.33,13.33,35.67,0,35.66,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0.62,1.25,23.04,59.36,0,0,0,0,0,0,8.6,0,0,13.33,0,40.01,0,0,0

14,03:15-03:30,0,11,13.17,35,0,35,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0.62,1.25,23.04,59.36,0,0,0,0,0,0,8.2,0,0,13.17,0,39.49,0,0,0

15,03:30-03:45,0,11,13,34.33,0,34.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0.62,1.25,23.04,59.36,0,0,0,0,0,0,7.6,0,0,13,0,39,0,0,0

16,03:45-04:00,0,10.67,12.83,34.33,0,34.34,75,8.64,0,0,0,8.64,26.99,0,23.04,132.49,0,23.04,0,0.92,52.81,271.47,26.99,0,70.04,1.38,0.62,1.25,23.04,59.36,0,0,0,0,0,0,7.2,0,0,12.83,0,38.51,0,0,0

