Column1,Block,GNA/NR/2024/12/01/2197,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1766,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,NR/2024/24288/C,NR/2024/24071/A/45481,NR/2024/24052/A/45482,NER/2024/2770/A/45660,NR/2024/24051/A/45483,NR/2024/24290/C,NR/2024/24289/C,NR/2024/24060/A/45686,WR/2024/25054/A/45663,NR/2024/24146/A/45472,NR/2024/24097/A/45476,NR/2024/23952/A/45484,NR/2024/24088/A/45478,Total
,,NDMC,APPCPL,DELHI,NDMC,BAWANA_GAS,NDMC,PTC,PTC,MANIKARAN,NDMC,KSEB,NDMC,PUNJAB,SJVNL,IEXL,IEXL,APPCPL,IEXL,SJVNL,SJVNL,NVVNL,APPCPL,IEXL,IEXL,ITCLH,IEXL,
,,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,NA,TELANGANA_State,DELHI_UT,TELANGANA_State,KARNATAKA_STATE,KARNATAKA_STATE,NA,DELHI_UT,MP_State,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,
,,RKM_POWER,BYPL,CHANJUII,JPL2,BAWANA_GAS,TRN_ENERGY,BRPL,BYPL,BRPL,RKM_POWER,BYPL,SKS_Raigarh,BAWANA_GAS,TPSL_BKN2,TESPL_BKN2,NSLKSLWPRTY,BYPL,NSLKSLWPRTY,RENUKASUGARSATHANI,RENUKASUGARSHAVALGA,JITPL,BRPL,NSPLN_MP,NSLSUGARALAND,ITCWIND,NSLSTUNGBHDRA,
,,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,DELHI_UT,KERALA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,AEML,TPDDL,NDMC,HARYANA,NDMC,HP,HP,AEML,NDMC,KSEB,NDMC,PUNJAB,NDMC,MES_Delhi,MES_Delhi,Manipur_Ben,MES_Delhi,NDMC,NDMC,NDMC,GOA_Beneficiary,MES_Delhi,MES_Delhi,ITCLH,MES_Delhi,
,,West-North,North-West,North-North,West-North,North-North,West-North,North-North,North-North,North-West,West-North,North-West-South,West-North,North-North,North-North,North-North,South-West-North,North-East-North East,South-West-North,South-West-North,South-West-North,East-North,North-West,West-North,South-West-North,South-West-North,South-West-North,
1,00:00-00:15,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,409.03999999999996

2,00:15-00:30,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,409.03999999999996

3,00:30-00:45,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,409.03999999999996

4,00:45-01:00,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,409.03999999999996

5,01:00-01:15,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

