Time,Block,NR/2023/15309/F,NR/2023/12591/A,NR/2023/16423/C,NR/2023/12167/A,NR/2023/16419/D,NR/2023/12148/A,NR/2023/16421/D,NR/2023/12422/A,NR/2023/12431/A,NR/2023/16424/C,NR/2023/12168/A,NR/2023/14898/A,NR/2023/13635/A,NR/2023/16190/F,NR/2023/14895/A,NR/2023/14746/A,NR/2023/12592/A,NR/2023/16436/C,NR/2023/13862/A,NR/2023/14737/A,NR/2023/12347/A,NR/2023/15402/F,NR/2023/16435/C,NR/2023/12052/A,NR/2023/16434/C,NR/2023/15057/F,NR/2023/16429/C,ER/2023/10220/C,ER/2023/10223/C,NR/2023/12053/A,NR/2023/14745/A,NR/2023/16402/D,SR/2023/8911/C,NR/2023/16431/C,WR/2023/18394/C,Total
,,IEXL,NVVNL,GBHHPL,APPCPL,KEIPL,GMRETL,KEIPL,APPCPL,TPTCL,HPXL,APPCPL,MANIKARAN,NVVNL,NVVNL,MANIKARAN,APPCPL,NVVNL,PXIL,MANIKARAN,NVVNL,STATKRAFT,SJVNL,IEXL,KEIPL,IEXL,ITCLH,TPDDL,HPXL,PXIL,KEIPL,APPCPL,NVVNL,IEXL,KEIPL,HPXL,Total

,,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,MEGHALAYA,ODISHA,HIMACHAL PRADESH,NA,NA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,TAMIL NADU,NA,TAMIL NADU,UTTAR PRADESH,TAMIL NADU,MEGHALAYA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,MEGHALAYA,GOA,NA,DELHI,NA,DELHI,
,,SAPU1234,JPNIGRIE_JNSTPP,GBHHPL,Meghalaya_Ben,LAPL-UP,Meghalaya_Ben,MAITHAN_ISPAT,HP,JPL-2,SCLTPS,UTTARAKHAND,HP,KAMENG,KAMENG,HP,HP,JPNIGRIE_JNSTPP,BYPL,TANGEDCO,SKS Raigarh,TANGEDCO,BCMLB001,OPGPGPLU4TN,Meghalaya_Ben,MCCPL,ITCWIND,CHANJUII,BYPL,BYPL,Meghalaya_Ben,GOA_Beneficiary,SOLAPUR_SOLAR,BYPL,RSRPL_BKN,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,ODISHA,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,BALCO_WR,
,,MES (Delhi),BRPL,DIAPL,BYPL,BYPL,BYPL,BYPL,BYPL,BRPL,BRPL,BYPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NPCL(UP),BRPL,NDMC,BYPL,NDMC,BRPL,BYPL,BRPL,ITCLH,TPDDL,VLSEZ,VLSEZ,BYPL,BRPL,MES (Delhi),TANGEDCO,BYPL,BALCO_LOAD,
,,North-North,West-North,North-North,North East-East-North,North-North,North East-East-North,East-North,North-North,West-North,North-North,North-North,North-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North-North,South-East-North,West-North,South-West-North,North-North,South-East-North,North East-East-North,West-East-North,South-West-North,North-North,North-East,North-East,North East-East-North,West-North,West-North,North-East-South,North-North,North-West,
1,00:00-00:15,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,63.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,0.000000,0.000000,36.500000,24.180000,0,50.00,0,0.000000,1436.97

2,00:15-00:30,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,58.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,0.000000,0.000000,36.500000,24.180000,0,50.00,0,0.000000,1431.97
