Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/5531,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/2470,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/5216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/20/9046,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6528,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,15.4,0,0,0,0,0,0,0,38.33,0,0,81.66,81.67,38.33,0,0,40.33,115.01,52.84,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,1.34,48.04,23.06,0,23.06,0,35.04,65.33,0,0.69,59.4,149.4,24.73,0.95,23.06,8.65,0

2,00:15-00:30,0,0,14.6,0,0,0,0,0,0,0,38,0,0,81.34,81.33,38,0,0,40.33,114,52.84,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,1.34,48.04,23.06,0,23.06,0,35.04,65.33,0,0.69,59.4,149.4,24.73,0.95,23.06,8.65,0

3,00:30-00:45,0,0,17.4,0,0,0,0,0,0,0,37.5,0,0,81.34,81.33,37.5,0,0,40.33,112.5,52.84,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,1.34,48.04,23.06,0,23.06,0,35.04,65.33,0,0.69,59.4,149.4,25.23,0.95,23.06,8.65,0

4,00:45-01:00,0,0,16.6,0,0,0,0,0,0,0,36.67,0,0,80.34,80.33,36.67,0,0,40.33,109.99,52.84,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,1.34,48.04,23.06,0,23.06,0,35.04,65.33,0,0.69,59.4,149.4,25.23,0.95,23.06,8.65,0

5,01:00-01:15,0,0,15.8,0,0,0,0,0,0,0,36,0,0,80,80,36,0,0,39.67,108,52.84,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,1.34,48.04,23.06,0,23.06,0,35.04,65.33,0,0.69,59.4,149.4,25.23,0.95,23.06,8.65,0

6,01:15-01:30,0,0,15,0,0,0,0,0,0,0,34.17,0,0,78.34,78.33,34.17,0,0,39,102.49,52.84,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,1.34,48.04,23.06,0,23.06,0,35.04,65.33,0,0.69,59.4,149.4,25.23,0.95,23.06,8.65,0

