Block,Time Block,CHAMERA3,CHAMERA2,DADRT2,BSIUL,BRBCL,CHAMERA1,AURY_RF,ANTA_CRF,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,DADRI_LF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,URI,DADRI_RF,DULHASTI,FSTPP I & II,SASAN,SALAL,TEHRI,SEWA2,SINGRAULI,UNCHAHAR1,TANDA2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,SIMHST2,TALA,DHAULIGNGA,KHSTPP-II,KHSTPP-I,NLCTS2EXP,RAMPUR,RSTPSU7,RSTPSU1TO6,NNTPP,RAPPC,NTPL,PARBATI3,RIHAND3,RAPPB,RIHAND2,NLCIIST1,NLCIIST2,RIHAND1,JHAJJAR,KGSU1AND2,KGSU3AND4,NAPP,NLCEXP,KOTESHWR,KKNP,KKNPPU2,KUDGI,KOLDAM,NJPC,KISHANGANGA,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,292.73,0,19.19,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,38.13,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,7.99,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,292.73,0,19.19,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,38.13,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,7.99,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,292.73,0,17.1,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,3.18,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,7.99,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,290.81,0,17.07,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,273.54,0,15.92,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,1.38,0,0,12.94,401.73,12.26,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,253.4,0,15.95,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,1.38,0,0,12.94,401.73,53.5,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,246.68,0,14.58,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,1.38,0,0,12.94,401.73,53.5,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,239.01,0,14.81,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,53.5,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,69.18,32.13,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,225.58,0,12.56,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,53.5,0,0,101.16,11.52,0,14.26,0,7.99,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,217.9,0,14.87,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,12.26,0,0,101.16,11.52,0,14.26,0,7.99,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,212.15,0,16.44,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,7.99,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,207.35,0,18.1,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,206.39,0,17.88,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,210.23,0,17.64,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,206.39,0,16.96,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,215.03,0,17.07,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,1.38,0,0,12.94,401.73,1.34,0,0,101.16,11.52,0,14.26,0,3.07,0,0,0,11.18,0,0,0,68.71,31.9,0,0,0,0,0,49.42,0,0,119.26,0,99.38,0,0,43.17,230.23,0,0,41.18,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0

