Block,Time,KISHANGANGA,AURY_RF,RAPPB,UNCHAHAR1,TEHRI,ANTA_GF,NJPC,KOLDAM,RAPPC,CHAMERA1,AURY_LF,DULHASTI,DADRI_LF,RAMPUR,BSIUL,SEWA2,RIHAND2,SINGRAULI_HYDRO,DADRI_RF,NAPP,SINGRAULI,KOTESHWR,UNCHAHAR3,RIHAND1,ANTA_CRF,RIHAND3,DHAULIGNGA,UNCHAHAR2,DADRI_CRF,DADRI_GF,ANTA_LF,UNCHAHAR4,TANAKPUR,AURY_GF,AURY_CRF,PARBATI3,CHAMERA2,TANDA2,JHAJJAR,URI,URI2,SALAL,ANTA_RF,DADRT2,CHAMERA3,FSTPP I & II,KHSTPP-I,KHSTPP-II,SASAN,TALA,KUDGI,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,9.345182,0.000000,19.331490,43.876728,0.000000,147.939346,0.000000,49.591149,13.589946,0.000000,47.819981,0.000000,0.000000,6.307570,5.028703,114.257476,1.017745,38.165789,18.182145,134.754563,17.167640,25.527144,88.991600,0.000000,119.616318,35.395151,41.003944,0.000000,0.000000,0.000000,0.000000,12.886758,0.000000,0.000000,0.000000,38.218139,0.000000,631.308345,45.919666,19.518179,78.680182,9.348181,664.312524,18.722749,13.784025,41.691175,142.686423,401.550412,25.594758,9.69,19.112351,0,0,0,0,0

2,00:15-00:30,0.000000,9.345182,0.000000,19.331490,43.876728,0.000000,147.939346,0.000000,49.591149,13.589946,0.000000,47.819981,0.000000,0.000000,6.307570,5.028703,114.257476,1.017745,76.331578,18.182145,134.754563,17.167640,25.527144,88.991600,0.000000,119.616318,35.395151,41.003944,0.000000,0.000000,0.000000,0.000000,12.886758,0.000000,0.000000,0.000000,38.218139,0.000000,631.308345,45.919666,31.749572,78.680182,9.348181,664.312524,18.722749,13.784025,42.862030,142.686423,401.550412,25.594758,9.70,16.176655,0,0,0,0,0

3,00:30-00:45,0.000000,9.345182,0.000000,19.331490,43.876728,0.000000,147.939346,0.000000,49.591149,13.589946,0.000000,47.819981,0.000000,0.000000,6.307570,5.028703,114.257476,1.017745,76.331578,18.182145,134.754563,17.167640,25.527144,88.991600,0.000000,119.616318,35.395151,41.003944,0.000000,0.000000,0.000000,0.000000,12.886758,0.000000,0.000000,0.000000,38.218139,0.000000,631.308345,25.629581,31.749572,78.680182,9.348181,664.312524,18.722749,13.784025,42.862030,142.686423,401.550412,25.594758,9.69,16.156579,0,0,0,0,0

4,00:45-01:00,0.000000,9.345182,0.000000,19.331490,43.876728,0.000000,147.939346,0.000000,49.591149,13.589946,0.000000,47.819981,0.000000,0.000000,6.307570,5.028703,114.257476,1.017745,56.018278,18.182145,134.754563,17.167640,25.527144,88.991600,0.000000,119.616318,35.395151,41.003944,0.000000,0.000000,0.000000,0.000000,12.886758,0.000000,0.000000,0.000000,38.218139,0.000000,631.308345,25.629581,19.518179,78.680182,9.348181,664.312524,18.722749,13.784025,42.862030,142.686423,401.550412,25.594758,9.69,18.060937,0,0,0,0,0

5,01:00-01:15,0.000000,0.683975,0.000000,15.174132,43.876728,0.000000,147.939346,0.000000,49.591149,13.589946,0.000000,47.819981,0.000000,0.000000,6.307570,5.028703,114.257476,1.017745,15.391678,18.182145,134.754563,17.167640,19.152153,88.991600,0.000000,119.616318,35.395151,41.003944,0.000000,0.000000,0.000000,0.000000,12.886758,0.000000,0.000000,0.000000,38.218139,0.000000,625.100504,21.357984,19.518179,78.680182,1.129284,664.319779,18.722749,13.784025,42.568455,142.690679,401.550412,25.594758,9.70,16.350787,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,15.174132,43.876728,0.000000,147.939346,0.000000,49.591149,13.589946,0.000000,47.819981,0.000000,0.000000,6.307570,5.028703,114.257476,1.017745,0.000000,18.182145,134.754563,17.167640,19.152153,88.991600,0.000000,119.616318,35.395151,41.003944,0.000000,0.000000,0.000000,0.000000,12.886758,0.000000,0.000000,0.000000,38.218139,0.000000,625.100504,21.357984,19.518179,78.680182,0.000000,623.366328,18.722749,13.784025,42.568455,142.690679,401.550412,25.594758,9.69,16.065174,0,0,0,0,0
