Block,Time,BSIUL,ANTA_CRF,CHAMERA1,KOTESHWR,TANDA2,RAPPB,SINGRAULI_HYDRO,DULHASTI,UNCHAHAR4,URI,SINGRAULI,AURY_GF,DADRT2,ANTA_LF,RIHAND1,RAPPC,TANAKPUR,RIHAND2,ANTA_RF,KISHANGANGA,ANTA_GF,RIHAND3,TEHRI,DADRI_RF,DADRI_LF,DADRI_CRF,UNCHAHAR3,PARBATI3,URI2,RAMPUR,JHAJJAR,KOLDAM,UNCHAHAR2,SEWA2,SALAL,NAPP,NJPC,AURY_CRF,CHAMERA3,AURY_RF,DADRI_GF,UNCHAHAR1,DHAULIGNGA,AURY_LF,CHAMERA2,KHSTPP-I,BRBCL,TALA,FSTPP I & II,KHSTPP-II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,27.021358,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,38.293344,121.003556,0.000000,360.464620,0.000000,43.357500,51.963964,0.000000,113.813438,0.000000,0.000000,0.000000,59.573205,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,30.733128,0.000000,231.702480,0.000000,22.468820,15.540581,54.299970,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,19.269968,0.000000,11.080250,99.509610,403.484895,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,13.472620,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,38.293344,121.003556,0.000000,360.464620,0.000000,43.357500,51.963964,0.000000,113.813438,0.000000,0.000000,0.000000,59.573205,0.000000,0.000000,0.000000,0.000000,17.840648,0.000000,30.733128,0.000000,231.702480,0.000000,27.888797,15.540581,54.299970,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,7.705302,0.000000,0.000000,0.000000,30.374819,18.287415,0.000000,13.835860,114.020686,403.484895,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,13.472620,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,8.509632,121.003556,0.000000,360.464620,0.000000,43.357500,51.963964,0.000000,113.813438,0.000000,0.000000,0.000000,59.573205,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,30.733128,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,19.269968,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,13.472620,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,8.509632,121.003556,0.000000,360.464620,0.000000,43.357500,51.963964,0.000000,113.813438,0.000000,0.000000,0.000000,59.573205,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,30.733128,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,18.219141,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,13.472620,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,38.293344,121.003556,0.000000,360.464620,0.000000,29.941726,51.963964,0.000000,91.500994,0.000000,0.000000,0.000000,43.809863,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,20.737603,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,18.300222,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,38.293344,121.003556,0.000000,360.464620,0.000000,29.941726,51.963964,0.000000,91.500994,0.000000,0.000000,0.000000,43.809863,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,20.737603,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,13.652986,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,34.038528,121.003556,0.000000,360.464620,0.000000,29.941726,51.963964,0.000000,91.500994,0.000000,0.000000,0.000000,43.809863,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,20.737603,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,13.760791,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,34.038528,121.003556,0.000000,360.464620,0.000000,29.941726,51.963964,0.000000,91.500994,0.000000,0.000000,0.000000,43.809863,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,20.737603,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,12.512606,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,8.075094,0.000000,0.000000,0.792565,1.854256,0.000000,38.293344,121.003556,0.000000,360.464620,0.000000,29.941726,51.963964,0.000000,91.500994,0.000000,0.000000,0.000000,43.809863,0.000000,0.000000,0.000000,0.000000,14.375420,0.000000,30.733128,0.000000,231.702480,0.000000,22.468820,15.540581,24.630914,41.675229,0.000000,0.000000,0.000000,0.000000,0.000000,6.696325,0.000000,0.000000,0.000000,24.588520,12.420130,0.000000,11.080250,94.654336,403.484895,0,0,0,0,0

