Block,Time,CHAMERA3,DULHASTI,KOTESHWR,KUDGI,NLCIIST1,RIHAND1,SASAN,TANAKPUR,UNCHAHAR3,UNCHAHAR4,CHAMERA2,KGSU1AND2,KISHANGANGA,NJPC,RIHAND2,RSTPSU1TO6,SINGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TEHRI,DADRI_RF,KKNP,NAPP,NTPL,RAPPC,SALAL,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,CHAMERA1,KHSTPP-I,KKNPPU2,RAPPB,ANTA_LF,AURY_GF,KOLDAM,NLCIIST2,PARBATI3,RAMPUR,RSTPSU7,SEWA2,URI2,ANTA_RF,BSIUL,DHAULIGNGA,FSTPP I & II,RIHAND3,SIMHST1,UNCHAHAR2,ANTA_CRF,AURY_CRF,AURY_LF,DADRI_GF,DADRI_LF,BRBCL,KGSU3AND4,KHSTPP-II,NLCEXP,NLCTS2EXP,NNTPP,TANDA2,URI,ANTA_GF,DADRI_CRF,DADRT2,JHAJJAR,MAPS,SIMHST2,AURY_RF
1,00:00-00:15,0,0,8.87,0,0,92,410.62,8.33,26.39,0,0,0,0,0,118.76,0,139.68,0,0,0,0,67.95,0,43.68,0,54.06,1.4,0,20.56,0,0,45.22,0,0,0,0,0,0,0,0,0,0,18.83,29.93,0,0,18.2,124.32,0,11.75,0,0,0,0,23.56,20,0,98.87,0,0,0,0,26.49,0,0,683.14,654.31,0,0,70.59

2,00:15-00:30,0,0,8.87,0,0,92,410.62,8.33,26.39,0,0,0,0,0,118.76,0,139.68,0,0,0,0,67.95,0,43.68,0,54.06,1.4,0,20.56,0,0,45.22,0,0,0,0,0,0,0,0,0,0,18.83,29.93,0,0,18.2,124.32,0,11.75,0,0,0,0,23.56,20,0,98.87,0,0,0,0,26.49,0,0,683.14,654.31,0,0,70.59

3,00:30-00:45,0,0,8.87,0,0,92,410.62,2.56,26.39,0,0,0,0,0,118.76,0,139.68,0,0,0,0,67.95,0,43.68,0,54.06,1.4,0,20.56,0,0,45.22,0,0,0,0,0,0,0,0,0,0,18.83,29.93,0,0,18.2,124.32,0,11.75,0,0,0,0,23.56,20,0,98.87,0,0,0,0,26.49,0,0,683.14,654.31,0,0,70.59

4,00:45-01:00,0,0,8.87,0,0,92,410.62,2.56,26.39,0,0,0,0,0,118.76,0,139.68,0,0,0,0,67.95,0,43.68,0,54.06,1.4,0,20.56,0,0,45.22,0,0,0,0,0,0,0,0,0,0,18.83,29.93,0,0,18.2,124.32,0,11.75,0,0,0,0,23.56,20,0,98.87,0,0,0,0,3.31,0,0,683.14,654.31,0,0,70.59

5,01:00-01:15,0,0,8.87,0,0,92,410.62,2.56,26.39,0,0,0,0,0,118.76,0,139.68,0,0,0,0,67.95,0,43.68,0,54.06,1.4,0,20.56,0,0,45.22,0,0,0,0,0,0,0,0,0,0,18.83,29.93,0,0,18.2,124.32,0,11.75,0,0,0,0,23.56,20,0,98.87,0,0,0,0,1.33,0,0,683.14,654.31,0,0,70.59

