Column1,Block,NR/2025/31463/C,NR/2025/29440/A/87978,NR/2025/31459/C,NR/2025/27962/A/88482,NR/2025/30086/A/88510,NR/2025/30084/A/88511,NR/2025/31439/C,NR/2025/31461/C,NR/2025/30105/A/88508,NR/2025/29910/A/88515,NR/2025/30082/A/88518,NR/2025/30083/A/88512,NR/2025/29992/A/88137,NR/2025/29352/A/88416,NR/2025/30101/A/88532,NR/2025/27970/A/88486,NR/2025/27968/A/88485,NR/2025/29439/A/88139,NR/2025/30822/A/88135,NR/2025/30191/A/87992,NR/2025/31126/A/88148,NR/2025/29985/A/88136,NR/2025/31138/A/88476,NR/2025/31200/A/88177,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/88474,NR/2025/31138/A/88475,NR/2025/31136/A/88472,NR/2025/31137/A/88473,NR/2025/31132/A/88181,NR/2025/31136/A/88471,NR/2025/30334/A/87990,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2236,NR/2025/31407/C,GNA/NR/2025/07/01/2997,NR/2025/31411/C,NR/2025/31412/C,NR/2025/31358/C,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/2025/31359/C,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/2025/26975/A/88524,NR/2025/31481/C,NR/2025/31478/C,NR/2025/31482/C,NR/2025/27964/A/88484,NR/2025/29915/A/88079,NR/2025/31479/C,NR/2025/31483/C,NR/2025/27963/A/88483,NR/2025/29628/A/88521,NR/2025/31480/C,NR/2025/28725/A/88487,NR/2025/31476/C,NR/2025/30067/A/88614,NR/2025/29353/A/88413,NR/2025/30121/A/88001,NR/2025/31469/C,NR/2025/29167/A/88081,NR/2025/31490/C/Alternate/1,NR/2025/27978/A/88533,NR/2025/30217/A/88507,NR/2025/31491/C,NR/2025/31490/C,NR/2025/31467/C,NR/2025/31494/C,Total
,,PowerPulse,ITCLH,PowerPulse,PowerPulse,APPCPL,APPCPL,ITCLH,PowerPulse,APPCPL,APPCPL,HPXL,APPCPL,BYPL,PTC,NVVNL,PowerPulse,PowerPulse,IVPL_Trader,BRPL,IEXL,DIAPL,BRPL,OIDLWM3_AEROCITY,GMRETL,SECI_Trader,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,GMRETL,ABLWM1_AEROCITY,IEXL,DELHI,PUNJAB,NDMC,BAWANA_GAS,PowerPulse,PowerPulse,APPCPL,HPXL,BYPL,IEXL,PTC,PowerPulse,IEXL,APPCPL,PowerPulse,MANIKARAN,APPCPL,APPCPL,APPCPL,NVVNL,PowerPulse,TPTCL,APPCPL,NVVNL,PowerPulse,APPCPL,APPCPL,PowerPulse,APPCPL,MANIKARAN,PTC,IEXL,APPCPL,TPTCL,NVVNL,NVVNL,APPCPL,NVVNL,NVVNL,APPCPL,MES_Delhi,
,,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,KERALA_State,NA,NA,KERALA_State,GoHP_Chamera1_STATE,MP_State,NA,NA,MSEB_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,GOA_State,NA,KERALA_State,NA,NA,NA,TAMILNADU_State,GOA_State,NA,MSEB_State,Manipur_State,NA,NA,MP_State,NA,UTTARPRADESH_STATE,NA,NA,NA,MSEB_State,NA,NA,NA,NA,GoHP_NJPC_STATE,TAMILNADU_State,KERALA_State,MSEB_State,NA,NA,NA,NA,NA,MSEB_State,NA,
,,APL_Raipur_TPP,ITCWIND,MAHAN_ENERGEN,APL_Raipur_TPP,RKM_POWER,RKM_POWER,ITCWIND,APL_Raigarh_TPP,JIPL,KSEB,SKS_Raigarh,SKS_Raigarh,KSEB,GoHP_Chamera1,JP_BINA,APL_Raigarh_TPP,APL_Raigarh_TPP,TPC_MSEB,DADRT2,IND_BHARAT,GBHHPL,TS1PL_BKN,TCSPL_BKN2,JNEPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TESPL_BKN2,TPSL_BKN2,CHANJUII,BAWANA_GAS,JPL2,BAWANA_GAS,MAHAN_ENERGEN,MAHAN_ENERGEN,GOA_Beneficiary,SKS_Raigarh,KSEB,IND_BHARAT,MEENAKSHI,APL_Raipur_TPP,PCBLTNLTD_UNIT2,GOA_Beneficiary,APL_Raipur_TPP,AEML,Manipur_Ben,RKM_POWER,RKM_POWER,JP_BINA,MAHAN_ENERGEN,PPGCL,JIPL,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,AEML,TRN_ENERGY,MAHAN_ENERGEN,SKS_Raigarh,MBMP,GoHP_NJPC,PCBLTNLTD_UNIT2,KSEB,TPC_MSEB,Kameng,JPNIGRIE_JNSTPP,TRN_ENERGY,SORANG_HEP,Kameng,AEML,NTPCREL_PSS2_KPS2_S,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,ITCLH,TPDDL,TPDDL,NDMC,NDMC,ITCLH,TPDDL,NDMC,BYPL,BRPL,NDMC,BYPL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,OIDLWM3_AEROCITY,BLKMH,TPDDL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,DTCP,ABLWM1_AEROCITY,MES_Delhi,TPDDL,PUNJAB,NDMC,HARYANA,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,MES_Delhi,BRPL,BRPL,BRPL,BYPL,NDMC,NDMC,TPDDL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,BYPL,NDMC,BRPL,NDMC,BRPL,BRPL,MES_Delhi,BYPL,BYPL,TPDDL,TPDDL,NDMC,TPDDL,TPDDL,BYPL,MES_Delhi,
,,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,East-North,South-West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,North-North,East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,East-North,South-East-North,West-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,North-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,West-North,North East-East-West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,
1,00:00-00:15,0,0.91,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.76,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2402.82

2,00:15-00:30,0,0.91,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.76,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2402.82

