Column1,Block,NR/2024/21814/A/34235,NR/2024/22498/A/34187,NR/2024/21974/A/34234,NR/2024/21938/A/34178,NR/2024/21943/A/34225,NR/2024/21971/A/34233,NR/2024/22623/A/33952,NR/2024/22014/A/33914,NR/2024/22279/A/33910,NR/01102023/02012046/L_NR_2021_17,NR/2024/21968/A/34230,NR/2024/21658/A/33891,NR/2024/22010/A/34188,NR/2024/21983/A/33922,NR/2024/21961/A/34177,NR/2024/21970/A/34231,NR/2024/21940/A/34227,NR/2024/21933/A/33923,NR/2024/21918/A/34189,NR/2024/21911/A/34157,NR/2024/22042/A/33913,NR/2024/21860/A/34232,NR/2024/21954/A/34226,NR/2024/21966/A/33936,NR/2024/21956/A/34228,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/22610/A/34122,NR/2024/22611/A/34124,NR/01102023/14082046/L_NR_2021_16,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/MPL/24-25/STOA/128,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/jitpl,NR/2024/22779/C,NR/16082024/31082024/APL-Raigarh_august,NR/2024/22782/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22783/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,NR/2024/22784/C,Total
,,NVVNL,MANIKARAN,NVVNL,PTC,APPCPL,NVVNL,DIAPL,IEXL,IEXL,SECI_Trader,NVVNL,ITCLH,MANIKARAN,TPTCL,PTC,NVVNL,APPCPL,TPTCL,MANIKARAN,AEL,IEXL,TPDDL,APPCPL,INSTINCT,APPCPL,PUNJAB,BAWANA_GAS,SJVNL,SJVNL,SECI_Trader,TPTCL,DELHI,MANIKARAN,INSTINCT,JITPL,TPDDL,APL_Raigarh_TPP,NVVNL,TPTCL,DELHI,NVVNL,APPCPL,DELHI,NVVNL,
,,NA,MP_State,NA,HIMACHAL_STATE,MSEB_State,NA,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,GOA_State,NA,HIMACHAL_STATE,NA,UTTARAKHAND_STATE,NA,MSEB_State,NA,MSEB_State,NA,Manipur_State,NA,KERALA_State,DELHI_UT,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,MP_State,NA,NA,NA,NA,NA,NA,MSEB_State,NA,Arunachal_State,NA,NA,
,,JPNIGRIE_JNSTPP,BLAPOWER_MP,RKM_POWER,HP,AEML,RKM_POWER,GBHHPL,NHCPL_HP,NSLSUGAR,SBSRPC11PL_BKN,JPL2,ITCWIND,GOA_Beneficiary,SIMHAPURI,HP,TRN_ENERGY,UTTARAKHAND,ACBIL,AEML,APL_Raigarh_TPP,A_A_Energy_MH_Bio,JPL2,Manipur_Ben,JPL2,KSEB,BAWANA_GAS,BAWANA_GAS,RSRPL_BKN,TPSL_BKN2,SBSRPC11PL_BKN,ACBIL,CHANJUII,BLAPOWER_MP,JPL2,JITPL,JHAJJAR,APL_Raigarh_TPP,Kameng,SIMHAPURI,MSEB_Beneficiary,SORANG_HEP,Arunachal_Ben,SKS_Raigarh,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,NDMC,BYPL,BRPL,NDMC,DIAPL,MES_Delhi,MES_Delhi,BYPL,NDMC,ITCLH,BRPL,BRPL,BRPL,NDMC,BYPL,BRPL,BYPL,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,BYPL,PUNJAB,HARYANA,NDMC,NDMC,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,NDMC,MES_Delhi,
,,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,South-East-West-North,North-North,West-North,South-West-North,West-North,South-East-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,East-North,North-North,West-North,North East-East-North,South-West-North,West-North,North-North,North East-East-North,West-North,West-North,
1,00:00-00:15,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.63,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1455.0354

2,00:15-00:30,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.63,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1455.0354

