Block,Time,L_NR_2023_07,L_NR_2023_10,L_NR_2020_07,L_NR_2019_06,L_NR_2020_05,L_NR_2021_15,L_NR_2021_16,L_NR_2021_17,L_NR_2021_12,L_NR_2021_13,L_NR_2020_06,L_NR_2022_08,L_NR_2018_61,L_NR_2021_14,L_NR_2022_10,L_NR_2019_19,L_NR_2019_05,L_NR_2019_07,L_NR_2022_09,L_NR_2019_11,LT-05,L_NR_2012_07,SH-06,L_NR_2012_04,SH-07,LT-31,LT-35,L_NR_2020_02,L_NR_2023_04,L_NR_2012_02,LT-59,L_NR_2012_01,LT-36
1,00:00-00:15,0,0,8.83,0,26.51,0,0,0,0,0,8.84,8.81,8.73,0,28.67,0,0,0,28.67,4.610000,115.620000,74.120000,30.930000,271.860000,30.930000,0.000000,0.000000,4.320000,26.810000,261.560000,5.060000,101.250000,0.000000

2,00:15-00:30,0,0,9.01,0,27.01,0,0,0,0,0,9,9.04,8.53,0,29.01,0,0,0,29.01,4.610000,115.620000,74.120000,30.930000,271.860000,30.930000,0.000000,0.000000,4.320000,26.810000,261.560000,5.060000,101.250000,0.000000

3,00:30-00:45,0,0,11.65,0,34.92,0,0,0,0,0,11.64,9.29,8.08,0,37.67,0,0,0,37.67,4.610000,115.620000,74.120000,30.930000,271.860000,30.930000,0.000000,0.000000,4.320000,26.810000,261.560000,5.060000,101.250000,0.000000

4,00:45-01:00,0,0,11.76,0,35.26,0,0,0,0,0,11.75,9.57,7.87,0,38.01,0,0,0,38.01,4.610000,115.620000,74.120000,30.930000,271.860000,30.930000,0.000000,0.000000,4.320000,26.810000,261.560000,5.060000,101.250000,0.000000

5,01:00-01:15,0,0,11.83,0,35.51,0,0,0,0,0,11.84,9.78,7.73,0,39.01,0,0,0,39.01,4.460000,115.620000,74.120000,30.930000,271.860000,30.930000,0.000000,0.000000,4.320000,26.810000,261.560000,5.060000,101.250000,0.000000

6,01:15-01:30,0,0,12.21,0,36.62,0,0,0,0,0,12.21,9.94,7.6,0,40.01,0,0,0,40.01,4.460000,115.620000,74.120000,30.930000,271.860000,30.930000,0.000000,0.000000,4.320000,26.810000,261.560000,5.060000,101.250000,0.000000

