Block,Time,BRBCL,CHAMERA2,KGSU1AND2,KHSTPP-I,KOLDAM,KOTESHWR,SIMHST1,TelanganaSTPP,ANTA_CRF,DADRI_GF,FSTPP I & II,KGSU3AND4,PARBATI2,RAPPC,RIHAND2,SALAL,SASAN,TEHRIPSP,UNCHAHAR2,URI2,AURY_GF,BSIUL,NLCTS2EXP,RAPPB,AURY_LF,AURY_RF,DULHASTI,NLCIIST2,RAMPUR,RIHAND3,SEWA2,SINGRAULI_HYDRO,TALA,TANDA2,URI,ANTA_LF,CHAMERA1,CHAMERA3,DHAULIGNGA,KKNPPU2,NAPP,NLCIIST1,NNTPP,NTPL,PARBATI3,UNCHAHAR3,AURY_CRF,DADRI_CRF,DADRI_RF,KHSTPP-II,KKNP,KUDGI,MAPS,RIHAND1,RSTPSU7,SINGRAULI,TANAKPUR,UNCHAHAR1,VALLURNTECL,DADRI_LF,DADRT2,KISHANGANGA,NJPC,RSTPSU1TO6,SIMHST2,TEHRI,ANTA_GF,JHAJJAR,NLCEXP,RAPPD,TALST2,UNCHAHAR4,ANTA_RF
1,00:00-00:15,20,48.9,0,33.99,10.65,20.88,0,0,0,0,20.8,0,45.24,68.22,77.03,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,1.47,6.61,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,67.63,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,12.04,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.39,49.95

2,00:15-00:30,20,48.9,0,33.99,10.65,20.88,0,0,0,0,20.8,0,45.24,68.22,77.03,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,1.47,6.61,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,67.63,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,12.04,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.4,49.95

3,00:30-00:45,20,48.9,0,33.99,10.65,20.88,0,0,0,0,20.8,0,45.24,68.22,77.03,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,0.88,6.61,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,55.34,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,12.04,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.39,50.08

4,00:45-01:00,20,48.9,0,33.99,10.65,20.88,0,0,0,0,20.8,0,45.24,68.22,77.03,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,0.88,6.61,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,55.34,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,12.04,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.39,50.22

5,01:00-01:15,20,48.9,0,33.99,10.65,10.44,0,0,0,0,20.8,0,45.24,68.22,90.48,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,0.88,6.62,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,55.34,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,12.04,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.39,50.22

6,01:15-01:30,20,48.9,0,33.99,10.65,10.44,0,0,0,0,20.8,0,45.24,68.22,102.93,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,0.88,6.62,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,55.34,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,12.04,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.4,50.35

7,01:30-01:45,20,48.9,0,33.99,10.65,10.44,0,0,0,0,20.8,0,45.24,68.22,102.93,85.41,418.77,51.99,45.1,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,0.88,6.61,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,55.34,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,7.05,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.4,50.35

8,01:45-02:00,20,48.9,0,33.99,10.65,10.44,0,0,0,0,20.8,0,45.24,68.22,102.93,85.41,418.77,51.99,45.11,38.16,0,13.04,0,0,0,78.22,39.74,0,7.04,92.37,0,1.22,0.88,6.62,50.79,0,42.15,35.09,43.85,0,23.97,0,0,0,55.34,27.99,0,0,71.9,148.3,0,0,0,64.81,0,153.28,7.05,20.33,0,0,550.85,8.71,181.16,0,0,29.2,0,518.85,0,25.64,0,2.39,50.35

