Block,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/02112023/15112023/D20231102NR21539,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01112023/30112023/HP-09,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/03112023/30112023/IEX-231101-05680,NR/01112023/30112023/HP-10,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,48.310000,2.460000,0.000000,231.890000,0.000000,1.860000,48.310000,2.080000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,25.17,0,25.17,0,0,0,0,0,0,0,11.84,0,0,40.74,0,13.58,144.93,0,0,13.57,9.06

2,00:15-00:30,48.310000,2.460000,0.000000,193.240000,0.000000,1.860000,48.310000,2.080000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,24.51,0,24.51,0,0,0,0,0,0,0,11.74,0,0,39.38,0,13.13,144.93,0,0,13.13,8.94

3,00:30-00:45,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.080000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,23.84,0,23.84,0,0,0,0,0,0,0,11.51,0,0,38.49,0,12.83,144.93,0,0,12.82,8.95

4,00:45-01:00,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.080000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,23.17,0,23.17,0,0,0,0,0,0,0,11.18,0,0,37.58,0,12.53,144.93,0,0,12.53,8.69

5,01:00-01:15,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,22.51,0,22.51,0,0,0,0,0,0,0,10.51,0,0,36.24,0,12.08,144.93,0,0,12.07,8.4

6,01:15-01:30,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,21.96,0,21.96,0,0,0,0,0,0,0,9.23,0,0,35.57,0,11.86,144.93,0,0,11.85,8.18

7,01:30-01:45,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,21.67,0,21.67,0,0,0,0,0,0,0,9.21,0,0,32.76,0,10.92,144.93,0,0,10.92,8.35

8,01:45-02:00,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,21.67,0,21.67,0,0,0,0,0,0,0,9.21,0,0,32.76,0,10.92,144.93,0,0,10.92,8.66

9,02:00-02:15,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,19.79,0,19.79,0,0,0,0,0,0,0,9.19,0,0,32.76,0,10.92,144.93,0,0,10.92,8.73

10,02:15-02:30,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,20.5,0,20.5,0,0,0,0,0,0,0,9.16,0,0,32.76,0,10.92,144.93,0,0,10.92,8.63

11,02:30-02:45,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,21.15,0,21.15,0,0,0,0,0,0,0,8.99,0,0,32.76,0,10.92,144.93,0,0,10.92,8.39

12,02:45-03:00,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,21.66,0,21.66,0,0,0,0,0,0,0,8.66,0,0,33.16,0,11.05,144.93,0,0,11.06,8.2

13,03:00-03:15,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,26.090000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,22.13,0,22.13,0,0,0,0,0,0,0,9.27,0,0,33.43,0,11.14,144.93,0,0,11.14,8.15

14,03:15-03:30,48.310000,2.460000,0.000000,149.450000,0.000000,1.860000,48.310000,2.000000,0.000000,38.280000,0.000000,25.120000,26.080000,31.880000,48.310000,93.630000,48.310000,71.890000,26.080000,111.110000,0,22.43,0,22.43,0,0,0,0,0,0,0,9.66,0,0,33.61,0,11.2,144.93,0,0,11.21,8.22

