Block,Time,BSIUL,URI,FSTPP I & II,NJPC,TALA,TANAKPUR,RAMPUR,KHSTPP-I,KHSTPP-II,BRBCL,ANTA_CRF,SASAN,SINGRAULI,RIHAND2,AURY_GF,ANTA_RF,RIHAND3,URI2,DADRI_GF,AURY_CRF,RAPPC,ANTA_GF,KISHANGANGA,AURY_RF,PARBATI3,UNCHAHAR2,DADRI_RF,UNCHAHAR1,CHAMERA3,CHAMERA2,DULHASTI,CHAMERA1,RIHAND1,DADRT2,KOLDAM,JHAJJAR,ANTA_LF,AURY_LF,NAPP,SEWA2,KOTESHWR,RAPPB,SALAL,DADRI_CRF,SINGRAULI_HYDRO,TANDA2,DADRI_LF,DHAULIGNGA,UNCHAHAR3,UNCHAHAR4,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.883585,31.970736,11.535335,173.717757,0.000000,9.768739,6.511447,42.772443,143.153990,19.305970,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,22.092054,43.307316,9.257227,21.831997,33.622609,46.816884,57.122017,39.349489,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

2,00:15-00:30,18.883585,31.970736,11.535335,173.717757,0.000000,9.768739,6.511447,42.772443,143.153990,19.305970,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,22.092054,43.307316,9.257227,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

3,00:30-00:45,18.883585,31.970736,11.535335,173.717757,0.000000,2.967718,6.511447,42.772443,143.153990,18.265026,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,22.092054,43.307316,9.257227,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

4,00:45-01:00,18.883585,31.970736,11.535335,173.717757,0.000000,2.967718,6.511447,42.772443,143.153990,15.314845,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,22.092054,43.307316,9.257227,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

5,01:00-01:15,18.883585,31.970736,11.535335,173.717757,0.000000,2.967718,6.511447,42.772443,143.153990,14.967628,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,1.056866,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

6,01:15-01:30,18.883585,31.970736,11.535335,173.717757,0.000000,2.967718,6.511447,42.772443,143.153990,14.354075,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,0.000000,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

7,01:30-01:45,18.883585,31.970736,11.535335,173.717757,0.000000,2.967718,6.511447,42.772443,143.153990,14.479730,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,0.000000,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

8,01:45-02:00,18.883585,31.970736,11.535335,173.717757,0.000000,2.967718,6.511447,42.772443,143.153990,13.905607,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,0.000000,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,465.093992,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

9,02:00-02:15,18.883585,31.970736,11.535335,173.717757,0.000000,9.768739,6.511447,42.772443,143.153990,14.260791,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,0.000000,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,449.393967,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

10,02:15-02:30,18.883585,31.970736,11.535335,173.717757,0.000000,9.768739,6.511447,42.772443,143.153990,15.016842,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,0.000000,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,449.393967,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

11,02:30-02:45,18.883585,31.970736,11.535335,173.717757,0.000000,9.768739,6.511447,42.772443,143.153990,13.755042,0.000000,404.238681,144.509271,119.875394,0.000000,0.000000,125.831682,36.575718,0.000000,0.000000,65.793651,0.000000,5.367487,0.000000,35.347286,43.307316,0.000000,21.831997,33.622609,46.816884,57.122017,40.685542,93.482548,664.337897,9.879916,441.806709,0.000000,0.000000,34.478663,18.148236,26.707451,0.000000,60.570644,0.000000,1.170734,5.172163,0.000000,42.025433,26.657049,2.926307,40.611843,0,0,0,0,0

