Block,Time,KISHANGANGA,UNCHAHAR3,ANTA_RF,SINGRAULI,PARBATI3,DADRI_CRF,TANAKPUR,URI,ANTA_CRF,ANTA_GF,ANTA_LF,URI2,DADRT2,NAPP,RIHAND1,RIHAND2,CHAMERA2,UNCHAHAR4,CHAMERA1,TANDA2,DHAULIGNGA,AURY_LF,DADRI_GF,KOLDAM,DADRI_LF,JHAJJAR,UNCHAHAR1,RAMPUR,UNCHAHAR2,SALAL,DADRI_RF,TEHRI,KOTESHWR,RIHAND3,AURY_RF,SEWA2,RAPPC,AURY_CRF,AURY_GF,BSIUL,NJPC,CHAMERA3,RAPPB,SASAN,SINGRAULI_HYDRO,KHSTPP-II,FSTPP I & II,TALA,BRBCL,DULHASTI,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,11.514000,0.000000,112.261500,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,4.517518,337.744000,20.904818,88.274000,56.668070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.582000,6.716500,0.000000,30.174951,1.337927,0.000000,0.000000,8.514603,118.657167,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,401.809815,0.697499,122.615273,5.364816,0.000000,14.392497,0.000000,38.969517,0,0,0,0,0

2,00:15-00:30,0.000000,11.514000,0.000000,112.261500,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,4.517518,337.744000,20.904818,88.274000,56.668070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.582000,6.716500,0.000000,21.080224,1.337927,0.000000,0.000000,8.514603,118.657167,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,401.809815,0.697499,70.043500,4.797500,0.000000,14.392497,0.000000,15.352000,0,0,0,0,0

3,00:30-00:45,0.000000,11.514000,0.000000,112.261500,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,4.517518,337.744000,20.904818,88.274000,56.668070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.582000,6.716500,0.000000,19.190000,1.337927,0.000000,0.000000,8.514603,118.657167,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,401.809815,0.697499,74.841000,4.797500,0.000000,14.392497,0.000000,15.352000,0,0,0,0,0

4,00:45-01:00,0.000000,11.514000,0.000000,112.261500,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,4.517518,337.744000,20.904818,88.274000,56.668070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.582000,6.716500,0.000000,19.190000,1.337927,0.000000,0.000000,8.514603,118.657167,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,401.809815,0.697499,47.216796,4.797500,0.000000,14.392497,0.000000,15.352000,0,0,0,0,0

5,01:00-01:15,0.000000,11.514000,0.000000,112.261500,0.000000,0.000000,0.000000,2.118576,0.000000,0.000000,0.000000,8.002460,337.744000,20.904818,88.274000,56.668070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,341.582000,6.716500,0.000000,19.190000,1.337927,0.000000,0.000000,8.514603,118.657167,0.000000,0.000000,52.357036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,401.809815,0.697499,46.056000,4.797500,0.000000,14.116479,0.000000,15.352000,0,0,0,0,0

